year,long_ADJ an_NOUN,long_ADJ banc_NOUN
1800,0.0,1.2576657937302116e-08
1801,0.0,7.143547975374531e-09
1802,0.0,4.4756802708434407e-08
1803,1.950339223455444e-09,9.751696339321825e-09
1804,2.4718509461507665e-09,2.9662210465630778e-08
1805,0.0,1.9900143755080535e-08
1806,2.881669125542885e-09,2.881669125542885e-09
1807,0.0,0.0
1808,0.0,1.1330369531492579e-08
1809,0.0,1.129515236897305e-08
1810,0.0,3.510190182964834e-08
1811,0.0,2.5070767684098882e-09
1812,0.0,0.0
1813,0.0,2.5881675469463516e-08
1814,0.0,0.0
1815,5.394447111228828e-09,1.3486118000116676e-08
1816,0.0,3.244645441213834e-08
1817,1.556873407970727e-09,1.0898113522728181e-08
1818,3.5763532135746345e-09,2.741870730460505e-08
1819,0.0,4.140420006848444e-09
1820,0.0,9.493184904840746e-09
1821,9.86148829262845e-10,5.9168927535324656e-09
1822,1.0025615893027862e-09,5.012807946513931e-09
1823,0.0,5.929612356680991e-09
1824,0.0,1.0105335235266466e-08
1825,0.0,1.937197424695114e-08
1826,8.807984341885344e-10,4.668231667892542e-08
1827,1.8434546111834038e-09,9.217273166939322e-09
1828,0.0,4.1275356466030644e-08
1829,8.57317605795771e-10,4.286587973467704e-09
1830,1.0436835840010872e-09,1.7742621594152297e-08
1831,0.0,1.870944643656003e-08
1832,1.3529969367098715e-09,1.352996914505411e-08
1833,3.4750886612755494e-09,1.9692167896323554e-08
1834,9.334530925997342e-10,1.6802156110884425e-08
1835,1.5126175867408165e-09,2.7227116561334697e-08
1836,6.720750067579218e-10,4.5701099793404865e-08
1837,0.0,2.1569462660409044e-08
1838,0.0,2.5248647617104325e-08
1839,6.9914751765765e-10,1.8876983531868063e-08
1840,0.0,2.8026629905752998e-08
1841,0.0,1.8619591202195807e-08
1842,0.0,3.6224630406422875e-08
1843,5.906911071384968e-10,1.3585895075607368e-08
1844,1.097712254427563e-09,1.5367971784030487e-08
1845,5.580227946389016e-10,6.640470928687137e-08
1846,5.854501328173001e-10,3.1614305839866574e-08
1847,0.0,7.981971350545791e-08
1848,0.0,3.057184372323718e-08
1849,0.0,1.1731181359664333e-08
1850,6.788996032014438e-10,1.5614691761811628e-08
1851,0.0,2.644269869733762e-08
1852,6.510545436100301e-10,1.4323200403509873e-08
1853,1.1943863675867306e-09,2.030456869306363e-08
1854,1.0391328908454511e-09,3.065441944727354e-08
1855,5.306937111981824e-10,3.449509122788186e-08
1856,5.177189232874468e-10,3.002769588533738e-08
1857,0.0,3.9540225316159194e-08
1858,0.0,2.7893953813418193e-08
1859,5.092173349652285e-10,2.64793023063703e-08
1860,4.577183909670879e-10,2.1512764902809067e-08
1861,4.715963730639317e-10,1.1789909493131745e-08
1862,9.035972525772706e-10,1.3102160245637151e-08
1863,1.9978483312144135e-09,1.4484400345793347e-08
1864,1.4384183844029508e-09,2.1576274988888144e-08
1865,4.706844358715045e-10,1.7415324293779122e-08
1866,1.4596839292835284e-09,3.941146431429843e-08
1867,4.85281148598915e-10,2.3778776281346836e-08
1868,4.93987406535723e-10,2.7169306804353255e-08
1869,9.767038289254515e-10,1.0743741896135361e-08
1870,5.734048791339319e-10,1.490852596930381e-08
1871,2.1242354542039266e-09,2.549082545044712e-08
1872,1.2094678591978436e-09,3.265563108811875e-08
1873,5.986004469882289e-10,2.3944018323618366e-08
1874,5.974609140757536e-10,1.6131444624534197e-08
1875,0.0,1.4303817685856757e-08
1876,6.04601479992084e-10,2.1161051577678336e-08
1877,6.184815992682502e-10,1.6699003069220453e-08
1878,0.0,1.69094480639842e-08
1879,6.10932526790009e-10,1.0385853066452455e-08
1880,2.5671385017744797e-09,1.0910338410496934e-08
1881,0.0,2.091752193678076e-08
1882,0.0,1.9300616216355593e-08
1883,6.319338941018771e-10,2.0221884611260066e-08
1884,1.3203393933736152e-09,7.922036360241691e-09
1885,1.2891271383708158e-09,2.3848851782304337e-08
1886,6.453463874400711e-10,3.0976625708944994e-08
1887,6.528924623161458e-10,1.5016526688782506e-08
1888,6.340614699951175e-10,1.4583413587843097e-08
1889,0.0,1.0650732740202784e-08
1890,0.0,1.9663159989136147e-08
1891,0.0,8.286486163910922e-09
1892,6.268512375839919e-10,2.005923960268774e-08
1893,6.158416554491453e-10,8.621783287310336e-09
1894,0.0,1.449354058991048e-08
1895,6.018614495673091e-10,1.9861428057765806e-08
1896,5.89702897624278e-10,2.0639602027472392e-08
1897,1.1653427112179315e-09,2.3889525024856084e-08
1898,5.6583548957434e-10,1.3014216371232123e-08
1899,0.0,3.979856444402685e-08
1900,5.191053142894475e-10,2.3359739032002835e-08
1901,5.588738916095792e-10,3.017919070202879e-08
1902,4.910283846193408e-10,1.1293653123800595e-08
1903,0.0,1.1880484152015924e-08
1904,7.524475265086039e-09,1.9348650681649815e-08
1905,1.0321518084666081e-09,2.0126959654476195e-08
1906,5.144184522798412e-10,2.1091157265118454e-08
1907,1.5428529565042481e-09,2.6228502036929058e-08
1908,4.911389073214423e-10,1.620758460774141e-08
1909,0.0,1.7603147384193107e-08
1910,1.068830135508847e-09,1.7101282168141552e-08
1911,0.0,1.2236860413850081e-08
1912,0.0,1.40654377034366e-08
1913,1.060597942803554e-09,2.333315407554437e-08
1914,6.696743715117748e-10,1.4732836284281348e-08
1915,1.1780761921542648e-09,7.068456930880984e-09
1916,0.0,1.8678685265172135e-08
1917,1.0966424435210342e-09,8.773139548168274e-09
1918,1.1486376294556067e-09,3.44591288836682e-09
1919,0.0,6.4454939163738345e-09
