year,long_ADJ bail_NOUN
1800,3.458580977167003e-08
1801,1.3334621939975477e-07
1802,4.2518962573012686e-08
1803,2.9255089017965474e-08
1804,3.213406074564773e-08
1805,3.695740957709859e-08
1806,5.187004603612877e-08
1807,3.9857372513552036e-08
1808,9.970725756147658e-08
1809,5.873479480555943e-08
1810,8.658469141664682e-08
1811,1.0028307073639553e-08
1812,3.200649700829672e-08
1813,2.0130190847567064e-08
1814,4.72001566720337e-08
1815,4.315557688983063e-08
1816,6.489290882427667e-08
1817,2.490997452753163e-08
1818,5.0068944545955674e-08
1819,9.626476327184719e-08
1820,4.50926265216367e-08
1821,1.97229765852569e-09
1822,3.0076847679083585e-09
1823,1.7788837070042973e-08
1824,5.810567671460376e-08
1825,2.905796137042671e-08
1826,3.699353356978463e-08
1827,2.7651818612639545e-08
1828,5.6868266540277546e-08
1829,4.372319750700626e-08
1830,4.696576283436116e-08
1831,6.704218691311326e-08
1832,4.19429042608499e-08
1833,7.41352224054026e-08
1834,6.067445212920575e-08
1835,2.8739734148075513e-08
1836,5.040562456315456e-08
1837,8.140732177253085e-08
1838,2.651107955387033e-08
1839,5.8029243632518046e-08
1840,5.477932418784803e-08
1841,6.805781538332667e-08
1842,5.9032732480091e-08
1843,5.434358030242947e-08
1844,4.50062032086862e-08
1845,5.022205229465726e-08
1846,5.3861413107370026e-08
1847,5.608952591273919e-08
1848,8.206126167475958e-08
1849,8.630797676545399e-08
1850,6.245876438271125e-08
1851,4.70809027319774e-08
1852,4.492276417522589e-08
1853,2.7470886010405593e-08
1854,5.299577665596189e-08
1855,5.678422709820552e-08
1856,3.727576114442854e-08
1857,6.345961622855611e-08
1858,7.878818530926424e-08
1859,6.467060131853941e-08
1860,5.080674014834585e-08
1861,9.384768162590262e-08
1862,6.46072066956549e-08
1863,8.640694204586907e-08
1864,4.2193605054308136e-08
1865,4.424433797112215e-08
1866,4.135770836910524e-08
1867,6.988048539824376e-08
1868,4.0506968446152314e-08
1869,5.274200631788517e-08
1870,6.250112960515253e-08
1871,8.496941461544338e-08
1872,5.019291648977742e-08
1873,6.70432527272169e-08
1874,2.8678122987457755e-08
1875,4.291145216939185e-08
1876,5.501873445723504e-08
1877,5.257093604882357e-08
1878,5.3747889694477635e-08
1879,5.6205792797747733e-08
1880,6.93127415463124e-08
1881,7.25140774093802e-08
1882,3.8601235097246445e-08
1883,6.382532546922448e-08
1884,3.1027976632458376e-08
1885,3.931837794235449e-08
1886,7.292414494486366e-08
1887,4.504957828999068e-08
1888,3.6775563927449184e-08
1889,5.325366103647866e-08
1890,5.571228567369246e-08
1891,5.3543447675608036e-08
1892,4.0118478539241664e-08
1893,2.8328715373504565e-08
1894,4.159015776217245e-08
1895,6.018614540082012e-08
1896,3.7740985892043e-08
1897,5.9432478161092206e-08
1898,6.393941021087812e-08
1899,3.6482017407024614e-08
1900,3.945200433008722e-08
1901,4.750427962108006e-08
1902,5.008489711855191e-08
1903,5.724233664849976e-08
1904,5.4283714412406425e-08
