year,long_ADJ honneur_NOUN,long_ADJ bonheur_NOUN
1800,0.0,1.8864987794131594e-08
1801,0.0,3.5717739876872656e-08
1802,0.0,6.713520406265161e-09
1803,0.0,1.5602713787643552e-08
1804,0.0,2.4718509461507665e-09
1805,0.0,2.842877711017877e-09
1806,0.0,1.729001475325731e-08
1807,0.0,8.540865792383556e-09
1808,0.0,1.8128591960930862e-08
1809,0.0,3.162642769893864e-08
1810,0.0,0.0
1811,0.0,2.2563691359778204e-08
1812,0.0,2.1337665856435706e-08
1813,0.0,4.026038169513413e-08
1814,0.0,7.866692897096073e-08
1815,0.0,3.506390555685357e-08
1816,0.0,9.270415546325239e-09
1817,0.0,3.113746771532533e-08
1818,0.0,2.2650237241350624e-08
1819,0.0,5.175524897538253e-09
1820,0.0,1.898636980968149e-08
1821,0.0,4.6348993976153e-08
1822,0.0,4.010246357211145e-09
1823,0.0,0.0
1824,0.0,2.6105450245950124e-08
1825,8.805443041381977e-10,1.0566531649658373e-08
1826,0.0,2.642395191543301e-09
1827,0.0,2.027800150017356e-08
1828,0.0,2.5682442839070063e-08
1829,0.0,2.5719527840806222e-08
1830,3.1310507520032616e-09,1.982998831806526e-08
1831,0.0,0.0
1832,2.705993873419743e-09,2.0294953273491956e-08
1833,0.0,4.6334514003376626e-09
1834,1.8669061851994684e-09,3.173740381612333e-08
1835,7.563087933704082e-10,2.0420337421001022e-08
1836,0.0,2.016225053580456e-08
1837,0.0,1.6003149028165353e-08
1838,0.0,1.4517972601879592e-08
1839,2.0974426639952526e-09,2.027527834513876e-08
1840,6.369688665408546e-10,1.9746034141121527e-08
1841,0.0,5.778493683550323e-09
1842,0.0,4.024959032733477e-09
1843,0.0,1.3585895075607368e-08
1844,0.0,1.5916826967554698e-08
1845,1.1160455892778032e-09,6.696273757711424e-09
1846,0.0,8.196302303531411e-09
1847,0.0,1.1325769655456952e-08
1848,0.0,1.6090443422100975e-09
1849,0.0,3.100383594301093e-08
1850,0.0,8.146795238417326e-09
1851,0.0,2.579775504329973e-09
1852,0.0,3.059956199535918e-08
1853,0.0,4.777545470346922e-09
1854,0.0,2.0782657816909023e-09
1855,0.0,1.3798036491152743e-08
1856,0.0,5.177189343896771e-09
1857,0.0,2.0502337605421417e-08
1858,2.936205500958522e-09,3.131952652779546e-08
1859,3.055304009791371e-09,5.092173349652285e-09
1860,0.0,3.661747127736703e-09
1861,0.0,5.187560159214399e-09
1862,0.0,2.4848924695675123e-08
1863,3.496234635136375e-09,1.8480097452311384e-08
