year,long_ADJ office_NOUN
1800,0.0
1801,4.7623651688866175e-09
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,2.8469551160981155e-09
1808,4.5321479902327155e-09
1809,0.0
1810,0.0
1811,1.2535384286138651e-08
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,2.384235475716423e-09
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,9.882686891060644e-10
1824,2.2737005167527968e-08
1825,0.0
1826,0.0
1827,0.0
1828,7.337841001486822e-09
1829,8.57317605795771e-10
1830,5.218417697960831e-09
1831,0.0
1832,4.058990921151917e-09
1833,1.1583628722888761e-08
1834,0.0
1835,7.563087933704082e-10
1836,1.3441500135158435e-09
1837,2.0873671680021744e-09
1838,5.680945491803868e-09
1839,6.9914751765765e-10
1840,1.9109065441114126e-09
1841,6.420548537278137e-10
1842,0.0
1843,5.906911071384968e-10
1844,2.030767687344337e-08
1845,3.9061593959388574e-09
1846,4.6836010625384006e-09
1847,1.4022381478184798e-08
1848,2.413566457803995e-09
1849,1.6758829879393033e-09
1850,6.1100964288129944e-09
1851,6.449438760824933e-10
1852,0.0
1853,1.1346670270029335e-08
1854,3.63696517347023e-09
1855,1.4328730202350926e-08
1856,6.73034605824796e-09
1857,2.9289055625270066e-09
1858,5.3830437884982985e-09
1859,1.9350258284589472e-08
1860,6.408057640072684e-09
1861,1.8863854922557266e-09
1862,4.517986262886353e-10
1863,6.992469048228145e-09
1864,5.753673537611803e-09
1865,8.943004559114343e-09
1866,4.865612912574591e-10
1867,1.2132028714972876e-08
1868,8.89177353968762e-09
1869,1.4650557433881772e-09
1870,5.734048791339319e-10
1871,1.0621177271019633e-09
1872,5.442605477412599e-09
1873,4.190203295451056e-09
1874,1.1949218281515073e-09
1875,9.154443425529735e-09
1876,2.418405919968336e-09
1877,1.5462040536817767e-08
1878,6.039088784604019e-09
1879,2.443730107160036e-09
1880,1.9253538763308597e-09
1881,1.3945015142624584e-09
1882,5.989846618703609e-09
1883,1.4534479397809719e-08
1884,6.601696966868076e-10
1885,1.2891271383708158e-09
1886,1.0325542199041138e-08
1887,6.528924512139156e-09
1888,5.07249175996094e-09
1889,1.0024218788373673e-08
1890,1.3108772956016423e-09
1891,3.824531802365527e-09
1892,0.0
1893,1.847525021858587e-09
1894,4.411077725308132e-09
1895,6.018614495673091e-09
1896,2.358811590497112e-09
1897,8.740070001067579e-09
1898,5.092519295146758e-09
1899,1.1607914629507832e-08
1900,8.824790342920608e-09
1901,9.500856157362847e-09
1902,7.365425602756659e-09
1903,1.6200660812870638e-09
1904,4.299700151477737e-09
1905,1.2901897328276846e-08
1906,2.0576738091193647e-09
1907,5.65712765521198e-09
1908,6.384805573134145e-09
1909,3.300590023513905e-09
1910,2.67207544979442e-09
1911,4.25629931299909e-09
1912,7.814131564032323e-09
1913,7.42418571064718e-09
1914,3.3483718020477227e-09
1915,7.068456930880984e-09
1916,7.69122365795738e-09
1917,0.0
1918,5.743188147278033e-09
1919,5.524709134618888e-09
1920,2.2716695191604686e-09
1921,1.438822039290244e-08
1922,5.164555005876537e-09
1923,1.0615948120573648e-09
1924,1.289162443462999e-09
1925,0.0
1926,1.1146138456652466e-09
1927,6.689535148041159e-09
1928,7.998228634953364e-09
1929,5.570202965543558e-09
1930,3.1510811737689437e-09
1931,3.4216069977333063e-09
1932,4.383814644626227e-09
1933,8.02946376055047e-09
1934,9.585264137967897e-09
1935,8.377798899061872e-09
1936,3.6374143697059935e-09
1937,2.5182236296217297e-09
1938,6.482607339819424e-09
1939,9.176430282309411e-09
1940,1.2678914806940611e-08
1941,2.9515025978810172e-09
1942,9.102635090130207e-09
1943,0.0
1944,1.6065930807940276e-08
1945,1.5249527862692958e-08
1946,2.7842208538686464e-09
1947,2.3841741914054637e-09
1948,1.195907639583993e-08
1949,9.817008428392171e-09
1950,2.1270722960764488e-09
1951,1.2793682557799002e-08
1952,1.1599284532870513e-08
1953,1.6160740301529586e-08
1954,1.9545072227344917e-09
1955,4.6928039232341234e-09
1956,3.488456634670456e-09
1957,1.7670075402875796e-09
1958,3.3088973783179654e-09
1959,4.650448914844674e-09
1960,7.612916519406099e-09
1961,6.25334317660986e-09
1962,3.170978146727066e-09
1963,4.526237162849611e-09
1964,5.475571551727398e-09
1965,3.830430195250756e-09
1966,6.64688981633077e-09
1967,4.437302081328198e-09
1968,3.5931326802796093e-09
1969,6.358460868938209e-09
1970,1.2416557920724713e-08
1971,7.193756368373272e-09
1972,1.0260293725750103e-09
1973,3.3079223804577396e-09
1974,5.625571564138454e-09
1975,4.569184142155791e-09
1976,5.142174241967723e-09
1977,1.1753563677885381e-09
1978,1.7821774056514528e-09
1979,5.266776015311336e-09
1980,4.548120546843393e-09
1981,1.2651099057237047e-09
1982,4.345251713999687e-09
1983,2.5261264191556165e-09
1984,2.8995041922996734e-09
1985,1.8046674155058895e-09
1986,3.5966913891627428e-09
1987,0.0
1988,2.398621523624911e-09
1989,3.841685636274406e-09
1990,8.717841559757744e-09
1991,2.9307325455363298e-09
1992,3.30596661157756e-09
1993,2.7696036575264316e-09
1994,5.274926717646622e-09
1995,2.7112254663563817e-09
1996,2.6690460952494277e-09
1997,4.794894259418925e-09
