ortho_0,phon_0,lemme_0,cgram_0,genre_0,nombre_0,freqfilms2_0,infover_0,islem_0,p_cvcv_0,cgramortho_0
abandonnait,ab@donE,abandonner,VER,,,1.04,ind:imp:3s;,0,VCVCVCV,VER
abandonnant,ab@don@,abandonner,VER,,,1.15,par:pre;,0,VCVCVCV,VER
abandonnent,ab@dOn,abandonner,VER,,,2.44,ind:pre:3p;sub:pre:3p;,0,VCVCVC,VER
abat,aba,abattre,VER,,,2.15,ind:pre:3s;,0,VCV,"NOM,VER"
aboutit,abuti,aboutir,VER,,,1.5,ind:pre:3s;ind:pas:3s;,0,VCVCV,VER
abusent,abyz,abuser,VER,,,1.02,ind:pre:3p;,0,VCVC,VER
acceptait,aksEptE,accepter,VER,,,1.48,ind:imp:3s;,0,VCCVCCV,VER
acceptant,aksEpt@,accepter,VER,,,1.35,par:pre;,0,VCCVCCV,"NOM,VER"
accepterait,aksEpt°RE,accepter,VER,,,1.54,cnd:pre:3s;,0,VCCVCCVCV,VER
accepteront,aksEpt°R§,accepter,VER,,,1.34,ind:fut:3p;,0,VCCVCCVCV,VER
accompagnait,ak§paNE,accompagner,VER,,,2.04,ind:imp:3s;,0,VCVCVCV,VER
accompagnent,ak§paN,accompagner,VER,,,2.08,ind:pre:3p;,0,VCVCVC,VER
accomplissent,ak§plis,accomplir,VER,,,1.12,ind:pre:3p;,0,VCVCCVC,VER
accomplit,ak§pli,accomplir,VER,,,2.14,ind:pre:3s;ind:pas:3s;,0,VCVCCV,VER
accordent,akORd,accorder,VER,,,1.31,ind:pre:3p;,0,VCVCC,VER
accrochent,akROS,accrocher,VER,,,1.37,ind:pre:3p;,0,VCCVC,VER
accroît,akRwa,accroître,VER,,,1.12,ind:pre:3s;,0,VCCYV,VER
accusait,akyzE,accuser,VER,,,1.57,ind:imp:3s;,0,VCVCV,VER
accusent,akyz,accuser,VER,,,1.77,ind:pre:3p;,0,VCVC,VER
achetait,aS°tE,acheter,VER,,,3.43,ind:imp:3s;,0,VCVCV,VER
achetant,aS°t@,acheter,VER,,,1.23,par:pre;,0,VCVCV,VER
achèterait,aSEt°RE,acheter,VER,,,1.02,cnd:pre:3s;,0,VCVCVCV,VER
adjoint,adZw5,adjoindre,VER,m,s,1.28,ind:pre:3s;par:pas;,0,VCCYV,"VER,ADJ,NOM"
admet,admE,admettre,VER,,,2.83,ind:pre:3s;,0,VCCV,VER
adoraient,adoRE,adorer,VER,,,1.29,ind:imp:3p;,0,VCVCV,VER
adorait,adoRE,adorer,VER,,,7.02,ind:imp:3s;,0,VCVCV,VER
adorent,adOR,adorer,VER,,,10.76,ind:pre:3p;sub:pre:3p;,0,VCVC,VER
adorerait,adOR°RE,adorer,VER,,,1.32,cnd:pre:3s;,0,VCVCVCV,VER
advint,adv5,advenir,VER,,,1.2,ind:pas:3s;,0,VCCV,VER
affaiblit,afEbli,affaiblir,VER,,,1.56,ind:pre:3s;ind:pas:3s;,0,VCVCCV,VER
affirment,afiRm,affirmer,VER,,,1.67,ind:pre:3p;,0,VCVCC,VER
agirait,aZiRE,agir,VER,,,2.08,cnd:pre:3s;,0,VCVCV,VER
agissait,aZisE,agir,VER,,,12.3,ind:imp:3s;,0,VCVCV,VER
agissant,aZis@,agir,VER,,,1.26,par:pre;,0,VCVCV,"VER,ADJ"
agissent,aZis,agir,VER,,,3.61,ind:pre:3p;,0,VCVC,VER
agit,aZi,agir,VER,,,105.02,ind:pre:3s;ind:pas:3s;,0,VCV,VER
aidaient,EdE,aider,VER,,,1.04,ind:imp:3p;,0,VCV,VER
aidait,EdE,aider,VER,,,3.47,ind:imp:3s;,0,VCV,VER
aidant,Ed@,aider,VER,,,1.7,par:pre;,0,VCV,VER
aident,Ed,aider,VER,,,6.75,ind:pre:3p;sub:pre:3p;,0,VC,VER
aiderait,Ed°RE,aider,VER,,,7.82,cnd:pre:3s;,0,VCVCV,VER
aideront,Ed°R§,aider,VER,,,3.19,ind:fut:3p;,0,VCVCV,VER
aient,E,avoir,AUX,,,12.67,sub:pre:3p;,0,V,"AUX,VER"
aient,E,avoir,VER,,,8.19,sub:pre:3p;,0,V,"AUX,VER"
aimaient,EmE,aimer,VER,,,6.2,ind:imp:3p;,0,VCV,VER
aimait,EmE,aimer,VER,,,49.57,ind:imp:3s;,0,VCV,VER
aimant,Em@,aimer,VER,,,2.6,par:pre;,0,VCV,"ADJ,NOM,VER"
aiment,Em,aimer,VER,,,48.46,ind:pre:3p;sub:pre:3p;,0,VC,VER
aimeraient,Em°RE,aimer,VER,,,5.08,cnd:pre:3p;,0,VCVCV,VER
aimerait,Em°RE,aimer,VER,,,21.7,cnd:pre:3s;,0,VCVCV,VER
aimeront,Em°R§,aimer,VER,,,1.32,ind:fut:3p;,0,VCVCV,VER
ait,e,avoir,AUX,,,95.36,sub:pre:3s;,0,V,"AUX,VER"
ait,e,avoir,VER,,,78.06,sub:pre:3s;,0,V,"AUX,VER"
allaient,alE,aller,VER,,,16.55,ind:imp:3p;,0,VCV,VER
allait,alE,aller,VER,,,132.04,ind:imp:3s;,0,VCV,VER
allant,al@,aller,VER,,,8.11,par:pre;,0,VCV,"ADJ,NOM,VER"
allument,alym,allumer,VER,,,1.23,ind:pre:3p;,0,VCVC,VER
