ortho_0,phon_0,lemme_0,cgram_0,genre_0,nombre_0,freqfilms2_0,infover_0,islem_0,p_cvcv_0,cgramortho_0
beaucoup,boku,beaucoup,ADV,,,626,,1,CVCV,ADV
trop,tRo,trop,ADV,,,859.54,,1,CCV,ADV
