ortho_0,phon_0,lemme_0,cgram_0,genre_0,nombre_0,freqfilms2_0,infover_0,islem_0,p_cvcv_0,cgramortho_0
ancien,@sj5,ancien,ADJ,m,s,32.41,,1,VCYV,"ADJ,NOM"
bon,b§,bon,ADJ,m,s,836.29,,1,CV,"ADJ,ADV,NOM,ONO"
certain,sERt5,certain,ADJ,m,s,65.2,,1,CVCCV,"ADJ,ADJ:ind"
divin,div5,divin,ADJ,m,s,10.01,,1,CVCV,ADJ
prochain,pRoS5,prochain,ADJ,m,s,51.95,,1,CCVCV,"ADJ,NOM"
aucun,ok1,aucun,ADJ:ind,m,s,175.78,,1,VCV,"ADJ:ind,PRO:ind"
un,1,un,ADJ:num,,,43.17,,1,V,"ADJ:num,ART:ind,PRO:ind"
mon,m§,mon,ADJ:pos,,,3848.99,,1,CV,"ADJ:pos,PRO:pos"
son,s§,son,ADJ:pos,,,1740.43,,1,CV,"ADJ:pos,NOM"
ton,t§,ton,ADJ:pos,,,1723.32,,1,CV,"ADJ:pos,NOM"
bien,bj5,bien,ADV,,,4213.78,,1,CYV,"ADJ,ADV,NOM"
non,n§,non,ADV,,,4040.18,,1,CV,"ADJ,ADV,NOM,PRO:per"
un,1,un,ART:ind,m,s,12087.62,,1,V,"ADJ:num,ART:ind,PRO:ind"
en,@,en,PRE,,,5689.68,,1,V,"ADV,PRE,PRO:per"
rien,Rj5,rien,PRO:ind,,s,2374.91,,1,CYV,"NOM,PRO:ind"
en,@,en,PRO:per,,,3536.55,,1,V,"ADV,PRE,PRO:per"
on,§,on,PRO:per,,s,8586.4,,1,V,"NOM,PRO:per"
