verb_en
abaisser
abattre
abhorrer
abominer
abraser
abréger
absoudre
abstraire
abuser
abâtardir
accabler
accepter
acclamer
accompagner
accoucher
accueillir
accuser
accéder
acheminer
acidifier
acquitter
acquérir
actualiser
adjurer
admettre
admirer
admonester
adopter
adorer
adoucir
aduler
affabuler
affadir
affaiblir
affecter
affectionner
affermir
afficher
affiner
affluer
affranchir
aggraver
agrandir
agréer
aigrir
aimer
alerter
aller
allonger
alléger
alléguer
alourdir
aléser
amaigrir
amasser
ambitionner
amener
amenuiser
amincir
amnistier
amoindrir
amonceler
amputer
améliorer
angoisser
aplanir
apparaître
appauvrir
appeler
appesantir
applaudir
appointer
apporter
approfondir
approuver
apprécier
appréhender
araser
arguer
argumenter
arracher
arranger
arrondir
aseptiser
assainir
asserter
assimiler
assombrir
assouplir
assourdir
assumer
assurer
assécher
attendre
attester
attiger
attiédir
attraper
atténuer
augurer
ausculter
automatiser
avaler
avancer
avertir
aviser
aviver
avoir
aéroporter
badiner
baiser
baisser
balader
balancer
balayer
ballotter
banaliser
bannir
baptiser
barrer
basculer
bavarder
bavasser
baver
bazarder
bicher
bifurquer
biner
bisquer
bistrer
bitter
blaguer
blanchir
blaser
bleuir
bleuter
blondir
blouser
blâmer
blêmir
bombarder
bondir
bonifier
bouder
bouger
bouillir
bouillonner
bouter
breveter
brinquebaler
brosser
brouetter
brunir
brûler
butiner
béer
bénir
bénéficier
cahoter
calculer
calligraphier
camionner
canaliser
cantiner
carminer
carrioler
cascader
casser
castrer
catapulter
cataracter
causer
caviarder
censurer
centraliser
changer
chapitrer
charger
charrier
charroyer
chasser
chaumer
cheminer
chicaner
choir
choper
chuter
châtier
châtrer
chérir
cingler
circuler
cisailler
claquer
clarifier
codifier
collecter
collectionner
colporter
coltiner
commémorer
commérer
compiler
complimenter
compliquer
compléter
comprendre
conceptualiser
concevoir
conduire
confluer
conférer
congratuler
congédier
conjurer
considérer
consoler
consolider
conspuer
constater
contester
contresigner
convaincre
convenir
converger
converser
convoyer
cornaquer
corriger
coter
couillonner
couler
couper
couronner
courser
court-circuiter
couvrir
craindre
creuser
crever
cribler
croire
crâner
créditer
crétiniser
cueillir
culbuter
culpabiliser
curer
cureter
célébrer
dactylographier
demeurer
descendre
desquamer
dessabler
dessaisir
desservir
dessécher
destituer
deviner
deviser
diagnostiquer
dialoguer
digresser
digérer
diminuer
discerner
discourir
disculper
discutailler
discuter
disparaître
dispenser
disperser
disputer
disserter
dissiper
dissuader
distancier
distraire
divertir
douter
draguer
drainer
driver
durcir
déballer
débarder
débarquer
débarrasser
débattre
débaucher
débecter
débiner
débiter
déblayer
débloquer
déborder
déboucher
déboulonner
débourber
débourrer
déboîter
débrouiller
débroussailler
débusquer
décaféiner
décaler
décanter
décaper
décapiter
décapuchonner
décarcasser
décarcérer
décaver
déceler
décentraliser
décentrer
déchanter
décharger
déchaumer
déchausser
déchiffrer
déchirer
déchoir
décider
décintrer
déclasser
décliner
décoder
décoller
décombrer
décompter
décontaminer
décoquiller
décorder
décorner
décortiquer
découcher
découenner
découler
découper
décourager
découvrir
décrasser
décrier
décrocher
décrypter
décréter
déculasser
déculotter
déculturer
décuver
décéder
dédommager
déduire
défaillir
défaire
défalquer
défausser
défeuiller
défibrer
défier
défolier
défourner
défrayer
défraîchir
défricher
défroquer
dégager
dégainer
dégarnir
dégazer
dégermer
dégommer
dégonder
dégorger
dégoter
dégouliner
dégoupiller
dégoûter
dégraisser
dégrever
dégringoler
dégrossir
déhotter
déjanter
délasser
délaver
délester
délibérer
délier
délirer
délivrer
délocaliser
déloger
déloquer
démailler
démailloter
démancher
démanger
démarquer
démarrer
démazouter
démentir
démettre
déminéraliser
démonter
démontrer
démonétiser
démouler
démoustiquer
démâter
déménager
démêler
déneiger
dénerver
dénicher
dénier
dénommer
dénoter
dénoyauter
dénucléariser
dénuder
dénuer
déodorer
dépaqueter
dépasser
dépendre
dépiauter
dépigeonner
dépiler
dépister
déplacer
déplorer
déplumer
dépoiler
déporter
déposséder
dépoter
dépouiller
dépourvoir
dépoussiérer
déprimer
déprécier
dépuceler
dépérir
dépêtrer
déquiller
déraciner
dérailler
déraisonner
déranger
déraper
dératiser
dériver
dérocher
dérouter
désaccoutumer
désaffectionner
désambiguer
désambiguïser
désapprouver
désarçonner
désatomiser
désavouer
désaxer
désemplir
déserter
désespérer
déshabituer
désherber
déshériter
désigner
désincarcérer
désinfecter
désinsectiser
désintéresser
désirer
désodoriser
désosser
détacher
détartrer
détaxer
détecter
déteindre
dételer
déterger
déterminer
déterrer
détester
détortiller
détourer
détourner
détrousser
détrôner
dévaliser
dévaloriser
dévaluer
dévaser
déverser
dévider
dévier
dévisser
effacer
effeuiller
efféminer
embarquer
embarrasser
embellir
emmener
empapaouter
empaumer
emphatiser
empiler
emplir
emporter
empourprer
empreindre
empêcher
encaisser
encombrer
encourir
enculer
endurer
enfler
engluer
engourdir
engraisser
engrosser
engueuler
enguirlander
enivrer
enjoliver
enlever
enrager
enregistrer
enrichir
ensanglanter
entamer
entendre
enticher
entrapercevoir
entraver
entraîner
entretenir
entrevoir
entuber
entériner
entôler
envier
envoyer
ergoter
escamoter
escompter
escorter
escroquer
esgourder
espérer
essorer
essoucher
essuyer
estamper
estimer
exagérer
exalter
excepter
exciper
exciser
exclure
excommunier
excuser
exempter
exhausser
exhumer
exiger
exiler
exonérer
exorciser
expatrier
expectorer
expertiser
exploiter
explorer
exporter
exprimer
exproprier
expulser
expurger
expédier
exsuder
extirper
extrader
extraire
extérioriser
exulter
exécrer
fabuler
fatiguer
faucher
feindre
fermenter
ferrouter
fertiliser
filer
filmer
filouter
filtrer
flairer
flotter
flouer
fluer
fluidifier
flétrir
fondre
fortifier
franchir
frapper
fraîchir
friponner
frissonner
frustrer
