ortho_0,phon_0,lemme_0,cgram_0,genre_0,nombre_0,freqfilms2_0,infover_0,islem_0,p_cvcv_0,cgramortho_0
abcès,apsE,abcès,NOM,m,,1.79,,1,VCCV,NOM
aboiements,abwam@,aboiement,NOM,m,p,1.35,,0,VCYVCV,NOM
abonnements,abOn°m@,abonnement,NOM,m,p,1.45,,0,VCVCVCV,NOM
abords,abOR,abord,NOM,m,p,1.33,,0,VCVC,NOM
abris,abRi,abri,NOM,m,p,3.2,,0,VCCV,NOM
abrutis,abRyti,abruti,NOM,m,p,6.1,,0,VCCVCV,"ADJ,NOM,VER"
abus,aby,abus,NOM,m,,4.75,,1,VCV,NOM
accents,aks@,accent,NOM,m,p,1.58,,0,VCCV,NOM
accès,aksE,accès,NOM,m,,29.53,,1,VCCV,NOM
accessoires,akseswaR,accessoire,NOM,m,p,2.76,,0,VCCVCYVC,"ADJ,NOM"
accidents,aksid@,accident,NOM,m,p,8.1,,0,VCCVCV,NOM
acclamations,aklamasj§,acclamation,NOM,f,p,2.65,,0,VCCVCVCYV,NOM
accords,akOR,accord,NOM,m,p,4.42,,0,VCVC,NOM
accusations,akyzasj§,accusation,NOM,f,p,7.11,,0,VCVCVCYV,NOM
accusés,akyze,accusé,NOM,m,p,2.69,,0,VCVCV,"VER,ADJ,NOM"
achats,aSa,achat,NOM,m,p,4.55,,0,VCV,NOM
acheteurs,aS°t9R,acheteur,NOM,m,p,2.5,,0,VCVCVC,NOM
acides,asid,acide,NOM,m,p,1.02,,0,VCVC,"ADJ,NOM"
aciéries,asjeRi,aciérie,NOM,f,p,1.53,,0,VCYVCV,NOM
actes,akt,acte,NOM,m,p,17.62,,0,VCC,NOM
acteurs,akt9R,acteur,NOM,m,p,17.92,,0,VCCVC,NOM
actionnaires,aksjonER,actionnaire,NOM,,p,2.51,,0,VCCYVCVC,NOM
actions,aksj§,action,NOM,f,p,19.3,,0,VCCYV,"NOM,VER"
activités,aktivite,activité,NOM,f,p,10.42,,0,VCCVCVCV,NOM
actrices,aktRis,acteur,NOM,f,p,2.5,,0,VCCCVC,NOM
actualités,akt8alite,actualité,NOM,f,p,1.45,,0,VCCYVCVCV,NOM
adeptes,adEpt,adepte,NOM,,p,1.85,,0,VCVCC,NOM
adieux,adj2,adieu,NOM,m,p,7.57,,0,VCYV,NOM
adjoints,adZw5,adjoint,NOM,m,p,2.66,,0,VCCYV,"VER,ADJ,NOM"
admirateurs,admiRat9R,admirateur,NOM,m,p,2.33,,0,VCCVCVCVC,"ADJ,NOM"
admissions,admisj§,admission,NOM,f,p,1.08,,0,VCCVCYV,NOM
adolescents,adoles@,adolescent,NOM,m,p,2.34,,0,VCVCVCV,"ADJ,NOM"
ados,ado,ados,NOM,m,,3.27,,1,VCV,NOM
adresses,adREs,adresse,NOM,f,p,6.65,,0,VCCVC,"NOM,VER"
adultes,adylt,adulte,NOM,,p,13.56,,0,VCVCC,"ADJ,NOM"
adversaires,advERsER,adversaire,NOM,,p,3.36,,0,VCCVCCVC,NOM
aéroports,aeRopOR,aéroport,NOM,m,p,1.69,,0,VVCVCVC,NOM
affaires,afER,affaire,NOM,f,p,186.32,,0,VCVC,"NOM,VER"
affamés,afame,affamé,NOM,m,p,1.83,,0,VCVCV,"VER,ADJ,NOM"
affiches,afiS,affiche,NOM,f,p,4.39,,0,VCVC,"NOM,VER"
affres,afR,affre,NOM,f,p,1.23,,0,VCC,NOM
affreux,afR2,affreux,NOM,m,,2.79,,1,VCCV,"ADJ,NOM"
africains,afRik5,africain,NOM,m,p,1.48,,0,VCCVCV,"ADJ,NOM"
agences,aZ@s,agence,NOM,f,p,2.77,,0,VCVC,NOM
agents,aZ@,agent,NOM,m,p,25,,0,VCV,NOM
âges,aZ,âge,NOM,m,p,2.13,,0,VC,NOM
