lemme,cgram
affût,NOM
age,NOM
ais,NOM
ale,NOM
ana,NOM
anda,NOM
ante,NOM
ave,NOM
iles,NOM
outre,NOM
bey,NOM
cal,NOM
care,NOM
fado,NOM
gilles,NOM
jà,ADV
lai,ADJ
los,NOM
marc,NOM
mas,NOM
ney,NOM
ra,NOM
rai,NOM
ria,NOM
shah,NOM
sil,NOM
tell,NOM
aise,ADJ
antan,NOM
arrière,ADJ
avant,ADJ
hombre,NOM
or,ADJ
us,NOM
ut,NOM
cent,NOM
go,NOM
let,ADJ
mille,NOM
milles,NOM
vu,NOM
nord,ADJ
est,ADJ
ouest,ADJ
sud,ADJ
on,NOM
ya,NOM
beuh,ADV
chair,ADJ
con,PRO:per
da,ADJ
der,NOM
dine,NOM
doux,NOM
déco,ADJ
gal,ADV
line,NOM
more,ADJ
net,NOM
p.,NOM
pa,NOM
par,NOM
pars,NOM
pus,ADJ
quant,NOM
re,ADV
tard,NOM
to,NOM
tom,NOM
ça,NOM
une,NOM
yen,NOM
yens,NOM
com,NOM
min,NOM
d'abord,ADV
d'autres,ADJ:ind
d'autres,PRO:ind
l'un,PRO:ind
l'une,PRO:ind
ok,ADJ
ok,ADV
oui,ADV
non,NOM
