ortho;lemme;lexique_tag;google_tag
long;ADJ;ADJ;ADJ
dernier;dernier;ADJ;ADJ
léger;léger;ADJ;ADJ
premier;premier;ADJ;ADJ
ancien;ancien;ADJ;ADJ
bon;bon;ADJ;ADJ
certain;certain;ADJ;ADJ
divin;divin;ADJ;ADJ
prochain;prochain;ADJ;ADJ
excellent;excellent;ADJ;ADJ
grand;grand;ADJ;ADJ
petit;petit;ADJ;ADJ
profond;profond;ADJ;ADJ
anciennes;ancien;ADJ;ADJ
anciens;ancien;ADJ;ADJ
autres;autre;ADJ;ADJ
beaux;beau;ADJ;ADJ
belles;beau;ADJ;ADJ
bonnes;bon;ADJ;ADJ
bons;bon;ADJ;ADJ
chères;cher;ADJ;ADJ
chers;cher;ADJ;ADJ
curieux;curieux;ADJ;ADJ
dernières;dernier;ADJ;ADJ
derniers;dernier;ADJ;ADJ
divines;divin;ADJ;ADJ
divins;divin;ADJ;ADJ
énormes;énorme;ADJ;ADJ
excellentes;excellent;ADJ;ADJ
excellents;excellent;ADJ;ADJ
fausses;faux;ADJ;ADJ
faux;faux;ADJ;ADJ
grandes;grand;ADJ;ADJ
grands;grand;ADJ;ADJ
gros;gros;ADJ;ADJ
grosses;gros;ADJ;ADJ
jeunes;jeune;ADJ;ADJ
jolies;joli;ADJ;ADJ
jolis;joli;ADJ;ADJ
légères;léger;ADJ;ADJ
légers;léger;ADJ;ADJ
longs;long;ADJ;ADJ
longues;long;ADJ;ADJ
mauvais;mauvais;ADJ;ADJ
méchantes;méchant;ADJ;ADJ
méchants;méchant;ADJ;ADJ
meilleures;meilleur;ADJ;ADJ
meilleurs;meilleur;ADJ;ADJ
mêmes;même;ADJ;ADJ
moindres;moindre;ADJ;ADJ
nombreux;nombreux;ADJ;ADJ
nouveaux;nouveau;ADJ;ADJ
petites;petit;ADJ;ADJ
petits;petit;ADJ;ADJ
pires;pire;ADJ;ADJ
premières;premier;ADJ;ADJ
premiers;premier;ADJ;ADJ
prochaines;prochain;ADJ;ADJ
prochains;prochain;ADJ;ADJ
profondes;profond;ADJ;ADJ
profonds;profond;ADJ;ADJ
rares;rare;ADJ;ADJ
seules;seul;ADJ;ADJ
seuls;seul;ADJ;ADJ
uniques;unique;ADJ;ADJ
vastes;vaste;ADJ;ADJ
véritables;véritable;ADJ;ADJ
