year,vos_DET ans_NOUN,vos_DET rangs_NOUN
1800,4.4018303668735825e-08,9.118077315406481e-08
1801,1.1905912700171939e-08,1.381085894536227e-07
1802,2.6854081625060644e-08,1.320325679898815e-07
1803,3.315576790896557e-08,1.3067273130218382e-07
1804,4.69651695311768e-08,2.1505103120489366e-07
1805,3.4114531644036106e-08,2.103729457303416e-07
1806,8.35684019762084e-08,1.7866348400730203e-07
1807,3.4163463169534225e-08,1.395007984683616e-07
1808,3.3991110370834576e-08,1.0877155176558517e-07
1809,1.129515236897305e-08,1.5587310997489112e-07
1810,3.7442028144596406e-08,1.6848912309797015e-07
1811,9.27618373225414e-08,1.780024518893697e-07
1812,1.3336041604361526e-08,1.0935553973467904e-07
1813,2.5881675469463516e-08,1.4091133948568313e-07
1814,5.349351184236184e-08,3.2725441201364447e-07
1815,1.8880564667256294e-08,6.33847548670019e-07
1816,2.7811246638975717e-08,2.4798362119327066e-07
1817,2.3353100786493997e-08,2.4442911694677605e-07
1818,2.741870730460505e-08,2.0862060523541004e-07
1819,3.8298885840504227e-08,2.2047736081276526e-07
1820,1.1510486785937246e-07,2.7411570613367076e-07
1821,1.2819934447350079e-08,2.711909417030256e-07
1822,5.413832582235045e-08,2.1956098805731017e-07
1823,6.324919610278812e-08,3.6170632711218786e-07
1824,2.86317822784099e-08,1.8779081756292726e-07
1825,3.9624492131906663e-08,2.6064111580126337e-07
1826,2.290075862276808e-08,1.7439809596453415e-07
1827,4.147772969531616e-08,2.2674491617635795e-07
1828,1.3758452155343548e-08,2.293075311854409e-07
1829,1.971830521085849e-08,2.297611132462407e-07
1830,3.652892388572582e-08,4.185171178505698e-07
1831,7.795603274018958e-09,5.145097929926123e-07
1832,2.8412935559885e-08,3.57191197508655e-07
1833,9.266902800675325e-09,3.776262929022778e-07
1834,9.334531370086552e-09,2.6603413516568253e-07
1835,1.663879345414898e-08,3.237001635625347e-07
1836,2.2178475223011418e-08,2.869760180601588e-07
1837,1.7394727436226276e-08,2.46309326712435e-07
1838,1.8936486156917454e-08,2.114574186862228e-07
1839,1.6080392128969834e-08,1.789817645203584e-07
1840,1.52872523528913e-08,2.726226853155822e-07
1841,1.733548060656176e-08,2.831461927144119e-07
1842,1.60998356868447e-08,3.07909374441806e-07
1843,1.1813821920725331e-08,2.4809025944705354e-07
1844,8.781698090931656e-09,2.31068426614911e-07
1845,6.69627359117797e-09,3.1639891062695824e-07
1846,8.781752436348711e-09,2.909687282226514e-07
1847,3.775256551818984e-09,2.5402084702363936e-07
1848,7.24069959545659e-09,4.5857763097956195e-07
1849,8.379414495607307e-09,3.896427926974866e-07
1850,1.9009188889640427e-08,3.482755062123033e-07
1851,6.449438760824933e-09,2.8506519811344333e-07
