year,voulez_VERB appliquer_VERB
1800,3.144164484325529e-09
1801,1.6668277424969347e-08
1802,2.2378401354217203e-09
1803,2.3404069793286908e-08
1804,0.0
1805,0.0
1806,2.881669125542885e-09
1807,0.0
1808,1.5862518409903714e-08
1809,2.0331274441787173e-08
1810,2.106114038724627e-08
1811,0.0
1812,2.6672082320544632e-09
1813,0.0
1814,1.5733386149463513e-08
1815,0.0
1816,0.0
1817,0.0
1818,9.536941902865692e-09
1819,0.0
1820,1.1866481131050932e-09
1821,9.86148829262845e-10
1822,5.012807946513931e-09
1823,1.9765373782121287e-09
1824,0.0
1825,1.7610886082763955e-09
1826,6.1655889282974385e-09
1827,1.1982455028203276e-08
1828,8.255071293206129e-09
1829,8.57317605795771e-10
1830,8.349468672008697e-09
1831,1.5591206103948707e-09
1832,2.705993873419743e-09
1833,1.1583628500844156e-09
1834,0.0
1835,2.117664621437143e-08
1836,1.3441500135158435e-09
1837,1.530736071231331e-08
1838,6.312161904276081e-09
1839,6.9914749545318955e-09
1840,1.2102408852854296e-08
1841,6.420548537278137e-09
1842,8.720745015011744e-09
1843,1.1223130869097986e-08
1844,9.879410178825765e-09
1845,7.254296274794569e-09
1846,2.751615646445771e-08
1847,3.235934187273415e-09
1848,1.850401076808339e-08
1849,1.1731181359664333e-08
1850,2.5119284430275002e-08
1851,1.0319102017319892e-08
1852,2.6042181744401205e-09
1853,1.7915795513800958e-09
1854,6.234797567117312e-09
1855,6.368324534378189e-09
1856,3.1063134287023786e-09
1857,1.9526036343364694e-09
1858,1.0276719919488642e-08
1859,2.036869339860914e-09
1860,1.0069804545764782e-08
1861,5.187560159214399e-09
1862,1.2650361647104091e-08
1863,1.748117206545885e-08
1864,1.102787461348953e-08
1865,4.23615986733239e-09
1866,3.8924903300596725e-09
1867,1.067618526917613e-08
1868,1.0373735648272486e-08
1869,9.767038289254515e-10
1870,1.6628741050794815e-08
1871,1.4869648623516696e-08
1872,2.116568786902917e-08
1873,3.71132280463371e-08
1874,1.1949218503559678e-08
1875,9.7265964171811e-09
1876,3.627608879952504e-09
1877,2.4739263970730008e-09
1878,7.2469061862534545e-09
1879,4.887460214320072e-09
1880,3.8507077526617195e-09
1881,2.649552932609822e-08
1882,2.2628309892525067e-08
1883,1.8958017378167824e-08
1884,2.6406787867472303e-09
1885,1.8692343672910283e-08
1886,9.034849313138693e-09
1887,1.5016526688782506e-08
1888,2.0924028731883482e-08
1889,2.192797943223468e-08
1890,1.5075089621063853e-08
1891,1.0198752065093686e-08
1892,7.522214851007902e-09
1893,1.847524977449666e-08
1894,2.142523314319078e-08
1895,1.2639090662958097e-08
1896,2.299841384001411e-08
1897,1.1653426668090106e-08
1898,4.52668391659472e-09
1899,4.9748205555033564e-09
1900,6.748368974740515e-09
1901,2.4031576728589243e-08
1902,1.0311596021495006e-08
1903,1.8900770726304472e-08
1904,8.599400302955473e-09
1905,2.2191263937543226e-08
1906,1.7490227932626112e-08
1907,7.71426478252124e-09
1908,1.3260750719723546e-08
1909,3.300590023513905e-09
1910,8.550641084070776e-09
1911,1.0108711201439746e-08
1912,1.0418842677495377e-08
1913,3.71209285532359e-09
1914,9.37544086809794e-09
1915,0.0
1916,6.592477230782379e-09
1917,9.869782324756216e-09
1918,1.4932290071101306e-08
1919,6.4454939163738345e-09
1920,5.300562211374427e-09
1921,6.058197943303867e-09
1922,8.853522359686394e-09
1923,1.0615948120573648e-08
1924,9.02413699321869e-09
1925,8.798542339150117e-09
1926,4.458455382660986e-09
1927,1.1149224876660924e-09
1928,2.2852082448565625e-09
1929,2.2280811862174232e-08
1930,5.2518016602221e-09
1931,9.124285327288817e-09
1932,5.4797681947604815e-09
1933,8.02946331646126e-09
1934,9.585264137967897e-09
1935,1.196828414151696e-09
1936,9.699771652549316e-09
1937,6.295559185076627e-09
1938,3.8895642262559704e-09
1939,7.647025235257843e-09
1940,0.0
1941,0.0
1942,0.0
1943,0.0
1944,0.0
1945,2.178504043826024e-09
1946,6.960552134671616e-09
1947,1.0728784083369192e-08
1948,9.784699273041042e-09
1949,5.890204768377316e-09
1950,6.381216888229346e-09
1951,6.396841278899501e-09
1952,0.0
1953,5.386913581872932e-09
1954,2.9317608341017376e-09
1955,8.447047505910632e-09
1956,4.360570571293465e-09
1957,8.835037590415595e-09
1958,1.6544486891589827e-09
1959,6.975672928177801e-09
1960,4.152500121534786e-09
1961,9.72742331128984e-09
1962,2.5367825617905737e-09
1963,3.879631726988464e-09
1964,4.258777774879263e-09
1965,4.924839203113152e-09
1966,3.3234448526542337e-09
1967,1.9721342336964653e-09
1968,1.3474247273492779e-09
1969,5.450109252791435e-09
1970,4.1388523719376735e-09
1971,5.652237344833111e-09
1972,8.721249500354133e-09
1973,2.7566018356850464e-09
1974,3.3753431161187564e-09
1975,2.2845920710778955e-09
1976,5.713526984862938e-09
1977,3.526069214387917e-09
1978,1.7821774056514528e-09
1979,4.096381456264453e-09
1980,4.548120546843393e-09
1981,6.325549417596221e-09
1982,0.0
1983,1.89459470334441e-09
1984,1.739702604197646e-09
1985,3.0077789148208467e-09
1986,2.3977941854269602e-09
1987,1.8332451112712533e-09
1988,1.798966087207532e-09
1989,2.1952488715726304e-09
1990,2.724325431913144e-09
1991,1.7584396161396398e-09
1992,1.1019888335184191e-09
1993,2.7696036575264316e-09
1994,2.1099706426497278e-09
1995,3.253470381991974e-09
1996,2.6690460952494277e-09
1997,2.876936688878118e-09
1998,2.86087753487152e-09
1999,4.570201161957499e-10
2000,0.0
2001,7.0099388516098315e-09
2002,2.6287327870022636e-09
2003,7.91715315529018e-09
2004,1.1011977996133737e-08
2005,1.4862373554080932e-08
2006,1.1118302722934459e-08
2007,2.4366324069546863e-08
2008,9.366367237362283e-09
2009,2.813233557219519e-08
2010,2.739800031292816e-08
2011,5.3153211609924256e-08
2012,4.799996489168734e-08
2013,4.406817666335883e-08
2014,1.6240838007774983e-08
2015,7.979671146074452e-09
2016,1.6156452176119274e-08
2017,1.1823373391450787e-08
2018,1.2649186587054828e-08
2019,1.3520234709574197e-08
