year,aurons_VERB ajouté_VERB
1800,9.432493897065797e-09
1801,3.5717739876872656e-08
1802,3.1329761895904085e-08
1803,0.0
1804,2.4718509461507665e-09
1805,0.0
1806,0.0
1807,2.8469551160981155e-09
1808,0.0
1809,2.259030518203531e-09
1810,4.680253340438867e-08
1811,5.0141535368197765e-09
1812,3.7340914360584065e-08
1813,0.0
1814,0.0
1815,2.697223555614414e-09
1816,4.6352077731626196e-09
1817,2.9580593974287694e-08
1818,1.7881765401739358e-08
1819,9.315945348475907e-09
1820,1.0679833017945839e-08
1821,1.1833785507064931e-08
1822,1.4035862250239006e-08
1823,0.0
1824,1.51580028528997e-08
1825,9.68598712347557e-09
1826,1.4092774947016551e-08
1827,3.6869092223668076e-09
1828,5.503380862137419e-09
1829,2.571952872898464e-09
1830,1.2524203008013046e-08
1831,6.236482441579483e-09
1832,9.470978667991403e-09
1833,5.791814139399776e-09
1834,2.240287422239362e-08
1835,1.739510224751939e-08
1836,6.048674894287842e-09
1837,1.0436836284100082e-08
1838,1.1361890983607736e-08
1839,1.3283802502428443e-08
1840,1.52872523528913e-08
1841,1.219904177673925e-08
1842,1.542900918138912e-08
1843,1.6539351221922516e-08
1844,1.4270259640625227e-08
1845,1.785672942844485e-08
1846,1.2879903366069811e-08
1847,2.1572894581822766e-08
1848,3.218088551193432e-08
1849,1.9272654583346593e-08
1850,1.0862393651223101e-08
1851,1.2898877521649865e-08
1852,7.161600201754936e-09
1853,2.149895550473957e-08
1854,1.558699302961486e-08
1855,1.6982198758341838e-08
1856,2.174419400091665e-08
1857,1.9526035899275485e-08
1858,3.6213201326518174e-08
1859,2.189634606963864e-08
1860,3.524431591017674e-08
1861,2.5466203368296192e-08
1862,2.1234535907410645e-08
1863,1.1987090431375691e-08
1864,2.828889478223573e-08
1865,1.553258677233771e-08
1866,1.1190909532388105e-08
1867,2.4749338578544666e-08
1868,2.321740844024589e-08
1869,2.4417595057002472e-08
1870,3.2110673231500186e-08
1871,2.549082545044712e-08
1872,2.7817760539505798e-08
1873,3.352162636360845e-08
