year,pas_ADV enseigné_VERB,pas_ADV renseigné_VERB
1800,5.0306631749208464e-08,0.0
1801,4.7623650800687756e-08,0.0
1802,6.265952379180817e-08,0.0
1803,3.315576790896557e-08,0.0
1804,5.19088700912107e-08,0.0
1805,7.391481915419718e-08,0.0
1806,5.76333825108577e-08,0.0
1807,7.402083213037258e-08,8.540865792383556e-09
1808,5.891792298484688e-08,0.0
1809,2.25903047379461e-08,0.0
1810,8.424456154898508e-08,0.0
1811,4.763445815569867e-08,5.0141535368197765e-09
1812,5.067695596494559e-08,0.0
1813,5.463909147351842e-08,2.8757416448144113e-09
1814,5.034683425719777e-08,0.0
1815,4.8550024445148665e-08,0.0
1816,6.025770460382773e-08,0.0
1817,6.383181272440197e-08,1.556873407970727e-09
1818,6.318224166079744e-08,0.0
1819,4.968504185853817e-08,0.0
1820,9.8491796052258e-08,0.0
1821,8.776724769177235e-08,0.0
1822,8.321261191213125e-08,0.0
1823,7.807322788266902e-08,0.0
1824,7.747424035642325e-08,0.0
1825,4.9310479255382234e-08,0.0
1826,4.7563116112314674e-08,0.0
1827,6.728609491801762e-08,0.0
1828,6.970948618345574e-08,0.0
1829,5.229637523029851e-08,8.57317605795771e-10
1830,6.679574937606958e-08,1.0436835395921662e-08
1831,1.6526678336958867e-07,0.0
1832,5.547287429408243e-08,0.0
1833,6.139323005527331e-08,0.0
1834,6.627517024071494e-08,0.0
1835,6.277362984974388e-08,0.0
1836,9.879502727017098e-08,0.0
1837,8.001574514082677e-08,0.0
1838,8.458297173774554e-08,6.312161904276081e-10
1839,9.718150550952487e-08,6.9914751765765e-10
1840,1.242089240349742e-07,0.0
1841,1.1428576129901558e-07,1.926164561183441e-09
1842,1.200779422561027e-07,4.024959032733477e-09
1843,1.394030988421946e-07,1.1813822142769936e-09
1844,1.0977122855138077e-07,1.097712254427563e-09
1845,1.506661533312581e-07,3.348136878855712e-09
1846,1.270426821520232e-07,1.3465353276842507e-08
1847,1.0732514965638984e-07,5.3932236454556914e-09
1848,1.432049430150073e-07,6.43617736884039e-09
1849,9.887709495615127e-08,1.6758829879393033e-09
1850,1.4189001262820966e-07,1.0183494048021657e-08
1851,1.1222023488244304e-07,2.579775504329973e-09
1852,1.1263243493431219e-07,1.2370036550635177e-08
1853,1.0749477041827049e-07,1.970737528722566e-08
1854,9.092412511790826e-08,1.1430461910322265e-08
1855,1.0295457997244739e-07,1.2736649068756378e-08
1856,1.1079185213702658e-07,6.73034605824796e-09
1857,1.4693341654492542e-07,1.3180074809326925e-08
1858,1.4044850615846372e-07,1.1744822003834088e-08
1859,1.2068450416791165e-07,1.171199848215565e-08
1860,1.2358395906630903e-07,2.334363813361051e-08
1861,9.384768162590262e-08,1.4147890858851042e-08
1862,9.081152541057236e-08,1.8523744316212287e-08
1863,1.0838326858220171e-07,8.990317823531768e-09
1864,1.227450354690518e-07,2.0137857603685916e-08
1865,1.2002453786408296e-07,2.3534221682552925e-08
1866,1.7856798706361587e-07,3.065336073859726e-08
1867,1.3830512557433394e-07,2.523461972714358e-08
1868,7.16281718382561e-08,2.3711395513714706e-08
1869,1.259947879361789e-07,9.767038733343725e-09
1870,1.9667787398702785e-07,2.121598008386627e-08
1871,8.996137239591917e-07,1.805600113868877e-08
1872,1.088521059955383e-07,3.3260366905096816e-08
1873,1.0176207609902121e-07,4.2500630570430076e-08
1874,9.43988212043223e-08,6.034355237716227e-08
1875,1.035596426390839e-07,3.432916173551348e-08
1876,9.734083761259171e-08,2.5997863417615008e-08
1877,9.029831460338755e-08,4.576763856789512e-08
1878,2.3008928451417887e-07,2.4760263173106978e-08
1879,3.1218652907227806e-07,4.643087336830831e-08
1880,9.690948132856647e-08,3.0805662021293756e-08
1881,1.9801920814188634e-07,3.416528571165145e-08
1882,1.2379015856822662e-07,1.6638463051776853e-08
1883,1.6114314860260492e-07,3.2860562271253e-08
1884,1.1090850904338367e-07,3.1688145440966764e-08
1885,1.3987029490181158e-07,4.1252068427866107e-08
1886,1.3487739636275364e-07,4.38835527916126e-08
1887,1.4233056333523564e-07,4.243801043912754e-08
1888,1.1920355547090367e-07,6.78445744028977e-08
1889,1.0274824546741002e-07,4.448246926358479e-08
1890,1.264996569716459e-07,5.89894781910516e-08
1891,9.561330216456554e-08,7.521579448166449e-08
1892,1.0405730677121028e-07,7.835640758457885e-08
1893,1.0222971269513437e-07,4.310891554837326e-08
1894,7.309785843290229e-08,4.4110773700367645e-08
1895,8.305688226073471e-08,7.342709551494409e-08
1896,6.486732218036195e-08,6.545702291305133e-08
1897,8.681803365107044e-08,7.283392022827684e-08
1898,9.166534908899848e-08,9.958704794144069e-08
1899,8.733573508834525e-08,6.854197209804624e-08
1900,8.720969191244876e-08,5.6582479146527476e-08
1901,1.0450941800854707e-07,5.532851687917173e-08
1902,1.2619429412552563e-07,7.610940144786582e-08
1903,9.936405120924974e-08,8.964365605379498e-08
1904,9.029370318103247e-08,1.1179220393842115e-07
1905,1.0424733432046196e-07,8.153999431215198e-08
1906,1.12143219155314e-07,1.1780182518350557e-07
1907,1.3422821609765379e-07,7.508551647106287e-08
1908,1.5372647510503157e-07,9.675436274392268e-08
1909,1.0726918020509402e-07,8.856583377792049e-08
1910,1.0474535372395621e-07,7.161161619251288e-08
1911,9.736285022654556e-08,1.2609287125542323e-07
1912,1.073140794005667e-07,8.491356595641264e-08
1913,1.426504212531654e-07,7.795394907361697e-08
1914,9.442408810400593e-08,8.10305991194582e-08
1915,1.0249262771822032e-07,8.599955947374838e-08
1916,1.4723198660249182e-07,5.7134801778602196e-08
1917,9.431124681213987e-08,1.0747096013119517e-07
1918,8.729645628591243e-08,7.466144325007917e-08
1919,1.1693967394421634e-07,7.918749389546065e-08
1920,1.1055458060127421e-07,9.692456615084666e-08
1921,1.2267851445812994e-07,7.799929591101318e-08
1922,1.0329110011753073e-07,5.090775445637519e-08
1923,1.2951456085374957e-07,9.872831441271046e-08
1924,1.250487571269332e-07,7.34822620529485e-08
1925,1.242794098743616e-07,6.378942885021388e-08
1926,8.805449169813073e-08,7.467912865877224e-08
1927,1.0814748208076708e-07,8.250426475342465e-08
1928,7.998228568339982e-08,1.0169176789531775e-07
1929,9.692153213336496e-08,9.023729319324048e-08
1930,8.823027286553042e-08,6.512234307365361e-08
1931,9.466445760608622e-08,1.0036713860017699e-07
1932,9.425201596968691e-08,9.973178549671502e-08
1933,8.602996359741155e-08,5.850037609889114e-08
1934,1.0903237779302799e-07,8.02765853791243e-08
1935,1.4601306475015008e-07,6.941604624444153e-08
1936,9.457277627689109e-08,1.0184760412812466e-07
1937,6.295559273894469e-08,7.428759829508635e-08
1938,9.07565009811151e-08,6.223302762009553e-08
1939,1.345876512459654e-07,5.199976982339649e-08
1940,9.889553354014424e-08,7.86092684279538e-08
1941,9.444808313219255e-08,7.67390702094417e-08
1942,6.978687139280737e-08,7.888950648293758e-08
1943,1.683876433844489e-07,4.064529335323641e-08
1944,1.2210107058763242e-07,8.032965581605822e-08
1945,7.84261473540937e-08,7.84261473540937e-08
1946,9.744773166175946e-08,6.40370814153357e-08
1947,1.215928904230168e-07,5.364391952866754e-08
1948,8.262635020628295e-08,5.6533817627268945e-08
1949,6.871906066407973e-08,5.890204946013e-08
1950,1.0209947021166954e-07,4.3604980959344175e-08
1951,1.194077015043149e-07,5.970385075215745e-08
1952,7.803154744578933e-08,5.166953798152463e-08
1953,8.834538789415092e-08,5.4946518446286063e-08
1954,1.0261162941560542e-07,4.29991580119804e-08
1955,1.0136456296550023e-07,8.353190850129977e-08
1956,1.0814215301024888e-07,3.575668117150599e-08
1957,1.0248643889099185e-07,5.742774433770137e-08
1958,1.0919361415062667e-07,4.880623549752272e-08
1959,7.828255377262394e-08,2.40273188012452e-08
1960,4.0971332282424555e-07,5.605874875413974e-08
1961,1.0283275742040132e-07,4.7247482370949e-08
