year,ils_PRON amènent_VERB,ils_PRON ramènent_VERB
1800,8.17482743720177e-08,5.65949598296811e-08
1801,1.0000966632617292e-07,6.191074675143682e-08
1802,1.208433673127729e-07,5.370816325012129e-08
1803,1.8333188478436568e-07,5.8510176925707924e-08
1804,1.5572660316820475e-07,5.9324420931261557e-08
1805,1.506725197941705e-07,1.4214388555089386e-08
1806,9.509508203109363e-08,4.610670512050774e-08
1807,6.263301344233696e-08,7.402083390672942e-08
1808,2.7192887053217873e-08,6.571614363792833e-08
1809,1.987946802728402e-07,8.358412983966446e-08
1810,1.0530570548894502e-07,5.3822915901946544e-08
1811,1.6295999216708879e-07,6.76910736352454e-08
1812,1.3602762427566972e-07,1.600324850414836e-08
1813,7.18935417864941e-08,5.1763349162570194e-08
1814,1.0698702190836684e-07,8.496028414128887e-08
1815,7.552225822493597e-08,3.506390555685357e-08
1816,1.5991466106868302e-07,8.57513455798653e-08
1817,1.2454986952903369e-07,6.227493865029743e-08
1818,7.391130107947674e-08,7.152706626989414e-08
1819,1.0040518283460642e-07,7.659777279123148e-08
1820,1.1273156985680544e-07,8.42520151422832e-08
1821,7.691961023681415e-08,5.226588939422072e-08
1822,9.825103575167304e-08,5.413832582235045e-08
1823,7.807322610631218e-08,5.1389973609872186e-08
1824,1.0863235644364977e-07,8.505323911833784e-08
1825,9.245715126837695e-08,6.427973309186541e-08
1826,1.2331177856594877e-07,2.6423953580767545e-08
1827,1.373373619273366e-07,3.686909327837995e-08
1828,1.210743736379527e-07,2.4765213879618386e-08
1829,8.916103022560407e-08,2.4004892296147773e-08
1830,8.036363929875279e-08,5.0096811143873765e-08
1831,1.1225668572478753e-07,1.262887678876723e-07
1832,1.1906373131864711e-07,5.0060886991332154e-08
1833,1.0888610724180126e-07,4.054269986397685e-08
1834,1.1574818259418862e-07,6.347480763224667e-08
1835,1.4218605315363675e-07,5.294161553592858e-08
1836,1.0685992357650775e-07,6.720750089783678e-08
1837,1.238504587774969e-07,3.478945442836334e-08
1838,6.627770066103267e-08,4.481634885422636e-08
1839,1.0836786223933359e-07,3.006334403643507e-08
1840,8.53538271172738e-08,4.8409635411417185e-08
1841,7.062603302188109e-08,4.3017675199763517e-08
1842,1.0196562705289125e-07,4.561620281506862e-08
1843,9.923610821971351e-08,5.906911060282738e-08
1844,1.4599572928375437e-07,5.43367555394525e-08
1845,8.816760210805796e-08,5.357018828533455e-08
1846,1.0362467417479593e-07,6.557041487553761e-08
1847,9.330276729002662e-08,5.015698079091635e-08
1848,8.688839769899204e-08,3.781254243051535e-08
1849,8.798385908725948e-08,2.9327953399160833e-08
1850,1.2966982421147577e-07,3.869727560612546e-08
1851,1.064157357788531e-07,4.579101386958939e-08
1852,8.789236538575551e-08,4.296959854599436e-08
1853,1.0749477752369785e-07,5.4941771132632766e-08
1854,9.248282850649048e-08,5.871100827725684e-08
1855,1.1303775693249918e-07,4.988520885262915e-08
1856,8.43881853285211e-08,5.436048655660386e-08
1857,1.2838368279588508e-07,2.5871997433313254e-08
1858,1.0472466538402614e-07,4.697928801533635e-08
1859,1.201752901636155e-07,3.971895301546624e-08
1860,8.925508421242512e-08,5.996110896688833e-08
1861,9.809204559729778e-08,9.903523690013571e-08
1862,1.1114246412091688e-07,6.189641513221211e-08
1863,1.2186874442932094e-07,2.7470415275843152e-08
1864,9.253824728716609e-08,4.938569930779124e-08
1865,1.1061084403962695e-07,6.777855787731824e-08
1866,1.1580158520985151e-07,2.8220554115776508e-08
1867,1.2034972129981725e-07,4.124889585455094e-08
1868,1.249788130763818e-07,3.902500678165666e-08
1869,1.1476270067589667e-07,6.299739663262471e-08
1870,8.37171096890188e-08,3.841812645788423e-08
1871,1.1046024095406892e-07,4.036047429600842e-08
1872,1.2215625044831313e-07,5.442605344185836e-08
1873,1.388752988162878e-07,6.165584576223182e-08
1874,1.3144140176279961e-07,2.9873045370720774e-08
1875,9.955456903298909e-08,5.378235590214331e-08
1876,8.041199750508099e-08,5.2600327649088285e-08
1877,1.329735486166328e-07,5.566334415618712e-08
1878,1.207817721393667e-07,4.22736201599605e-08
1879,1.30128627873205e-07,6.598071244923176e-08
1880,1.1295409585443394e-07,3.401458492646725e-08
1881,1.4084465504993204e-07,5.2991056875839604e-08
1882,9.583754945197143e-08,6.25606224602393e-08
1883,9.479008067359018e-08,5.561018134869755e-08
1884,1.551398796095782e-07,5.149323545339257e-08
1885,1.1344318906481021e-07,6.832373689036331e-08
1886,1.135809633012741e-07,5.48544432099618e-08
1887,1.1295039481495905e-07,5.288428894800745e-08
1888,1.0905857195098179e-07,5.706553274364978e-08
1889,1.265557614260615e-07,6.327788071303075e-08
1890,1.1076913075669381e-07,6.882105729744126e-08
1891,1.6190518437042556e-07,6.182993317338514e-08
1892,1.3539986731814224e-07,7.334159501937165e-08
1893,1.1085149687062312e-07,5.788911483506354e-08
1894,1.1468801375258408e-07,4.4740930071895946e-08
1895,1.1254808995886378e-07,3.671354953382888e-08
1896,9.612157203520155e-08,4.481741999740052e-08
1897,1.270223535243531e-07,5.5353776673428e-08
1898,9.223118624390736e-08,6.224190229886517e-08
1899,1.2602878385337135e-07,5.140647907353468e-08
1900,1.1368406305223289e-07,4.360484595622438e-08
1901,1.0506829362100234e-07,4.8622028181455335e-08
1902,9.624156582788146e-08,5.4995178189187754e-08
1903,9.936405032107132e-08,5.940242253643646e-08
1904,1.0319280363546568e-07,4.08471514390385e-08
1905,8.979720789170642e-08,4.076999804425441e-08
1906,9.619624741219468e-08,3.961021910470208e-08
1907,1.1571397529053229e-07,6.891410286868904e-08
1908,1.109973908341999e-07,4.518477769721585e-08
1909,9.84676038484622e-08,4.290767119385919e-08
1910,1.0314210996398288e-07,3.7943469699541765e-08
1911,1.0853563203738759e-07,5.69280018680729e-08
1912,1.1096067176197266e-07,5.6261749037389563e-08
1913,9.015082724772583e-08,5.992378238062201e-08
1914,1.0647822179521427e-07,6.027069332503743e-08
1915,1.0484877854821661e-07,4.7123048130259804e-08
1916,1.0657838345196069e-07,7.691223435912775e-08
1917,1.0418103357778818e-07,8.224817982238619e-08
1918,8.61478177682784e-08,5.6283244731503146e-08
1919,1.243059521982559e-07,7.274200086726523e-08
1920,7.875120644484923e-08,5.5277292076993945e-08
1921,9.465934525110242e-08,4.922285867792198e-08
1922,7.230376830591467e-08,5.902348476638508e-08
1923,6.157249821114874e-08,6.051090384318059e-08
1924,7.090393516762106e-08,5.543398451379744e-08
1925,9.238469544925465e-08,6.37894341792844e-08
1926,8.35960385359158e-08,5.461607699430715e-08
1927,7.358488396391749e-08,4.0137210000068535e-08
1928,6.627104021106334e-08,5.141718606438417e-08
1929,9.13513336087135e-08,5.458799101631939e-08
1930,7.667630441687834e-08,5.3568377289536784e-08
1931,9.010231849515549e-08,7.755642528195494e-08
1932,8.110056981536218e-08,5.918149703632025e-08
1933,6.652984119170924e-08,6.30886436425726e-08
1934,6.230421689679133e-08,5.032263672433146e-08
1935,9.215578700150218e-08,4.308582290946106e-08
1936,7.396075929477774e-08,4.7286386362088706e-08
1937,9.569249925789336e-08,6.421470111206418e-08
1938,8.038432852686128e-08,4.148868537612316e-08
1939,9.176430282309411e-08,3.976453122334078e-08
1940,5.832300686847702e-08,3.550096128179803e-08
1941,4.427253941230447e-08,4.427253941230447e-08
1942,6.978686917236132e-08,6.068423630267716e-08
1943,8.129058848282966e-08,6.967764676346633e-08
1944,9.318240046241044e-08,6.426372500811794e-08
1945,1.0456819410364915e-07,8.06046500656521e-08
1946,5.4292307538617024e-08,6.403707963897887e-08
1947,7.748565877818692e-08,5.602809416416221e-08
1948,8.588791367003523e-08,6.958008036406227e-08
1949,6.282885323116716e-08,4.515823803785679e-08
1950,6.487570303193024e-08,5.424034554835089e-08
1951,7.889437370067753e-08,7.569595439349541e-08
1952,5.5887459993186894e-08,5.799642011083961e-08
1953,4.5250075686453783e-08,5.710128370139955e-08
1954,8.111205040961522e-08,4.299916067651566e-08
1955,5.7252208307545516e-08,5.9129330765017585e-08
1956,6.192010637562362e-08,5.407107650512444e-08
1957,7.863183704159837e-08,4.240818185508033e-08
1958,6.783239570040678e-08,5.542403025415865e-08
1959,6.743150571253409e-08,6.278105768586784e-08
1960,6.644000194455657e-08,6.090333215524879e-08
1961,7.573493476797921e-08,4.724748503548426e-08
1962,6.341956471089816e-08,4.883306381486818e-08
1963,7.888584718784841e-08,5.1728426875286004e-08
1964,7.179082572861262e-08,6.935723817491635e-08
1965,6.073968261688378e-08,5.5267637577571804e-08
1966,5.206730335771681e-08,4.65282292694269e-08
1967,7.592716677606859e-08,5.127548963201889e-08
1968,6.10832575631548e-08,5.973583228069401e-08
1969,5.8588677021020885e-08,5.450109519244961e-08
1970,7.265985502158401e-08,5.426495430782552e-08
1971,6.422996889909882e-08,3.5454942981516524e-08
1972,5.7457643976022155e-08,6.258779094991951e-08
1973,7.44282520059869e-08,5.017015514141576e-08
1974,5.738082897721597e-08,5.344293008135992e-08
1975,5.6543655091445544e-08,4.740528680713396e-08
1976,5.942067815567498e-08,4.456550950493465e-08
1977,5.5241750729351224e-08,7.287209413675555e-08
1978,5.999997476635599e-08,5.8811853165252614e-08
1979,6.261611495972375e-08,4.330460345869369e-08
1980,5.571447481145242e-08,5.571447747598768e-08
1981,6.325549684049747e-08,3.921840807663557e-08
1982,6.766177484962554e-08,5.152226911775415e-08
1983,5.5574782109601983e-08,4.0418023594668284e-08
1984,7.53871134406836e-08,4.5232267709138796e-08
1985,6.075713798736615e-08,5.353846610489654e-08
1986,6.174320077434459e-08,6.474044411675095e-08
1987,7.027439430373761e-08,6.41635757858694e-08
1988,5.876622743983262e-08,5.5767950257745724e-08
1989,5.707646977270997e-08,6.421103115883398e-08
1990,6.701840504774736e-08,5.612110598463005e-08
1991,8.323280376032471e-08,5.6270065051933216e-08
1992,7.052728712153566e-08,4.7385519508225116e-08
1993,7.14557764069923e-08,4.874502579355067e-08
1994,7.068401863818963e-08,7.806891311190611e-08
1995,8.621696956367941e-08,5.747797793276277e-08
1996,6.779376882093402e-08,5.3914730457904625e-08
1997,6.904647875671799e-08,7.288239700642407e-08
1998,7.15219385938326e-08,6.580018219182193e-08
1999,7.723640038648227e-08,5.986963635962184e-08
2000,1.0205652856143388e-07,5.74344092285628e-08
2001,7.798556822535829e-08,6.878502567531086e-08
2002,7.973823201723462e-08,6.659456452950963e-08
2003,7.667138035571952e-08,6.292053456036228e-08
2004,8.633390891077397e-08,5.285749438144194e-08
2005,7.791486567043648e-08,6.035024568973313e-08
2006,7.41220169686585e-08,5.1061835648624765e-08
