year,devons_VERB emporter_VERB,devons_VERB remporter_VERB
1800,6.288328968651058e-09,0.0
1801,1.6668277424969347e-08,0.0
1802,2.2378401354217203e-09,0.0
1803,0.0,3.900678446910888e-09
1804,7.4155526164076946e-09,0.0
1805,0.0,0.0
1806,1.729001475325731e-08,5.76333825108577e-09
1807,0.0,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,0.0,0.0
1811,1.0028307073639553e-08,2.5070767684098882e-09
1812,0.0,1.600324850414836e-08
1813,0.0,0.0
1814,0.0,0.0
1815,5.394447111228828e-09,0.0
1816,0.0,0.0
1817,0.0,0.0
1818,4.768470951432846e-09,0.0
1819,1.035105001712111e-09,4.140420006848444e-09
1820,4.746592452420373e-09,1.1866481131050932e-09
1821,0.0,1.0847637454958203e-08
1822,1.0025615893027862e-09,4.010246357211145e-09
1823,2.9648061783404955e-09,1.9765373338032077e-08
1824,0.0,4.210556348027694e-09
1825,0.0,7.044354433105582e-09
1826,0.0,1.7615968683770689e-09
1827,9.217273055917019e-10,3.6869092223668076e-09
1828,0.0,0.0
1829,0.0,8.57317605795771e-10
1830,0.0,5.218417697960831e-09
1831,0.0,0.0
1832,0.0,6.764984572527055e-09
1833,1.1583628500844156e-09,0.0
1834,0.0,9.334531370086552e-09
1835,0.0,7.563087933704082e-10
1836,2.688300027031687e-09,2.016224964762614e-09
1837,4.174734336004349e-09,8.349468672008697e-09
1838,3.1560809521380406e-09,3.1560809521380406e-09
1839,2.0974426639952526e-09,3.4957374772659477e-09
1840,1.9109065441114126e-09,1.0828470564661075e-08
1841,1.2841097074556274e-09,1.2841097074556274e-09
1842,4.695785538189057e-09,2.0124795163667386e-09
1843,1.1813822142769936e-09,5.906911071384968e-10
1844,5.488561272137815e-10,1.6465684371524958e-09
1845,0.0,5.580227835366713e-09
1846,5.854501328173001e-10,3.5127007969038004e-09
1847,5.393223645455691e-10,1.6179670936367074e-09
1848,8.045221711050488e-10,0.0
1849,0.0,0.0
1850,6.788996032014438e-10,0.0
1851,0.0,1.2898877521649865e-09
1852,6.510545436100301e-10,4.557382027314816e-09
1853,5.971931837933653e-10,4.180352064508952e-09
1854,0.0,6.234797567117312e-09
1855,2.653468555990912e-09,4.2455496895854594e-09
1856,0.0,7.765783571755946e-09
1857,0.0,1.4644527812635033e-09
1858,4.404308473482388e-09,0.0
1859,7.129042689513199e-09,1.5276520048956854e-09
1860,2.746310290291376e-09,2.288591982591015e-09
1861,4.2443675241088386e-09,2.357981809808507e-09
1862,1.1746764450037972e-08,0.0
1863,4.495158911765884e-09,3.496234635136375e-09
1864,1.4384183844029508e-09,2.3973640850272204e-09
1865,2.3534221238463715e-09,1.3179164426446732e-08
