year,sans_ADP allumer_VERB,sans_ADP rallumer_VERB
1800,3.458580977167003e-08,9.432493897065797e-09
1801,9.524730337773235e-09,0.0
1802,9.84649659585557e-08,4.475680270843441e-09
1803,1.3652374120098898e-08,3.900678446910888e-09
1804,1.9774807125116922e-08,2.4718509461507665e-09
1805,2.842877711017877e-09,2.842877711017877e-09
1806,0.0,0.0
1807,8.540865792383556e-09,2.8469551160981155e-09
1808,2.2660739951163578e-09,0.0
1809,6.7770917766551975e-09,9.036122072814123e-09
1810,3.510190182964834e-08,0.0
1811,0.0,2.5070767684098882e-09
1812,5.3344164641089264e-09,0.0
1813,5.751483289628823e-09,2.8757416448144113e-09
1814,1.8880061958270744e-08,0.0
1815,1.6183340889597275e-08,0.0
1816,5.7940098940889584e-08,6.952811659743929e-09
1817,4.670620334934483e-09,2.3353100786493997e-08
1818,3.695564854133693e-08,0.0
1819,3.933399084221634e-08,1.6561680027393777e-08
1820,3.322614716694261e-08,1.3053129244156025e-08
1821,2.9584464655840748e-08,9.86148829262845e-10
1822,2.3058916553964082e-08,1.0025615893027862e-09
1823,2.8659792761231984e-08,4.0519015698237126e-08
1824,2.947389532437228e-08,8.421112696055388e-10
1825,1.3208164340028361e-08,1.3208164340028361e-08
1826,8.807984452907647e-09,8.80798456392995e-09
1827,2.7651818612639545e-08,0.0
1828,8.255071293206129e-09,1.7427371545863934e-08
1829,2.143293986733852e-08,1.2859763920403111e-08
1830,5.218417920005436e-09,0.0
1831,6.236482219534878e-09,2.0268567268999504e-08
1832,3.5177919244233635e-08,0.0
1833,9.266902800675325e-09,0.0
1834,1.213489042584115e-08,2.8003592777992026e-09
1835,2.0420337421001022e-08,3.781543966852041e-09
1836,1.5457725766054864e-08,2.016224964762614e-09
1837,2.6439985201243132e-08,2.7831563720326358e-09
1838,1.1361891205652341e-08,5.049729523420865e-09
1839,8.38977065598101e-09,4.194885327990505e-09
1840,1.6561190807617976e-08,5.732719965401145e-09
1841,1.8619591202195807e-08,2.5682194149112547e-09
1842,2.3478927246856074e-08,4.024959032733477e-09
1843,1.5357969118667825e-08,1.7720733769266417e-09
1844,2.9638231424655714e-08,3.293136763282689e-09
1845,1.3392547515422848e-08,5.022205318283568e-09
1846,2.1076203893244383e-08,5.854501328173001e-10
1847,1.4561703842730367e-08,2.6966118227278457e-09
1848,2.8962798603870965e-08,6.436177313329239e-09
1849,6.284561493430374e-08,0.0
1850,2.1045888587423178e-08,1.3577992064028876e-09
1851,2.7732586005413395e-08,3.2247193804124663e-09
1852,2.669323606596663e-08,6.510545436100301e-10
1853,8.360704129017904e-09,1.7915795513800958e-09
1854,2.5978321716024766e-08,2.0782657816909023e-09
1855,1.5920811335945473e-08,9.021793090369101e-09
1856,2.5885945831305435e-08,6.73034605824796e-09
1857,9.763017949637742e-09,6.8341128311999455e-09
1858,3.52344677878591e-08,6.8511463169329545e-09
1859,3.564521433574441e-08,6.110608019582742e-09
1860,2.2428201962299e-08,3.661747127736703e-09
1861,3.584132457490341e-08,2.8295783494058924e-09
1862,2.3493528900075944e-08,3.162590411776023e-09
1863,2.097740825490746e-08,2.4973103585068657e-09
1864,1.7740493518658695e-08,3.3563094525845827e-09
1865,3.153585836912498e-08,4.23615986733239e-09
1866,3.405929049904444e-08,2.432806400776144e-09
1867,1.7955402498159856e-08,9.7056229719783e-10
1868,1.2843672791973404e-08,1.0867722721741302e-08
1869,2.734770754297955e-08,9.767038289254515e-10
1870,3.325748254567884e-08,1.1468097582678638e-09
1871,4.354682658913589e-08,0.0
1872,2.53988242659986e-08,4.23313739617015e-09
1873,3.4718826924518e-08,0.0
1874,2.8080663128093875e-08,4.779687312606029e-09
1875,2.8035482102506393e-08,1.1443054281912168e-09
1876,2.0556450763820067e-08,0.0
1877,1.9172929910382663e-08,0.0
1878,1.751335776400964e-08,1.2078177347163432e-09
1879,6.720257683667796e-09,0.0
1880,2.0537107792151232e-08,6.417846254436199e-10
1881,1.8128519130300447e-08,6.972507571312292e-10
1882,1.9966154951589488e-08,3.3276925659464496e-09
1883,3.033282736097931e-08,1.8958017378167824e-09
1884,2.5086448474098688e-08,6.601696966868076e-10
1885,1.8047780159236027e-08,0.0
1886,3.74300894723234e-08,1.936039106809062e-09
1887,1.828098838974057e-08,1.3057849246322917e-09
1888,4.31161804037572e-08,6.340614699951175e-10
1889,1.7542383545787743e-08,1.4409814674820609e-08
1890,1.8352281749844934e-08,3.9326319978272295e-09
1891,2.613430305498099e-08,3.1871101313640793e-09
