year,certains_DET aides_NOUN,certains_DET raids_NOUN
1800,0.0,0.0
1801,7.143547975374531e-09,0.0
1802,8.951360541686881e-09,0.0
1803,0.0,0.0
1804,0.0,0.0
1805,0.0,0.0
1806,5.76333825108577e-09,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,1.8072244145628247e-08,0.0
1810,9.360507036149102e-09,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,4.6352077731626196e-09,0.0
1817,0.0,0.0
1818,4.768470951432846e-09,0.0
1819,0.0,0.0
1820,0.0,0.0
1821,0.0,0.0
1822,1.2030739071633434e-08,0.0
1823,0.0,0.0
1824,8.421112696055388e-10,0.0
1825,8.805443041381977e-10,0.0
1826,4.403992281964975e-09,0.0
1827,0.0,0.0
1828,0.0,0.0
1829,0.0,0.0
1830,0.0,0.0
1831,0.0,0.0
1832,2.705993873419743e-09,0.0
1833,3.4750886612755494e-09,0.0
1834,2.8003592777992026e-09,0.0
1835,7.563087933704082e-10,0.0
1836,1.1425274948351216e-08,0.0
1837,0.0,0.0
1838,6.312161904276081e-10,0.0
1839,2.7965900706306e-09,0.0
1840,0.0,0.0
1841,1.926164561183441e-09,0.0
1842,0.0,0.0
1843,0.0,0.0
1844,2.140538946093784e-08,0.0
1845,0.0,0.0
1846,0.0,0.0
1847,2.1572894581822766e-09,0.0
1848,1.6090443422100975e-09,0.0
1849,0.0,0.0
1850,3.394498016007219e-09,0.0
1851,0.0,0.0
1852,0.0,0.0
1853,8.957897534855874e-09,0.0
1854,0.0,0.0
1855,5.306937111981824e-10,0.0
1856,0.0,0.0
1857,0.0,0.0
1858,1.2723557318849998e-08,0.0
1859,3.055304009791371e-09,0.0
1860,0.0,0.0
1861,3.3011746669586728e-09,0.0
1862,0.0,0.0
1863,3.496234635136375e-09,0.0
1864,2.8768367688059016e-09,0.0
1865,4.706844358715045e-10,0.0
1866,0.0,0.0
1867,1.2132028714972876e-08,0.0
1868,0.0,0.0
1869,1.953407657850903e-09,0.0
1870,0.0,0.0
1871,4.248470908407853e-09,0.0
1872,6.047339295989218e-10,0.0
1873,1.7958012854535355e-09,0.0
1874,1.2546679251101978e-08,0.0
1875,0.0,0.0
1876,4.232210137899983e-09,0.0
1877,0.0,0.0
1878,1.2078177347163432e-09,0.0
1879,0.0,0.0
1880,1.2835692508872398e-09,0.0
1881,3.4862537301449947e-09,0.0
1882,3.9932310791357395e-09,2.6621540527571597e-09
1883,3.159669414998234e-09,1.895801682305631e-09
1884,6.601696966868076e-10,0.0
1885,1.2891271383708158e-09,0.0
1886,5.808117542471791e-09,0.0
1887,5.223139698529167e-09,0.0
1888,0.0,0.0
1889,1.4409814674820609e-08,0.0
1890,3.2771931834929546e-09,0.0
1891,0.0,0.0
1892,1.8805537127519756e-09,0.0
1893,5.542574843531156e-09,0.0
1894,0.0,0.0
1895,0.0,0.0
1896,4.1279202278587945e-09,0.0
1897,2.9133566670225264e-09,0.0
1898,0.0,0.0
1899,0.0,5.527578395003729e-10
1900,4.15284251431558e-09,5.191053142894475e-10
1901,0.0,0.0
1902,1.4730852093691738e-09,0.0
1903,2.1600881083827517e-09,1.0800440541913758e-09
1904,1.0749250378694342e-09,0.0
1905,6.708986699521802e-09,0.0
1906,3.600929110447737e-09,0.0
1907,4.114274698707732e-09,0.0
1908,2.9468334439286537e-09,9.822778146428846e-10
1909,7.701377313651392e-09,0.0
1910,1.068830135508847e-09,1.068830135508847e-09
1911,2.6601871816467337e-09,2.6601871816467337e-09
1912,2.0837684910901544e-09,0.0
1913,5.30298971401777e-10,3.181793939432964e-09
1914,3.3483718020477227e-09,0.0
1915,1.1780761921542648e-09,0.0
1916,3.2962386153911893e-09,1.0987462051303964e-09
1917,0.0,9.869782324756216e-09
1918,2.2972752589112133e-09,1.1486376294556067e-09
1919,0.0,9.207848372660976e-10
