year,sans_ADP établir_VERB,sans_ADP etablir_VERB,sans_ADP rétablir_VERB
1800,1.2891074163690064e-07,0.0,9.432493897065797e-09
1801,2.0478169915350009e-07,0.0,1.4287095950749062e-08
1802,1.5664880947952042e-07,0.0,1.5664880947952042e-08
1803,1.7553052944485614e-07,0.0,5.265916058760922e-08
1804,3.683057776537879e-07,0.0,4.943701981119375e-08
1805,2.842877753206352e-07,0.0,1.9900143755080535e-08
1806,1.7290015286164362e-07,0.0,2.0171682990621775e-08
1807,1.7651121630990474e-07,2.8469551160981155e-09,3.131650672116848e-08
1808,1.9035021203706037e-07,6.798221985349073e-09,2.2660739951163578e-09
1809,1.5361408145508904e-07,2.259030518203531e-09,8.810219043198231e-08
1810,1.1232608443378922e-07,0.0,4.212228077449254e-08
1811,1.3036799373367103e-07,0.0,3.760615285841595e-08
1812,1.4402923653733524e-07,0.0,7.20146218213813e-08
1813,1.4378707646756084e-07,0.0,2.5881674803329702e-08
1814,1.85653951767506e-07,0.0,1.2272040805783035e-07
1815,1.9150286867386512e-07,0.0,3.7761129112467984e-08
1816,2.224899713354489e-07,0.0,1.1356259044248418e-07
1817,2.5688412641500236e-07,0.0,3.269434190045217e-08
1818,2.098127156457963e-07,1.1921177378582115e-09,3.695565098382758e-08
1819,1.759678559531963e-07,3.1053151161586356e-09,6.728182511128722e-08
1820,2.575026529783031e-07,0.0,3.559944161679596e-08
1821,2.0018821167422374e-07,0.0,4.043210211079895e-08
1822,2.2758148077173246e-07,1.0025615893027862e-09,2.606660132187244e-08
1823,2.3323141284947724e-07,0.0,2.4706716672540097e-08
1824,1.2631668599993873e-07,0.0,2.947389532437228e-08
1825,1.919586534171458e-07,0.0,4.138558362676292e-08
1826,2.0522603172423715e-07,0.0,1.3211976179761109e-08
1827,2.1844937414527976e-07,0.0,6.544263975172271e-08
1828,2.3205922516922328e-07,9.172301251858528e-10,5.4116576109208836e-08
1829,2.0661354138695742e-07,0.0,2.743416338546467e-08
1830,2.3169775431597373e-07,0.0,2.5048406016026092e-08
1831,3.0870588374476426e-07,0.0,7.795603096383275e-08
1832,2.3136247229160745e-07,0.0,2.841293600397421e-08
1833,1.8186296202316043e-07,2.3167257001688313e-09,2.0850531967653296e-08
1834,2.1749456458053373e-07,0.0,6.254135520578075e-08
1835,1.8453935268780697e-07,0.0,4.9916380362446944e-08
1836,2.056549543993924e-07,6.720750067579218e-10,3.763620171071125e-08
1837,2.0595357241859347e-07,6.957890930081589e-10,4.6617870452791976e-08
1838,1.817902655076864e-07,0.0,3.28232410140572e-08
1839,2.1953232121063593e-07,0.0,3.4258228476247155e-08
1840,2.649790529218876e-07,6.369688665408546e-10,3.694419348221345e-08
1841,2.722312499869872e-07,0.0,1.2841096630467064e-08
1842,2.2942266575398662e-07,2.683306021822318e-09,3.152884486823382e-08
1843,2.522251110192997e-07,0.0,3.6622846977252266e-08
1844,1.811225223136148e-07,1.097712254427563e-09,3.348022237226189e-08
1845,2.226510957825667e-07,5.580227946389016e-10,6.807878155656866e-08
1846,2.657943625195003e-07,1.7563503984519002e-09,4.859235991361288e-08
1847,2.8530154416728237e-07,0.0,4.422443566909351e-08
1848,2.3492046707929148e-07,1.6090443422100975e-09,4.907585093860689e-08
1849,2.2205450278534045e-07,8.379414939696517e-10,6.871120206142223e-08
1850,2.152111751030361e-07,0.0,5.159637073148815e-08
1851,2.573325961208184e-07,6.449438760824933e-10,8.061798228986561e-08
1852,1.790399961620892e-07,0.0,3.385483537954315e-08
1853,2.0065690886639231e-07,1.1943863675867306e-09,4.896984151514516e-08
1854,2.4991147373754075e-07,0.0,2.1302223818242538e-08
1855,1.740675443784312e-07,5.306937111981824e-10,3.1841622671890946e-08
1856,2.0864072869386519e-07,0.0,3.7793482565717795e-08
1857,2.4993327230049545e-07,0.0,1.9037885268247123e-08
1858,1.6540625225047734e-07,4.893676019968041e-10,5.921348078530286e-08
1859,1.787352887916427e-07,0.0,4.379269213927728e-08
1860,1.8354508046769524e-07,0.0,3.7990627532735743e-08
1861,1.575131900466431e-07,0.0,6.177912448279699e-08
1862,1.5315974000174037e-07,0.0,3.478849569527043e-08
1863,1.8380204824808288e-07,4.994620828036034e-10,3.845858032036631e-08
