year,leurs_DET adieux_NOUN,leurs_DET radieux_ADJ
1800,3.804438968302293e-07,0.0
1801,2.1430643570852226e-07,0.0
1802,1.5217312920867698e-07,0.0
1803,1.599278209862831e-07,0.0
1804,2.521287925105753e-07,0.0
1805,2.302731010317416e-07,0.0
1806,1.5849180812210761e-07,0.0
1807,1.708173051895301e-07,0.0
1808,2.6513066586630885e-07,0.0
1809,2.1460789589866636e-07,0.0
1810,2.761349620072906e-07,0.0
1811,2.25636902939641e-07,0.0
1812,1.7603574065105931e-07,0.0
1813,1.8692320669089213e-07,0.0
1814,1.6677388892105682e-07,0.0
1815,1.6992509066504624e-07,0.0
1816,1.4600904130190884e-07,0.0
1817,2.6622534088360794e-07,0.0
1818,2.718028486725643e-07,0.0
1819,2.929347093783008e-07,0.0
1820,2.39702917070872e-07,0.0
1821,1.8243752641922129e-07,0.0
1822,2.917454366979655e-07,0.0
1823,3.5083539806635144e-07,0.0
1824,3.166338515825373e-07,0.0
1825,3.7070915759329637e-07,0.0
1826,2.8625949433092046e-07,0.0
1827,1.4563292083380475e-07,0.0
1828,2.045423173058225e-07,0.0
1829,1.7317815181883134e-07,0.0
1830,2.0873672212928795e-07,0.0
1831,2.4945929943953615e-07,0.0
1832,2.990123100232722e-07,0.0
1833,2.8032381216291924e-07,1.1583628500844156e-09
1834,2.1749456458053373e-07,0.0
1835,3.0176719434393817e-07,0.0
1836,2.0699910407984135e-07,2.688300027031687e-09
1837,1.8229674303427146e-07,0.0
1838,1.7926539896961913e-07,0.0
1839,2.698709540283062e-07,0.0
1840,1.949124772693267e-07,0.0
1841,1.9325851718932086e-07,0.0
1842,2.166769572653493e-07,0.0
1843,1.6303074357182368e-07,0.0
1844,2.4204554982532045e-07,0.0
1845,1.9307588594585923e-07,0.0
1846,2.318382517074724e-07,0.0
1847,1.9092011616095306e-07,0.0
1848,2.1883002965239484e-07,0.0
1849,1.8686095071274167e-07,0.0
1850,1.9416528651561293e-07,0.0
1851,1.6446068862308039e-07,0.0
1852,1.9531636752390114e-07,3.906327261660181e-09
1853,2.137951611302924e-07,0.0
1854,1.9483741731107784e-07,0.0
1855,2.0962401592328206e-07,0.0
1856,2.0656985100231395e-07,0.0
1857,1.7182912626090285e-07,4.881509085841174e-10
1858,1.7323613121789094e-07,0.0
1859,2.9687371849718147e-07,0.0
1860,2.755464727499657e-07,4.577183909670879e-10
1861,2.3438339713521827e-07,0.0
1862,1.7620146852692642e-07,0.0
1863,2.627170516689148e-07,9.989241656072068e-10
1864,2.593947803219976e-07,6.712618905169165e-09
1865,2.3957837314014796e-07,0.0
1866,1.951110712994364e-07,4.865612912574591e-10
1867,2.601106974253753e-07,0.0
1868,2.1192060195573958e-07,1.4819622196071691e-09
1869,2.3538562565761367e-07,0.0
1870,2.0298532099616295e-07,0.0
1871,3.090762454860396e-07,0.0
1872,2.648734636068184e-07,0.0
1873,1.8077732999444152e-07,0.0
