year,des_DET humeurs_NOUN,des_DET rumeurs_NOUN
1800,9.778351781619676e-07,7.231578180721954e-08
1801,1.57872405281978e-06,1.3334623116811883e-07
1802,1.4210285144145018e-06,1.3427040812530322e-07
1803,1.583675395266937e-06,7.021220937986072e-08
1804,1.2779468896439994e-06,1.0381774151468903e-07
1805,1.2309660668563538e-06,2.558589873302708e-08
1806,8.21275698115187e-07,6.627838899930794e-08
1807,6.320240402146737e-07,1.7081731584767113e-08
1808,6.91152547194207e-07,1.0423940466353088e-07
1809,6.79968170658185e-07,1.2876474331235954e-07
1810,6.552354978595076e-07,1.0530570682121265e-07
1811,1.0103519514359505e-06,8.273353557797236e-08
1812,7.921608498051569e-07,5.86785815492874e-08
1813,1.0093853148873677e-06,4.888760685162197e-08
1814,1.0793102518391606e-06,1.888006266881348e-07
1815,1.5050507078395725e-06,2.4814456978106136e-07
1816,8.297021665271131e-07,6.025770460382773e-08
1817,7.581973262560382e-07,7.940054391752938e-08
1818,1.5795559846765173e-06,8.821671526604291e-08
1819,7.483809305597333e-07,1.8321359007700266e-07
1820,8.330269833933812e-07,1.6850403650181534e-07
1821,8.046974649955629e-07,9.664258548980342e-08
1822,5.273474101841202e-07,1.0627152846609533e-07
1823,4.842516561076593e-07,9.685033219852812e-08
1824,4.749507702683786e-07,1.204219088890568e-07
1825,3.900811229584633e-07,1.1270966782106484e-07
1826,3.3206099914195875e-07,9.160303982014284e-08
1827,3.8067337726488404e-07,1.4010255355856316e-07
1828,4.5769782719418117e-07,1.861977168005069e-07
1829,4.7666860192308036e-07,1.0287811580411699e-07
1830,3.0684297502858726e-07,1.6907673838773007e-07
1831,4.2096255370438485e-07,1.340843738262265e-07
1832,3.3148424982698543e-07,1.325936995755228e-07
1833,3.1623306995243183e-07,1.2626155410089268e-07
1834,3.4164383810875165e-07,2.389639881528183e-07
1835,7.124428833549246e-07,2.3521204184362432e-07
1836,4.308000791652944e-07,2.063270301277953e-07
1837,4.098197621260624e-07,1.3011255806105737e-07
1838,3.5979322410284453e-07,1.2561202034078178e-07
1839,3.0972233666659577e-07,1.258465527342878e-07
1840,3.1721049786881395e-07,2.2612395156329512e-07
1841,4.494383887276854e-07,1.2841097074556274e-07
1842,3.3340076877053093e-07,2.515599426544668e-07
1843,3.6681916393277447e-07,1.305427375086765e-07
1844,3.4029080397957046e-07,2.0911419085223315e-07
1845,2.7510523903373496e-07,1.5680440679233243e-07
1846,3.020922711982621e-07,1.873440371724655e-07
1847,1.7959434472913927e-07,3.1873951655825294e-07
1848,3.0089130426125266e-07,2.864098860300146e-07
1849,2.714930329439369e-07,3.293110069080285e-07
1850,2.6137634723255587e-07,2.6273415443256454e-07
1851,2.986090144041498e-07,1.5414158482940366e-07
1852,2.506559915183004e-07,2.4089018069162194e-07
1853,5.464317762715609e-07,1.6243655132086587e-07
1854,3.299246980059678e-07,1.5898733707331303e-07
1855,3.852836414353078e-07,2.584478302480875e-07
1856,4.322953017776854e-07,2.2779632047331688e-07
1857,2.489569599362085e-07,1.923314556506739e-07
1858,3.538127892888099e-07,2.300027723833864e-07
1859,2.1743579647903744e-07,2.8363405490949845e-07
1860,2.2977463753903749e-07,2.8012365405061246e-07
1861,2.6739513536711e-07,3.7114634920953904e-07
