year,des_DET arts_NOUN,des_DET rares_ADJ
1800,4.483578486258466e-06,9.118077315406481e-08
1801,3.931332472006943e-06,6.667311436281409e-08
1802,4.428685599577875e-06,6.937304419807333e-08
1803,3.526213344429152e-06,6.826187259889593e-08
1804,3.3913795363105237e-06,5.9324420931261557e-08
1805,3.223823284770333e-06,7.107194033295627e-08
1806,3.5992048168509427e-06,2.5935022129885965e-08
1807,4.011359820310645e-06,3.701041606518629e-08
1808,3.7050310908171014e-06,5.891792476120372e-08
1809,3.1671608553551778e-06,5.1957702140725814e-08
1810,3.896311042694833e-06,4.680253340438867e-08
1811,3.387060658610608e-06,1.2535384286138651e-08
1812,3.6300704806535578e-06,2.9339290108509886e-08
1813,3.255339500185528e-06,3.1633157648869314e-08
1814,3.2410774721824964e-06,5.97868634599763e-08
1815,3.331071116718931e-06,3.776112933451259e-08
1816,3.1287652859646187e-06,9.270415546325239e-09
1817,3.2118297426109166e-06,8.874178414330913e-08
1818,2.9159198788875074e-06,4.530047559292427e-08
1819,2.927277048314636e-06,2.4842520929269085e-08
1820,2.876435104326447e-06,2.3732962262101864e-08
1821,2.9022359342434356e-06,3.155676253641104e-08
1822,3.4929246055526164e-06,5.1130641054442094e-08
1823,2.9173692723816202e-06,4.5460360809101985e-08
1824,2.833704328963904e-06,5.136878655775945e-08
1825,3.2941162402266855e-06,4.3146670236637874e-08
1826,2.9453898733322603e-06,3.87551304381617e-08
1827,3.0260306473905985e-06,9.30944561439162e-08
1828,2.8287376423463684e-06,3.3020285172824515e-08
1829,3.052907935341409e-06,1.628903412154159e-08
1830,2.933794661430511e-06,4.5922078584226256e-08
1831,2.5101842915375983e-06,1.09138444948087e-08
1832,2.9278854398739895e-06,5.276688064270729e-08
1833,3.0430191131358697e-06,4.865124125785769e-08
1834,2.6426057289086202e-06,3.920502922305502e-08
1835,2.160017992025587e-06,1.3613558280667348e-08
1836,2.150639986098213e-06,6.653542888868103e-08
1837,2.4992744016572033e-06,7.514522493146103e-08
1838,2.1499224018839413e-06,6.122796936125496e-08
1839,2.275725186962063e-06,7.550792924249095e-08
1840,2.2172886460225527e-06,4.904660355631307e-08
1841,2.300482588424302e-06,4.8154113585496816e-08
1842,2.4116211712055247e-06,6.238686633963653e-08
1843,2.311964927059762e-06,8.033398946061254e-08
1844,1.9797239900753993e-06,8.013299629405779e-08
1845,1.9748427249055567e-06,7.421703429599802e-08
1846,2.3014045282820916e-06,7.2595816025256e-08
1847,2.3638499619949016e-06,5.2853591725465776e-08
1848,1.978319961182251e-06,5.309846379253358e-08
1849,2.097367545417228e-06,6.619737846769169e-08
1850,2.3530659802872833e-06,6.585326417507531e-08
1851,1.8658225933165795e-06,8.513259075471069e-08
1852,2.4668457729859483e-06,1.0416872786578324e-07
1853,2.176172033685475e-06,6.688563480850007e-08
1854,2.1624355373006665e-06,8.261106243523386e-08
1855,1.946053803436598e-06,5.5722839675809155e-08
1856,2.319380863369247e-06,7.248064815001953e-08
1857,2.2210867385297206e-06,1.0690504703703141e-07
1858,2.2501123346785334e-06,1.0276719564217274e-07
1859,2.1977820203744614e-06,9.114990007219603e-08
1860,2.1380026424822063e-06,8.696649639317044e-08
1861,2.0915298755141976e-06,8.960330843965636e-08
1862,1.912915438495588e-06,8.719713706639709e-08
1863,2.378937921321267e-06,7.292146264603616e-08
1864,2.125023428334316e-06,8.918194249751821e-08
1865,1.7387083470765674e-06,1.08257422803959e-07
1866,2.080049533503825e-06,1.0120474858155148e-07
1867,2.040121913182702e-06,8.977701426715612e-08
1868,1.9966971045448645e-06,1.0768925307047539e-07
