year,grands_ADJ aides_NOUN,grands_ADJ raids_NOUN
1800,0.0,0.0
1801,0.0,0.0
1802,0.0,0.0
1803,0.0,0.0
1804,0.0,0.0
1805,0.0,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,0.0,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,0.0
1817,0.0,0.0
1818,0.0,0.0
1819,1.035105001712111e-09,0.0
1820,0.0,0.0
1821,0.0,0.0
1822,0.0,0.0
1823,9.882686891060644e-10,0.0
1824,0.0,0.0
1825,0.0,0.0
1826,0.0,0.0
1827,0.0,0.0
1828,0.0,0.0
1829,0.0,0.0
1830,0.0,0.0
1831,0.0,0.0
1832,0.0,0.0
1833,0.0,0.0
1834,0.0,0.0
1835,0.0,0.0
1836,4.704525213838906e-09,0.0
1837,0.0,0.0
1838,0.0,0.0
1839,0.0,0.0
1840,0.0,0.0
1841,6.420548537278137e-10,0.0
1842,0.0,0.0
1843,0.0,0.0
1844,0.0,0.0
1845,0.0,0.0
1846,0.0,0.0
1847,0.0,0.0
1848,0.0,0.0
1849,0.0,0.0
1850,6.788996032014438e-10,0.0
1851,5.93348374877678e-08,0.0
1852,6.510545436100301e-10,0.0
1853,5.971931837933653e-10,0.0
1854,8.832629738719788e-09,0.0
1855,0.0,0.0
1856,2.0708756931497874e-09,0.0
1857,2.4407544874094356e-09,0.0
1858,0.0,0.0
1859,0.0,0.0
1860,0.0,0.0
1861,4.715963730639317e-10,0.0
1862,0.0,0.0
1863,0.0,0.0
1864,6.712618905169165e-09,0.0
1865,2.3534221238463715e-09,0.0
1866,9.731225825149181e-10,0.0
1867,0.0,0.0
1868,0.0,0.0
1869,4.883519144627257e-10,0.0
1870,0.0,0.0
1871,0.0,0.0
1872,0.0,6.047339295989218e-10
1873,0.0,0.0
1874,0.0,0.0
1875,0.0,0.0
1876,0.0,0.0
1877,0.0,0.0
1878,0.0,0.0
1879,0.0,0.0
1880,1.9253538763308597e-09,0.0
1881,0.0,1.3945015142624584e-09
1882,0.0,2.6621540527571597e-09
1883,0.0,8.21514056781325e-09
1884,0.0,6.601696966868076e-10
1885,0.0,6.445635691854079e-10
1886,1.936039106809062e-09,0.0
1887,0.0,1.9586774424595887e-09
1888,0.0,6.340614699951175e-10
1889,1.2530273485467092e-09,6.265136742733546e-10
1890,1.3108772956016423e-09,0.0
1891,0.0,2.5496880162734215e-09
1892,0.0,6.268512375839919e-10
1893,0.0,1.847525021858587e-09
1894,0.0,0.0
1895,0.0,6.018614495673091e-10
1896,0.0,0.0
1897,0.0,0.0
1898,0.0,5.6583548957434e-10
1899,5.527578395003729e-10,6.080336234504102e-09
1900,1.038210628578895e-09,0.0
1901,0.0,1.1177477832191585e-09
1902,1.9641135384773634e-09,1.9641135384773634e-09
1903,5.400220270956879e-10,2.7001101354784396e-09
1904,0.0,1.0749250378694342e-09
1905,0.0,6.708986699521802e-09
1906,0.0,3.600929110447737e-09
1907,0.0,0.0
1908,9.822778146428846e-10,4.911389073214423e-10
1909,0.0,6.0510818578052294e-09
1910,0.0,7.481810726517324e-09
1911,0.0,1.0108711201439746e-08
1912,0.0,8.335073964360618e-09
1913,0.0,1.1136278177392711e-08
1914,0.0,1.875088173619588e-08
1915,1.1780761921542648e-09,5.065727737285641e-08
1916,1.0987462051303964e-09,4.394984842726046e-08
1917,0.0,3.509255752653928e-08
1918,0.0,3.6756403254400993e-08
1919,0.0,5.985101603211973e-08
1920,2.2716695191604686e-09,6.815008246618959e-08
1921,0.0,3.483463828501954e-08
1922,2.2133805899215986e-09,2.5822775029382683e-08
1923,0.0,3.8217415010421973e-08
1924,0.0,5.543398584606507e-08
1925,0.0,9.348451035506855e-08
1926,0.0,1.6161901228439746e-07
1927,0.0,1.683533024099404e-07
1928,0.0,1.5310895440379113e-07
1929,0.0,9.803557876608693e-08
1930,1.0503603542488804e-09,8.192811107310405e-08
1931,2.2810713318222042e-09,6.957267917329091e-08
1932,0.0,4.493409921924041e-08
1933,0.0,5.620624587976408e-08
1934,0.0,4.7926322466196325e-08
1935,0.0,3.8298507476497434e-08
1936,0.0,3.758661559771781e-08
1937,0.0,5.4141809147090214e-08
1938,0.0,6.612259539906518e-08
1939,0.0,5.964679861136801e-08
1940,0.0,2.5357829613881222e-08
1941,0.0,4.427253941230447e-08
1942,0.0,2.4273694165799498e-08
1943,0.0,6.967764720755554e-08
1944,0.0,6.7476911169706e-08
1945,0.0,1.437812726656773e-07
1946,1.3921104269343232e-09,6.821341003160342e-08
1947,1.1920870957027319e-09,4.053096236411591e-08
1948,0.0,5.109787437618252e-08
1949,0.0,3.8286334103077024e-08
1950,1.0635361480382244e-09,3.296961992305114e-08
1951,0.0,1.7058242818279723e-08
1952,0.0,2.741649041126948e-08
1953,0.0,2.693456935265459e-08
1954,0.0,3.811289239763482e-08
1955,9.385607846468247e-10,3.660386971304774e-08
1956,0.0,2.965188206083269e-08
1957,3.534015080575159e-09,4.417518795207798e-09
1958,0.0,3.805231918452279e-08
1959,0.0,2.945284249822322e-08
1960,0.0,1.9378333604436193e-08
1961,0.0,2.084447814354462e-08
1962,0.0,1.7757478709690133e-08
1963,0.0,2.198458126656533e-08
1964,0.0,2.3727476872181796e-08
1965,0.0,2.6265809083270142e-08
1966,1.1078149508847446e-09,1.107814973089205e-08
1967,0.0,1.774920732611207e-08
1968,4.4914158503495116e-10,2.9643343779639508e-08
1969,6.8126366770115965e-09,2.634219598007803e-08
1970,0.0,1.6555409487750694e-08
1971,1.541519245584766e-09,1.8498230724972586e-08
1972,0.0,1.5903455052868054e-08
1973,0.0,2.4258095976392724e-08
1974,5.625571675160757e-10,5.625571564138454e-09
1975,2.2845920710778955e-09,1.8276736568623164e-08
1976,0.0,1.4283816740512378e-08
1977,5.876781838942691e-10,1.23412418062685e-08
1978,1.1881182704343018e-09,1.3069301307844228e-08
1979,0.0,1.2874341481783347e-08
1980,0.0,1.3075846183596695e-08
1981,0.0,1.3283654287654656e-08
1982,0.0,2.6071509395819703e-08
1983,6.315316047889041e-10,2.652432773420088e-08
1984,0.0,1.739702515379804e-08
1985,0.0,1.3234227269620646e-08
1986,0.0,1.7983455669057236e-08
1987,0.0,1.711028652096047e-08
1988,0.0,1.739000626832521e-08
1989,0.0,1.2073868349560257e-08
1990,5.44865097484859e-10,2.2884334427430986e-08
1991,0.0,2.5204301146164454e-08
1992,0.0,2.9202704532327317e-08
1993,0.0,1.938722604677423e-08
1994,5.274926606624319e-10,3.006708082509135e-08
1995,0.0,2.277429267394382e-08
1996,0.0,1.9217132551929694e-08
1997,0.0,2.1097535829461833e-08
1998,4.768129224785866e-10,2.2410206579337455e-08
1999,0.0,2.330802556516076e-08
2000,0.0,1.5021307087081937e-08
2001,0.0,1.9277332063971642e-08
2002,4.38122149670761e-10,1.752488643091965e-08
2003,0.0,1.8751153518792307e-08
2004,0.0,1.3214373595360485e-08
2005,0.0,1.8915748190018178e-08
2006,0.0,1.0706514064207084e-08
2007,0.0,1.2382886549477945e-08
2008,0.0,1.1069342775726909e-08
2009,9.53638501499654e-10,1.2397300963584712e-08
2010,0.0,1.4171379181249222e-08
2011,0.0,1.5295887223487625e-08
2012,0.0,1.0893608681783462e-08
2013,0.0,8.08846234434668e-09
2014,0.0,2.1004817440939405e-08
2015,2.2165753954528356e-10,1.3077795207872e-08
2016,4.1426800878596737e-10,8.28536009245262e-09
2017,3.018733707449428e-09,1.1823373391450787e-08
2018,0.0,8.518839855753413e-09
2019,5.1019755087367e-10,1.403043281555938e-08
