year,voudrais_VERB ajouter_VERB,voudrais_VERB rajouter_VERB
1800,1.2576657937302116e-08,0.0
1801,4.7623651688866175e-09,0.0
1802,6.713520406265161e-09,0.0
1803,1.950339267864365e-08,0.0
1804,0.0,0.0
1805,2.842877711017877e-09,0.0
1806,0.0,0.0
1807,1.4234775136401367e-08,0.0
1808,2.2660739062985158e-08,0.0
1809,1.3554183553310395e-08,0.0
1810,0.0,0.0
1811,0.0,0.0
1812,2.6672082320544632e-09,0.0
1813,0.0,0.0
1814,2.2026739543434815e-08,0.0
1815,2.697223555614414e-09,0.0
1816,2.7811246638975717e-08,0.0
1817,2.3353100786493997e-08,0.0
1818,2.026600220972341e-08,0.0
1819,3.1053151161586356e-09,0.0
1820,2.3732962262101864e-09,0.0
1821,1.4792232327920374e-08,0.0
1822,4.010246357211145e-09,0.0
1823,3.162459805139406e-08,0.0
1824,8.421112696055388e-09,0.0
1825,2.641632912414593e-09,0.0
1826,1.3211976401805714e-08,0.0
1827,1.1982455028203276e-08,0.0
1828,8.255071293206129e-09,0.0
1829,1.3717081692732336e-08,0.0
1830,2.7135772739939057e-08,0.0
1831,7.795603274018958e-09,0.0
1832,2.4353944638733083e-08,0.0
1833,1.1583628278799551e-08,0.0
1834,1.8669061851994684e-09,0.0
1835,7.563087933704082e-10,0.0
1836,9.409050427677812e-09,0.0
1837,5.5663127440652715e-09,0.0
1838,9.468243078458727e-09,0.0
1839,1.8177836125232716e-08,0.0
1840,8.917564464638872e-09,0.0
1841,1.4125206782011901e-08,0.0
1842,7.379091560011375e-09,0.0
1843,2.008349753168659e-08,0.0
1844,1.5367971784030487e-08,0.0
1845,1.0602432709561072e-08,0.0
1846,1.2294452567118697e-08,0.0
1847,2.1572894581822766e-08,0.0
1848,3.781254065415851e-08,0.0
1849,3.603148357456121e-08,0.0
1850,1.765138968323754e-08,0.0
1851,2.7732586005413395e-08,0.0
1852,3.6459056218518526e-08,0.0
1853,3.702597695109944e-08,0.0
1854,2.234135720868835e-08,0.0
1855,2.865746040470185e-08,0.0
1856,1.7084724746041502e-08,0.0
1857,1.6597130780837688e-08,0.0
1858,9.787352039936081e-10,0.0
1859,1.629495471888731e-08,0.0
1860,2.1512764902809067e-08,0.0
1861,3.772770895693611e-08,0.0
1862,2.84633134839396e-08,0.0
1863,2.1976331865403154e-08,0.0
1864,2.1576274988888144e-08,0.0
1865,3.435996376310868e-08,0.0
1866,4.038458811805867e-08,0.0
1867,3.88224918879132e-08,0.0
1868,3.062721987134864e-08,0.0
1869,4.444002499326416e-08,0.0
1870,5.160643823387545e-08,0.0
1871,4.885741589077952e-08,0.0
1872,5.1402384571019866e-08,0.0
1873,6.405024777222934e-08,0.0
1874,4.002988163165355e-08,0.0
1875,3.547346949517305e-08,0.0
1876,3.083467703390852e-08,0.0
1877,2.4739264858908427e-08,0.0
1878,3.0799352401800206e-08,0.0
1879,2.6881030734671185e-08,0.0
1880,4.2357786611546544e-08,0.0
1881,5.438555916725818e-08,0.0
1882,5.0580926114207614e-08,0.0
1883,4.9922778799782463e-08,0.0
1884,4.7532218161450146e-08,0.0
1885,3.4161868001092444e-08,0.0
1886,5.808117364836107e-08,0.0
1887,4.439668899181015e-08,0.0
1888,3.106901047544852e-08,0.0
1889,7.894072240333116e-08,0.0
1890,5.046877760150892e-08,0.0
1891,7.904032628403002e-08,0.0
1892,7.020733505669341e-08,0.0
1893,4.92673315477532e-08,0.0
1894,6.994708456886656e-08,0.0
1895,7.282523739604585e-08,0.0
1896,6.899524152004233e-08,0.0
1897,8.215666014166345e-08,0.0
1898,7.129526835569777e-08,0.0
1899,6.633094074004475e-08,0.0
1900,6.956010878411689e-08,0.0
1901,8.830207320897898e-08,0.0
1902,4.8611809688736685e-08,0.0
1903,6.912281946824805e-08,0.0
1904,7.739460272659926e-08,0.0
1905,8.257214290097181e-08,0.0
1906,1.0185485166402941e-07,0.0
1907,8.897119130324427e-08,0.0
1908,1.0117461357594948e-07,0.0
1909,6.051082124258755e-08,0.0
1910,8.497199388557419e-08,0.0
1911,7.554931613640292e-08,0.0
1912,1.0158371566149071e-07,0.0
1913,9.174172532766534e-08,0.0
1914,7.165515825136026e-08,0.0
1915,9.071186468645465e-08,2.3561523843085297e-09
1916,7.031975712834537e-08,0.0
1917,1.4695008587750635e-07,0.0
1918,1.0108011139209339e-07,0.0
1919,7.550436009751138e-08,0.0
1920,7.572231908170579e-08,0.0
1921,1.0071754275031708e-07,0.0
1922,7.820611358511087e-08,0.0
1923,8.598917844437892e-08,0.0
1924,1.1860294790722037e-07,0.0
1925,1.2097996204829542e-07,0.0
1926,1.3486827299402648e-07,0.0
1927,1.2933101345424802e-07,0.0
1928,9.02657291135256e-08,0.0
1929,1.3368487827847275e-07,0.0
1930,1.3864756454040617e-07,0.0
1931,1.995937424226213e-07,0.0
1932,1.3261039555345633e-07,0.0
1933,1.3650088703798247e-07,0.0
1934,1.4857158703307505e-07,0.0
1935,1.3763526851562347e-07,0.0
1936,1.5398387631648802e-07,0.0
1937,2.077534446698337e-07,0.0
1938,1.4909996082224097e-07,0.0
1939,1.452934839107911e-07,0.0
1940,1.2171757646228798e-07,0.0
1941,7.67390702094417e-08,0.0
1942,9.406056733496371e-08,0.0
1943,1.1903264152124393e-07,0.0
1944,1.4138018400444707e-07,0.0
1945,1.9824386754407897e-07,0.0
1946,1.8097435372510517e-07,0.0
1947,2.443778441829636e-07,0.0
1948,2.761459541034128e-07,0.0
