year,devez_VERB apporter_VERB,devez_VERB rapporter_VERB
1800,9.432493897065797e-09,3.144164484325529e-09
1801,1.904946067554647e-08,9.524730337773235e-09
1802,6.713520406265161e-09,2.2378401354217203e-09
1803,3.705644502360883e-08,3.705644502360883e-08
1804,3.9549615138412264e-08,9.887403784603066e-09
1805,8.528632911009026e-09,1.421438877713399e-08
1806,1.4408345627714425e-08,0.0
1807,7.117387923472052e-08,0.0
1808,1.1330369531492579e-08,2.2660739951163578e-09
1809,1.129515236897305e-08,2.259030518203531e-09
1810,7.020380277111826e-09,4.680253518074551e-09
1811,5.0141535368197765e-09,0.0
1812,1.0668832928217853e-08,8.00162425207418e-09
1813,3.738464116054274e-08,0.0
1814,1.8880061958270744e-08,6.293354282149721e-09
1815,6.47333635583891e-08,8.091670444798638e-09
1816,1.622322720606917e-08,0.0
1817,2.1796227045456362e-08,1.556873407970727e-09
1818,1.9073883805731384e-08,4.768470951432846e-09
1819,2.898294049202832e-08,4.140420006848444e-09
1820,3.20394981656591e-08,2.254631326081835e-08
1821,2.2681422962023134e-08,1.1833785507064931e-08
1822,6.817418807258946e-08,1.2030739071633434e-08
1823,2.075364236020505e-08,1.4824030003524058e-08
1824,2.2737005167527968e-08,5.894778887238772e-09
1825,5.0191026446100295e-08,7.044354433105582e-09
1826,6.1655889282974385e-09,0.0
1827,3.041700225026034e-08,1.2904182611350734e-08
1828,3.8523666034961934e-08,3.668920500743411e-09
1829,2.914879893012312e-08,1.714635211591542e-09
1830,1.2524203008013046e-08,4.174734336004349e-09
1831,4.365537620287796e-08,0.0
1832,3.111892965534935e-08,0.0
1833,1.1583628278799551e-08,0.0
1834,2.240287422239362e-08,2.8003592777992026e-09
1835,1.5882484660778573e-08,6.806779140333674e-09
1836,2.4866775305554256e-08,1.008112526790228e-08
1837,3.6181031504156635e-08,1.87863058442872e-08
1838,2.019891809368346e-08,5.049729523420865e-09
1839,2.586845759822154e-08,0.0
1840,3.9492068282243054e-08,1.6561189752906103e-08
1841,2.8250413564023802e-08,3.852329122366882e-09
1842,2.2808102073668124e-08,8.049918065466954e-09
1843,1.5357969118667825e-08,3.5441467538532834e-09
1844,1.3721403568922597e-08,4.9397050894128824e-09
1845,1.9530798311961917e-08,8.928364714222425e-09
1846,8.196302303531411e-09,1.4636253098387897e-08
1847,2.9662729161827883e-08,1.0247124926365814e-08
1848,3.781254065415851e-08,8.84974404868899e-09
1849,2.011059585527164e-08,3.3517659758786067e-09
1850,3.2587180953669304e-08,1.2220192857625989e-08
1851,3.031236062156495e-08,2.579775504329973e-09
1852,3.190167419120371e-08,1.1067927019325907e-08
1853,3.762317035693741e-08,1.3735443005202796e-08
1854,3.4810952342922974e-08,5.195664343204953e-09
1855,2.388121700391821e-08,3.1841622671890946e-09
1856,4.866558001026533e-08,8.801221973442352e-09
1857,1.5620829074691756e-08,9.763018171682347e-10
1858,2.495774786837046e-08,6.361778659424999e-09
1859,1.0693564256314403e-08,9.675129142294736e-09
1860,8.696649622663699e-09,8.696649622663699e-09
1861,3.678451676591976e-08,5.187560159214399e-09
1862,3.5240294238292336e-08,3.6143890103090826e-09
1863,4.7948361725502764e-08,6.99246927027275e-09
1864,1.821996598039277e-08,2.8768367688059016e-09
1865,3.95374932793402e-08,4.23615986733239e-09
1866,3.454585240092456e-08,4.379051787850585e-09
1867,1.649955905236311e-08,9.7056229719783e-09
1868,2.766329387782207e-08,1.975949626142892e-09
1869,3.809144999422642e-08,5.860222973552709e-09
1870,3.268407766654491e-08,1.3188312664169644e-08
1871,1.1683295220166201e-08,8.496941816815706e-09
1872,1.5118347462816928e-08,2.4189357183956872e-09
1873,2.0352414864532875e-08,7.781805422268917e-09
1874,1.7326366119618797e-08,2.9873046258899194e-09
1875,1.1443054503956773e-08,3.432916173551348e-09
1876,5.441413541973361e-09,1.813804439976252e-09
1877,1.5462040536817767e-08,6.184815992682502e-10
1878,1.0870359723469392e-08,6.039088673581716e-10
1879,7.331190321480108e-09,1.832797580370027e-09
1880,2.3746030919369332e-08,4.492492600149944e-09
1881,6.9725074602899895e-09,4.8807553554297556e-09
1882,1.5307385581309063e-08,2.6621540527571597e-09
1883,1.2006744043446815e-08,8.21514056781325e-09
1884,1.0562715146988921e-08,6.601696966868076e-10
1885,1.6758653131887513e-08,1.2891271383708158e-09
1886,1.4197620856748472e-08,5.162771099520569e-09
1887,1.5016526688782506e-08,1.9586774424595887e-09
1888,2.4728397107764977e-08,6.340614699951175e-10
1889,9.397704836544563e-09,4.385595886446936e-09
1890,9.176140736144589e-09,1.3108772956016423e-09
1891,1.1473596295275001e-08,1.9760081571007504e-08
1892,1.0656471260972467e-08,3.761107425503951e-09
1893,6.15841644346915e-09,6.158416554491453e-10
1894,4.411077725308132e-09,8.822155450616265e-09
1895,2.7083764564395096e-08,3.611168697403855e-09
1896,5.307326134129653e-09,0.0
1897,9.322741689743452e-09,3.4960281336537946e-09
1898,9.05336783318944e-09,3.3950129374460403e-09
