year,certaines_DET règles_NOUN
1800,4.3703886376533774e-07
1801,3.7622685988836224e-07
1802,5.952654760221776e-07
1803,3.5496173733662317e-07
1804,5.265042686275478e-07
1805,5.657326429542309e-07
1806,3.8902533106011106e-07
1807,3.786450406551012e-07
1808,3.4217717370665923e-07
1809,3.1174621994978224e-07
1810,6.950176487663384e-07
1811,3.534978225694374e-07
1812,2.987273175492078e-07
1813,2.9620139696540093e-07
1814,4.4053479442140997e-07
1815,4.801057684744592e-07
1816,4.7510878964374115e-07
1817,3.362846602295022e-07
1818,4.088963829751435e-07
1819,3.87129264201036e-07
1820,6.609629812359685e-07
1821,5.216727458901005e-07
1822,4.962680009157339e-07
1823,3.93330924830515e-07
1824,4.5305586127142305e-07
1825,3.9096167370189505e-07
1826,4.351144298198051e-07
1827,4.2491629415053467e-07
1828,5.356623660190962e-07
1829,4.800978699037728e-07
1830,7.598016580345757e-07
1831,5.020368121222418e-07
1832,6.480855594404034e-07
1833,5.131547640147005e-07
1834,6.459495671684579e-07
1835,6.587449732364803e-07
1836,4.885985163127771e-07
1837,5.343660038903408e-07
1838,5.983929254327336e-07
1839,6.390208033835165e-07
1840,5.942919796275703e-07
1841,7.1075475105431e-07
1842,6.540558463719037e-07
1843,8.346465527608871e-07
1844,6.591762311547456e-07
1845,8.331280563211862e-07
1846,7.921140054989451e-07
1847,6.374790402219332e-07
1848,7.739503087300648e-07
1849,6.142111095286396e-07
1850,7.1352350961007e-07
1851,6.810607104945632e-07
1852,7.610827505999396e-07
1853,7.733651576913303e-07
1854,6.634863420895698e-07
1855,6.272799772943927e-07
1856,5.803629110623376e-07
1857,6.741364093620916e-07
1858,6.303054984613254e-07
1859,5.453717735193209e-07
1860,6.417211775300302e-07
1861,6.069445147582897e-07
1862,6.094763387309854e-07
1863,6.3631470936798e-07
1864,7.148939440426716e-07
1865,6.871992916934744e-07
1866,6.398281087172109e-07
1867,8.468156185159614e-07
1868,7.276434379477337e-07
1869,7.725727262375415e-07
1870,7.517337765605703e-07
1871,6.829416716591652e-07
1872,7.601505767063088e-07
1873,6.554674731873433e-07
1874,6.805079690863636e-07
1875,7.243453459260252e-07
1876,6.783628645479212e-07
1877,6.735264506119165e-07
1878,7.458274406957344e-07
1879,6.946302555377315e-07
1880,7.149480598656055e-07
1881,6.644799448451977e-07
1882,6.788492923348599e-07
1883,6.70481862918848e-07
1884,7.52593471986529e-07
1885,9.069009321294175e-07
1886,8.679908702902139e-07
1887,7.338511238685896e-07
1888,6.841523321199361e-07
1889,8.113351803729074e-07
1890,9.451425277973158e-07
1891,9.491213521783948e-07
1892,7.948473799146427e-07
1893,8.923545360417506e-07
1894,8.311730415044849e-07
1895,7.866329081451795e-07
1896,9.346790879050104e-07
1897,9.188727272402275e-07
1898,1.0954575504484865e-06
1899,8.628549696965138e-07
1900,9.229692565781988e-07
1901,8.964336952743679e-07
1902,8.101968536067261e-07
1903,9.57459047157272e-07
1904,8.615524222932436e-07
1905,7.973372806446832e-07
1906,8.750257638467929e-07
1907,9.174832626968055e-07
1908,8.835588882760703e-07
1909,8.895090140015327e-07
1910,8.593394262845777e-07
1911,9.14572316546014e-07
1912,1.1689941228354428e-06
1913,1.4068831770686074e-06
1914,1.169921157284648e-06
1915,7.963795201071378e-07
1916,8.910831628128335e-07
1917,8.060322187475322e-07
1918,8.54586389209544e-07
1919,9.272303049812081e-07
1920,9.336561888062533e-07
1921,1.078359286310615e-06
1922,1.1221839990582794e-06
1923,1.0223157476119127e-06
1924,1.0042575997459835e-06
1925,9.986345617107872e-07
1926,1.1881783095191167e-06
1927,1.4404798562850374e-06
