year,puissions_VERB ajouter_VERB
1800,0.0
1801,0.0
1802,2.2378401354217203e-08
1803,1.950339223455444e-09
1804,4.943701892301533e-09
1805,0.0
1806,1.729001475325731e-08
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,2.2563691359778204e-08
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,2.070209959015301e-08
1820,1.0679833017945839e-08
1821,1.2819934447350079e-08
1822,4.6117833107928163e-08
1823,9.882686891060644e-10
1824,8.421112696055388e-10
1825,0.0
1826,7.0463874735082754e-09
1827,2.7651818612639545e-09
1828,7.337841001486822e-09
1829,1.714635211591542e-09
1830,5.218417697960831e-09
1831,0.0
1832,1.3529969367098715e-09
1833,2.3167257001688313e-09
1834,3.733812370398937e-09
1835,3.025235173481633e-09
1836,6.048674894287842e-09
1837,1.6698937344017395e-08
1838,1.1361890983607736e-08
1839,6.9914751765765e-10
1840,3.1848443882154243e-09
1841,8.346713542550788e-09
1842,2.3478927246856074e-08
1843,1.6539351221922516e-08
1844,8.232841963717874e-09
1845,1.1718478631905782e-08
1846,7.025401593807601e-09
1847,4.853901280910122e-09
1848,1.206783295515379e-08
1849,4.1897072478036534e-09
1850,8.146795238417326e-09
1851,5.159551008659946e-09
1852,5.208436348880241e-09
1853,4.180352064508952e-09
1854,2.0782657372819813e-08
1855,3.714855978387277e-09
1856,1.1389816201301528e-08
1857,6.345961978126979e-09
1858,4.404308473482388e-09
1859,7.638259802433822e-09
1860,5.950338888283113e-09
1861,3.772770984511453e-09
1862,1.8071945051545413e-09
1863,3.995696662428827e-09
1864,2.3973640850272204e-09
1865,9.88437331983505e-09
1866,7.784980660119345e-09
1867,2.426405742994575e-09
1868,1.679557115608077e-08
1869,4.883519144627257e-10
1870,8.027668307875047e-09
1871,0.0
1872,5.442605477412599e-09
1873,4.190203295451056e-09
1874,3.5847653734322193e-09
1875,7.437985338754061e-09
1876,4.836811839936672e-09
1877,6.184815992682502e-10
1878,1.5701630218245555e-08
1879,5.498392852132383e-09
1880,5.776061406947974e-09
1881,9.761510710859511e-09
1882,1.1979693681496428e-08
1883,2.5277355764075082e-09
1884,7.2618666635548834e-09
1885,3.2228177904158883e-09
1886,7.098810428374236e-09
1887,0.0
1888,8.242799331981132e-09
1889,1.8795409673089125e-09
1890,6.554386366985909e-09
1891,9.561330394092238e-09
1892,1.5044429702015805e-08
1893,5.542574843531156e-09
1894,6.301539290376468e-10
1895,4.213029924926559e-09
1896,1.179405795248556e-09
1897,1.7480140668268973e-09
1898,0.0
1899,5.527578395003729e-10
1900,5.191053142894475e-10
1901,1.0059729937950124e-08
1902,4.910283846193408e-10
1903,5.400220270956879e-10
1904,3.2247751136083025e-09
1905,5.160758931310738e-09
1906,1.2860461140462576e-08
1907,2.5714217422034835e-09
1908,3.437972351250096e-09
1909,3.850688656825696e-09
1910,3.206490406526541e-09
1911,8.51259862599818e-09
