year,avez_VERB éveillé_VERB,avez_VERB réveillé_VERB
1800,3.144164484325529e-09,0.0
1801,0.0,2.3811825844433088e-09
1802,1.3427040812530322e-08,1.7902721083373763e-08
1803,0.0,1.3652374342143503e-08
1804,0.0,0.0
1805,2.842877711017877e-09,1.1371510844071508e-08
1806,0.0,4.3225035994964855e-08
1807,0.0,7.117387923472052e-08
1808,0.0,4.5321479902327155e-09
1809,0.0,1.129515236897305e-08
1810,0.0,6.084329839950442e-08
1811,2.5070767684098882e-09,0.0
1812,0.0,2.6672082320544632e-09
1813,2.8757416448144113e-09,5.751483289628823e-09
1814,0.0,9.440030979135372e-09
1815,5.394447111228828e-09,1.6183340889597275e-08
1816,0.0,6.952811659743929e-09
1817,3.113746815941454e-09,1.0898113522728181e-08
1818,0.0,1.3113295338484932e-08
1819,0.0,1.3456364911235141e-08
1820,0.0,3.9159388620646496e-08
1821,1.97229765852569e-09,4.930744168518686e-08
1822,3.0076847679083585e-09,8.02049271442229e-09
1823,0.0,2.3718449426723964e-08
1824,8.421112696055388e-10,1.7684335773537896e-08
1825,4.4027217427355936e-09,7.044354433105582e-09
1826,1.7615968683770689e-09,2.642395191543301e-09
1827,1.8434546111834038e-09,9.217273166939322e-09
1828,0.0,1.4675682002973645e-08
1829,0.0,5.143905745796928e-09
1830,5.218417697960831e-09,4.174734336004349e-09
1831,6.236482441579483e-09,1.091384405071949e-08
1832,9.470978667991403e-09,8.117981842303834e-09
1833,1.853380560135065e-08,1.6217079235048004e-08
1834,9.334530925997342e-10,2.8003592777992026e-09
1835,4.5378527602224494e-09,2.4958190181223472e-08
1836,2.688300027031687e-09,6.72075017860152e-09
1837,4.87052354003481e-09,1.3915782304252389e-08
1838,8.837027110075724e-09,1.9567702125300457e-08
1839,4.194885327990505e-09,7.690622361167243e-09
1840,0.0,7.0066574764382494e-09
1841,1.2841097074556274e-09,8.988767952189392e-09
1842,1.609983613093391e-08,1.6770663080478698e-08
1843,6.497602011990011e-09,6.497602011990011e-09
1844,2.4149668931272572e-08,1.3721403568922597e-08
1845,2.0646844234306627e-08,7.254296274794569e-09
1846,8.781752214304106e-09,9.367202125076801e-09
1847,1.6179670936367074e-09,9.707802561820245e-09
1848,8.84974404868899e-09,9.65426583121598e-09
1849,3.3517659758786067e-09,3.3517659758786067e-09
1850,6.788996032014438e-10,6.1100964288129944e-09
1851,2.579775504329973e-09,2.579775504329973e-09
1852,1.6276363368206148e-08,9.765818376195057e-09
1853,2.388772735173461e-09,1.5527023222716707e-08
1854,1.0391328908454511e-09,1.6626126253527218e-08
1855,9.021793090369101e-09,1.1144567935161831e-08
1856,4.141751386299575e-09,5.694908100650764e-09
1857,1.6597130780837688e-08,1.1715622250108026e-08
1858,9.297984604472731e-09,1.1255455234504552e-08
1859,1.018434669930457e-08,7.129042689513199e-09
1860,8.238931314963338e-09,5.492620580582752e-09
1861,8.488735048217677e-09,1.650587222457034e-08
1862,4.9697850279528666e-09,2.2589932147099034e-09
1863,1.9978483312144135e-09,9.489779628779615e-09
1864,1.0068928801842958e-08,2.0617330065419992e-08
1865,1.4120533631256649e-09,1.2237795665726026e-08
1866,9.244664589402873e-09,4.379051787850585e-09
1867,1.067618526917613e-08,3.396968040192405e-09
1868,1.4819622196071691e-09,3.951899252285784e-09
1869,1.5627261262807224e-08,6.8369265804335555e-09
1870,8.601073631098188e-09,4.587239033071455e-09
1871,3.18635318130589e-09,8.496941816815706e-09
1872,1.2094678591978436e-09,1.69325495846806e-08
1873,1.2570609442263958e-08,8.380406590902112e-09
1874,4.779687312606029e-09,8.364453130127458e-09
1875,2.8607636259891933e-09,1.4303817685856757e-08
1876,3.627608879952504e-09,9.069021977836655e-09
1877,6.80329748092845e-09,6.80329748092845e-09
1878,5.435179861734696e-09,2.4156354694326865e-09
1879,6.720257683667796e-09,1.7717043832021773e-08
1880,1.2193908105473383e-08,8.343199908722454e-09
1881,1.3945014920579979e-08,1.1853263259808955e-08
1882,1.0648616211028639e-08,7.986462158271479e-09
1883,1.0742875922176154e-08,4.423537092179686e-09
1884,1.9805090900604227e-09,1.1222884843675729e-08
1885,8.379326565943757e-09,1.160214413431504e-08
1886,1.936039106809062e-09,1.8069698626277386e-08
1887,9.140494583448344e-09,2.6115698492645834e-09
1888,3.804368819970705e-09,1.3949351895803375e-08
1889,1.8795409673089125e-09,6.891650361495749e-09
1890,4.5880703680722945e-09,1.3108772733971819e-08
1891,7.649063604731055e-09,1.4023283867459213e-08
1892,8.149066310636499e-09,1.817868522380195e-08
1893,3.695050043717174e-09,6.15841644346915e-09
1894,4.411077725308132e-09,1.2603078580752936e-09
1895,7.824199066419624e-09,7.824199066419624e-09
1896,5.307326134129653e-09,1.2383760683576384e-08
1897,7.574727511894253e-09,1.2818770045441852e-08
1898,9.619203211741478e-09,5.092519295146758e-09
1899,7.185851913504848e-09,4.4220627160029835e-09
1900,1.038210628578895e-09,7.26747462209687e-09
1901,4.470991132876634e-09,1.5648469187112823e-08
1902,1.1293653123800595e-08,5.4013122863239005e-09
1903,2.7001101354784396e-09,8.100330184390714e-09
1904,9.674325340824907e-09,5.374625189347171e-09
1905,2.580379465655369e-09,6.708986699521802e-09
1906,3.600929110447737e-09,2.1605574218597212e-08
1907,4.114274698707732e-09,3.599990305858114e-09
1908,5.40252820258047e-09,5.893666887857307e-09
1909,7.701377313651392e-09,1.1001967337165297e-08
1910,8.01622590529405e-09,8.550641084070776e-09
1911,3.7242617878519013e-09,6.916486494645824e-09
1912,1.0939784189645252e-08,3.125652625612929e-09
1913,1.060597942803554e-09,6.363587878865928e-09
1914,6.027069510139427e-09,1.0714789944188396e-08
1915,0.0,8.246533234057551e-09
1916,1.0987462051303964e-09,1.0987462051303964e-09
1917,1.0966424435210342e-09,3.289927441585405e-09
1918,0.0,1.6080926812378493e-08
1919,7.366278698128781e-09,6.4454939163738345e-09
1920,9.086678076641874e-09,1.2872794385998532e-08
1921,3.0290989716519334e-09,1.2873671018098776e-08
1922,1.4755870969551665e-09,1.696925089333945e-08
1923,1.0615948120573648e-09,7.431163684401554e-09
1924,3.867487219366694e-09,1.2891624656674594e-08
1925,6.598906754362588e-09,8.798542339150117e-09
1926,4.458455382660986e-09,1.0031524944054127e-08
1927,3.3447675740205796e-09,1.1149224654616319e-08
1928,0.0,4.570416489713125e-09
1929,1.5596569369336066e-08,8.912325100141061e-09
1930,8.402882833991043e-09,7.352522590764465e-09
1931,4.5621426636444085e-09,9.124285327288817e-09
1932,8.767629289252454e-09,0.0
1933,8.02946331646126e-09,3.4411986593596566e-09
1934,3.5944740517379614e-09,0.0
1935,7.180970484910176e-09,3.590485242455088e-09
1936,1.091224355320719e-08,4.849885826274658e-09
1937,1.1332006444320086e-08,2.1404900962807005e-08
1938,1.2965214679638848e-08,1.1668692678767911e-08
1939,6.117620188206274e-09,3.058810094103137e-09
1940,2.5357829169792012e-09,2.5357829169792012e-09
1941,8.854508237732261e-09,8.854508237732261e-09
1942,0.0,1.2136847082899749e-08
1943,8.709705845433291e-09,2.9032352077962287e-09
1944,6.4263723231761105e-09,3.2131861615880553e-09
1945,1.3071024262956144e-08,1.3071024262956144e-08
1946,1.3921104269343232e-09,9.744772988540262e-09
1947,1.3112957830685446e-08,2.0265479960812627e-08
1948,1.3046265401328583e-08,4.348755133776194e-09
1949,5.890204768377316e-09,3.9268033269479474e-09
1950,1.595304155443955e-08,1.3825969702452312e-08
1951,6.396841278899501e-09,3.1984206394497505e-09
1952,3.1634410646574906e-09,7.381362632230548e-09
1953,1.2928593307037772e-08,6.464296653518886e-09
