year,devrons_VERB appliquer_VERB
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,8.00162425207418e-09
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,2.571952872898464e-09
1830,1.0436835840010872e-09
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,7.563087933704082e-10
1836,0.0
1837,1.3915781860163179e-09
1838,0.0
1839,0.0
1840,1.9109065441114126e-09
1841,4.494383976094696e-09
1842,0.0
1843,1.7720733769266417e-09
1844,1.0428266250528395e-08
1845,2.2320911785556063e-09
1846,0.0
1847,3.775256551818984e-09
1848,5.63165514222419e-09
1849,1.6758829879393033e-09
1850,2.0366988096043315e-09
1851,0.0
1852,1.9531636308300904e-09
1853,1.7915795513800958e-09
1854,9.871762074453727e-09
1855,2.653468555990912e-09
1856,5.177189232874468e-10
1857,1.4644527812635033e-09
1858,1.9574704079872163e-09
1859,0.0
1860,5.492620580582752e-09
1861,1.4147891747029462e-09
1862,9.035972525772706e-10
1863,1.9978483312144135e-09
1864,4.315255264231155e-09
1865,2.8241067262513297e-09
1866,2.432806400776144e-09
1867,2.91168689159349e-09
1868,1.975949626142892e-09
1869,3.906815315701806e-09
1870,2.8670243956696595e-09
1871,2.1242354542039266e-09
1872,1.8142017887967654e-09
1873,1.1972008939764578e-09
1874,1.7923826867161097e-09
1875,5.149374260327022e-09
1876,2.1765654167893445e-08
1877,1.7317484335421796e-08
1878,6.039088673581716e-10
1879,0.0
1880,1.2835692508872398e-09
1881,2.091752326904839e-09
1882,8.652000893505374e-09
1883,6.319338941018771e-10
1884,3.300848483434038e-09
1885,7.7347630522695e-09
1886,1.936039106809062e-09
1887,1.3057849246322917e-09
1888,6.340614699951175e-10
1889,5.012109394186837e-09
1890,1.3108772956016423e-09
1891,2.5496880162734215e-09
1892,1.8805537127519756e-09
1893,6.158416554491453e-10
1894,0.0
1895,6.018614495673091e-10
1896,2.358811590497112e-09
1897,6.409385022720926e-09
1898,1.6975064687230201e-09
1899,4.4220627160029835e-09
1900,4.671947717582725e-09
1901,4.470991132876634e-09
1902,6.38336894454028e-09
1903,1.0800440541913758e-08
1904,1.6123875568041512e-09
1905,7.2250627702885595e-09
1906,4.115347618238729e-09
1907,3.0857059130084963e-09
1908,4.911389073214423e-09
1909,1.1001967115120692e-09
1910,1.068830135508847e-09
1911,5.320374141248863e-10
1912,2.6047106693738442e-09
1913,1.590896969716482e-09
1914,6.696743715117748e-10
1915,1.1780761921542648e-09
1916,0.0
1917,0.0
1918,1.6080926812378493e-08
1919,9.207848372660976e-10
1920,4.543339038320937e-09
1921,1.3630945261411398e-08
1922,0.0
1923,2.1231896241147297e-09
