year,devais_VERB aller_VERB
1800,4.087413785214267e-08
1801,5.2386017301842e-08
1802,4.4756802708434407e-08
1803,1.755305234496518e-08
1804,1.2359254952798437e-08
1805,8.528632911009026e-09
1806,2.881669125542885e-08
1807,2.8469550272802735e-08
1808,1.3596443970698147e-08
1809,2.0331274441787173e-08
1810,7.956430891908894e-08
1811,4.262030373070047e-08
1812,2.400487453257938e-08
1813,5.751483289628823e-09
1814,1.8880061958270744e-08
1815,5.933891955578474e-08
1816,3.9399267848239106e-08
1817,6.538868291272593e-08
1818,9.656153565629211e-08
1819,1.7596784473994376e-08
1820,3.9159388620646496e-08
1821,5.423818549843418e-08
1822,8.622029668003961e-08
1823,1.383576204716519e-07
1824,6.400046004273463e-08
1825,4.3146670236637874e-08
1826,5.108631029315802e-08
1827,6.267745789045875e-08
1828,2.0179061976932644e-08
1829,6.77280880267972e-08
1830,8.871310797076148e-08
1831,7.171954763407484e-08
1832,5.817886972181441e-08
1833,1.586957125709887e-07
1834,1.1294782353843402e-07
1835,8.31939672707449e-08
1836,8.132107609526429e-08
1837,8.210311364109657e-08
1838,4.5447563934430946e-08
1839,5.103776956616457e-08
1840,6.305991462340899e-08
1841,3.146068650039524e-08
1842,4.22620693996123e-08
1843,5.965980420796768e-08
1844,4.116420981858937e-08
1845,6.528866691724033e-08
1846,5.3861413107370026e-08
1847,3.55952778363644e-08
1848,5.953464210506354e-08
1849,7.457679629396807e-08
1850,2.0366988096043315e-08
1851,4.2566295377355345e-08
1852,4.557381672043448e-08
1853,4.001194398028929e-08
1854,4.1565314745639625e-08
1855,6.952087971967558e-08
1856,5.4360487666826884e-08
1857,5.369659916709679e-08
1858,6.166031596421817e-08
1859,7.129042955966725e-08
1860,9.29168351149201e-08
1861,5.1875602480322414e-08
1862,8.629353942524176e-08
1863,7.491931341974123e-08
1864,7.959248193856183e-08
1865,5.17752880568878e-08
1866,5.692767146570077e-08
1867,6.890992665375961e-08
1868,6.273639741039005e-08
1869,7.618289998845285e-08
1870,6.135432073506308e-08
