year,as_VERB apporté_VERB,as_VERB rapporté_VERB
1800,1.5720821977538435e-08,3.144164484325529e-09
1801,1.904946067554647e-08,7.143547975374531e-09
1802,2.6854081625060644e-08,4.475680270843441e-09
1803,2.145373123596528e-08,1.950339223455444e-09
1804,3.213406074564773e-08,0.0
1805,0.0,8.528632911009026e-09
1806,2.881669125542885e-09,5.76333825108577e-09
1807,0.0,0.0
1808,2.039466551195801e-08,0.0
1809,1.8072244145628247e-08,0.0
1810,1.6380887757350138e-08,1.1700633351097167e-08
1811,2.5070767684098882e-09,1.2535384286138651e-08
1812,5.3344164641089264e-09,0.0
1813,2.0130190847567064e-08,0.0
1814,6.922689976818219e-08,0.0
1815,5.394447111228828e-09,0.0
1816,6.952811659743929e-09,0.0
1817,4.670620334934483e-09,4.670620334934483e-09
1818,3.337929754820834e-08,1.1921177378582115e-09
1819,8.280840013696888e-09,0.0
1820,5.933240565525466e-09,3.5599443393152796e-09
1821,1.0847637454958203e-08,8.875339574387908e-09
1822,5.012807946513931e-09,7.017931125119503e-09
1823,3.261286707356703e-08,0.0
1824,8.421112696055388e-09,3.789500624407083e-08
1825,6.163809906922779e-09,3.522177216552791e-09
1826,9.688783109140786e-09,1.7615968683770689e-09
1827,1.8434546111834038e-09,1.013900075008678e-08
1828,1.7427371545863934e-08,4.586150570418113e-09
1829,5.143905745796928e-09,3.429270423183084e-09
1830,5.218417697960831e-09,8.349468672008697e-09
1831,9.354723218280014e-09,0.0
1832,5.411987746839486e-09,1.3529969367098715e-09
1833,6.950177322551099e-09,1.3900354645102198e-08
1834,9.334531370086552e-09,5.600718555598405e-09
1835,2.647080776796429e-08,1.0588323107185715e-08
1836,1.2097349788575684e-08,1.3441500135158435e-09
1837,1.530736071231331e-08,7.653680356156656e-09
1838,2.0830134062066463e-08,3.787297142565649e-09
1839,1.11863602825224e-08,5.5931801412612e-09
1840,2.165694112932215e-08,3.821813088222825e-09
1841,1.6693427085101575e-08,5.1364388298225094e-09
1842,2.3478927246856074e-08,8.049918065466954e-09
1843,1.594865928211675e-08,7.678984559333912e-09
1844,7.1351298203126134e-09,4.390849017710252e-09
1845,1.2834524554250493e-08,6.696273757711424e-09
1846,1.5807152919933287e-08,5.854501328173001e-09
1847,1.1865092020002521e-08,2.6966118227278457e-09
1848,1.126331028444838e-08,2.413566457803995e-09
1849,2.513824481908955e-09,7.54147322368226e-09
1850,5.431196825611551e-09,3.394498016007219e-09
1851,1.1608989325395669e-08,1.2898877521649865e-09
1852,9.114764054629632e-09,6.510545436100301e-09
1853,1.7318601663873778e-08,7.763511611358354e-09
1854,7.79349651480743e-09,1.0391328908454511e-09
1855,2.175844215912548e-08,5.306937111981824e-10
1856,2.329735160344626e-08,3.1063134287023786e-09
1857,1.5620829074691756e-08,1.9526036343364694e-09
1858,1.2723557318849998e-08,3.4255731584664773e-09
1859,2.189634606963864e-08,7.129042689513199e-09
1860,5.492620580582752e-09,6.865775947773045e-09
1861,1.226150558863992e-08,4.715963619617014e-09
1862,1.490935552794781e-08,8.584174260306554e-09
1863,1.1487627737949424e-08,4.495158911765884e-09
1864,1.0548401263577034e-08,5.753673537611803e-09
1865,2.3063536858103362e-08,1.1767110841276462e-08
1866,2.968023871119385e-08,4.379051787850585e-09
1867,2.523461972714358e-08,3.88224918879132e-09
1868,1.9265508299781686e-08,2.9639244392143382e-09
1869,2.24641887314192e-08,3.4184632902167778e-09
1870,1.6628741050794815e-08,1.7202146374017957e-09
1871,1.0621176826930423e-08,6.37270636261178e-09
1872,9.071008832961525e-09,3.0236697590169115e-09
1873,2.21482157058972e-08,4.190203295451056e-09
1874,1.7326366119618797e-08,2.9873046258899194e-09
1875,3.1468399441791917e-08,7.437985338754061e-09
1876,1.753344314181504e-08,5.441413541973361e-09
1877,1.2988113695655557e-08,6.184816214727107e-09
1878,7.850815109122777e-09,7.850815109122777e-09
1879,3.176849006081284e-08,8.55305515301552e-09
1880,2.631317030932223e-08,3.2089231272180996e-09
1881,1.6036766581351003e-08,4.183504653809678e-09
1882,1.2645231528551903e-08,1.3310770263785798e-09
1883,4.423537092179686e-09,1.2638677882037541e-09
1884,1.4523733327109767e-08,7.2618666635548834e-09
1885,1.933690718658454e-08,7.090199094506033e-09
1886,5.808117542471791e-09,3.872078213618124e-09
1887,1.566941953967671e-08,3.9173548849191775e-09
1888,1.6485598663962264e-08,2.53624587998047e-09
1889,5.6386229019267375e-09,4.385595886446936e-09
1890,1.1142456735058204e-08,6.554386366985909e-09
1891,1.0836173736095134e-08,3.824531802365527e-09
1892,6.8953633913793055e-09,6.268512375839919e-09
1893,1.2932674486876294e-08,7.390100087434348e-09
1894,5.671385139294216e-09,5.041231432301174e-09
1895,1.5648398132839247e-08,0.0
1896,2.0049897742069334e-08,1.179405795248556e-09
1897,1.4566784223291052e-08,1.7480140668268973e-09
1898,7.921697076085366e-09,6.7900258748920805e-09
1899,6.080336234504102e-09,3.3165470370022376e-09
1900,9.863001082521805e-09,5.19105292084987e-09
1901,3.353243460679778e-09,5.588738916095792e-10
1902,1.7677022512430085e-08,1.4730852093691738e-09
1903,1.1340462791054051e-08,1.6200660812870638e-09
1904,1.4511488011237361e-08,3.2247751136083025e-09
1905,2.37394921498435e-08,6.192911072844254e-09
1906,2.2634411678268407e-08,4.115347618238729e-09
1907,1.337139288182243e-08,4.6285588695127444e-09
1908,8.840499887696751e-09,5.40252820258047e-09
1909,1.3752458727367411e-08,8.251475058784763e-09
1910,2.672075360976578e-08,4.809735720812114e-09
1911,1.5429085564733214e-08,4.25629931299909e-09
1912,8.856016364688912e-09,5.2094213387476884e-09
1913,2.2802856491921375e-08,5.30298971401777e-10
1914,6.696743604095445e-09,1.3393487430235496e-09
1915,3.534228465440492e-09,0.0
1916,9.888715624128963e-09,2.197492410260793e-09
1917,1.6449636319748606e-08,1.0966424213165737e-08
1918,1.6080926812378493e-08,6.89182577673364e-09
1919,7.366278698128781e-09,9.207848705727883e-09
1920,9.843901693784574e-09,4.543339038320937e-09
1921,1.5145495524393482e-08,1.5145494858259667e-09
1922,1.623145884366295e-08,8.853522359686394e-09
1923,1.2739137744688378e-08,2.1231896241147297e-09
1924,1.804827398643738e-08,2.0626599095407983e-08
1925,2.5295809891190402e-08,2.1996355847875293e-09
1926,1.4489979882625903e-08,8.916910765321973e-09
1927,2.0068604555945058e-08,1.4493992672726108e-08
1928,1.9424270192303084e-08,3.4278122562625413e-09
1929,1.3368487650211591e-08,3.342121912552898e-09
1930,1.575540586884472e-08,4.201441416995522e-09
1931,1.2545892325022123e-08,9.124285327288817e-09
1932,1.6439305028370654e-08,5.4797681947604815e-09
1933,1.0323596200123575e-08,2.2941324395731044e-09
1934,1.0783422155213884e-08,2.3963160344919743e-09
1935,2.154291145473053e-08,5.98414207075848e-09
1936,1.091224355320719e-08,6.0623572828433225e-09
1937,1.1332006444320086e-08,2.5182236296217297e-09
1938,1.6854778905894818e-08,7.779128452511941e-09
1939,1.3764645423464117e-08,1.5294050470515685e-09
1940,5.0715658339584024e-09,7.607348528892999e-09
1941,3.246652724442356e-08,1.4757512545315876e-08
1942,2.1239483061208375e-08,1.517105907566929e-08
1943,1.4516175816936538e-08,2.9032352077962287e-09
1944,1.2852744646352221e-08,3.2131861615880553e-09
1945,1.9606536838523425e-08,4.357008087652048e-09
1946,2.645009899993056e-08,5.568441707737293e-09
1947,1.7881307101674793e-08,1.4305045148432782e-08
1948,2.0656587551570738e-08,3.2615663503321457e-09
1949,4.417653798327592e-08,4.908504269707237e-09
1950,2.7651939404904624e-08,3.190608444114673e-09
1951,4.157946520422229e-08,2.1322803522849654e-09
1952,2.003512733494972e-08,6.326882129314981e-09
1953,1.939288907237824e-08,8.619061908632375e-09
1954,2.8340354063516315e-08,6.840775057526116e-09
1955,2.5341140741375057e-08,3.754243138587299e-09
1956,2.0930739808022736e-08,1.744228317335228e-09
1957,1.236905244894615e-08,1.236905244894615e-08
1958,2.8125628048769613e-08,7.445019267748876e-09
1959,2.015194411342236e-08,2.325224457422337e-09
1960,1.6610000486139143e-08,1.1765417085030094e-08
1961,2.153929301584867e-08,5.55852741612739e-09
1962,2.6002021868976044e-08,1.0781326054143392e-08
1963,2.909724017285953e-08,1.3578711488548834e-08
1964,1.5818317322668918e-08,3.041984220075733e-09
1965,2.2982582947861374e-08,3.830430195250756e-09
1966,1.8832853498906843e-08,4.985167390003653e-09
1967,2.070740912074598e-08,6.902469706915326e-09
1968,1.661823922916028e-08,7.186265360559219e-09
1969,1.862120768691966e-08,2.2708788183223305e-09
1970,1.4715920038099739e-08,5.058597540852361e-09
1971,2.2608949379332444e-08,4.1107179882260425e-09
1972,1.9494558856081312e-08,4.6171320100540925e-09
1973,2.591205827684462e-08,8.269805285010534e-09
1974,1.2938814464291681e-08,5.06301445213353e-09
1975,1.313640396460869e-08,2.2845920710778955e-09
1976,2.628222439682304e-08,2.285410749536254e-09
1977,1.5279633558407113e-08,3.526069214387917e-09
1978,2.0198010375338527e-08,5.346532105932056e-09
1979,1.9311512389208474e-08,7.022368020415115e-09
1980,1.4781392110307934e-08,3.97960553399912e-09
1981,2.9730083284107423e-08,4.427884725544118e-09
1982,1.8622506203769262e-08,4.966001831974154e-09
