year,devrions_VERB aller_VERB
1800,0.0
1801,2.3811825844433088e-09
1802,1.3427040812530322e-08
1803,3.900678446910888e-09
1804,0.0
1805,5.685755422035754e-09
1806,1.729001475325731e-08
1807,5.693910232196231e-09
1808,2.2660739951163578e-09
1809,0.0
1810,4.680253518074551e-09
1811,2.5070767684098882e-09
1812,8.00162425207418e-09
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,5.960588467246453e-09
1819,0.0
1820,1.1866481131050932e-09
1821,6.903041693817613e-09
1822,8.02049271442229e-09
1823,1.9765373782121287e-09
1824,2.5263338088166165e-09
1825,1.7610886082763955e-09
1826,3.5231937367541377e-09
1827,9.217273055917019e-10
1828,3.668920500743411e-09
1829,0.0
1830,1.0436835395921662e-08
1831,1.870944643656003e-08
1832,0.0
1833,2.548398292390175e-08
1834,5.600718555598405e-09
1835,2.2689263801112247e-09
1836,1.008112526790228e-08
1837,3.478945576063097e-09
1838,3.1560809521380406e-09
1839,4.894032734625853e-09
1840,2.5478754661634184e-09
1841,3.852329122366882e-09
1842,4.695785538189057e-09
1843,2.3627644285539873e-09
1844,3.841992946007622e-09
1845,7.254296274794569e-09
1846,1.9905304071698993e-08
1847,9.168480197274675e-09
1848,3.218088684420195e-09
1849,2.513824481908955e-09
1850,6.788996032014438e-09
1851,1.9348316282474798e-09
1852,6.510545436100301e-10
1853,1.0749477752369785e-08
1854,2.5978321716024766e-09
1855,8.491099379170919e-09
1856,1.0354378465748937e-09
1857,1.4644527812635033e-09
1858,6.8511463169329545e-09
1859,1.018434669930457e-09
1860,1.1900677776566226e-08
1861,1.4147890858851042e-08
1862,6.325180823552046e-09
1863,2.9967726078439227e-09
1864,1.4384183844029508e-09
1865,4.23615986733239e-09
1866,1.0704348518686402e-08
1867,4.367530337390235e-09
1868,1.4819622196071691e-09
1869,8.30198221279943e-09
1870,1.0894693147633916e-08
1871,9.559059321873065e-09
1872,8.4662747923403e-09
1873,8.979006871356887e-09
1874,1.3144139998644278e-08
1875,5.149374260327022e-09
1876,2.418405919968336e-09
1877,5.566334504436554e-09
1878,9.662541877730746e-09
1879,1.4051448005147904e-08
1880,6.417846254436199e-09
1881,9.064259565150223e-09
1882,7.986462158271479e-09
1883,1.579834751908038e-08
1884,9.902545450302114e-09
1885,7.7347630522695e-09
1886,6.453463874400711e-10
1887,6.528924512139156e-09
1888,6.974675947901687e-09
1889,6.265136853755848e-09
1890,9.176140736144589e-09
1891,5.099376032546843e-09
1892,1.2537024751679837e-08
1893,1.847525021858587e-09
1894,6.301539290376468e-09
1895,1.3842813118003505e-08
1896,4.1279202278587945e-09
1897,4.078699600285063e-09
1898,1.1882545614128048e-08
1899,1.1055156790007459e-08
1900,1.349673794948103e-08
1901,6.706486921359556e-09
1902,1.178468167495339e-08
1903,1.0260418292773466e-08
1904,5.912087708281888e-09
1905,4.1286072338664326e-09
1906,6.173021205313489e-09
1907,7.199980611716228e-09
1908,3.437972351250096e-09
1909,1.2102163715610459e-08
1910,8.550641084070776e-09
1911,1.2236860413850081e-08
1912,4.688478938419394e-09
1913,5.833288518886093e-09
1914,1.0045115850232378e-08
1915,2.238344798399794e-08
1916,1.4283700444650549e-08
1917,3.5092558192673096e-08
1918,3.44591288836682e-09
1919,1.4732557396257562e-08
1920,1.1358347151713133e-08
1921,9.844571380313027e-09
1922,1.0329110011753073e-08
1923,9.554353752605493e-09
1924,5.156649773851996e-09
1925,5.499089184013428e-09
1926,1.2260752413340015e-08
1927,7.804457524684949e-09
1928,4.570416489713125e-09
1929,7.798284684668033e-09
1930,5.2518016602221e-09
1931,1.3686427990933225e-08
1932,1.6439305028370654e-08
1933,4.588264879146209e-09
1934,8.38710612072191e-09
1935,3.590485242455088e-09
1936,8.487299751891442e-09
1937,2.5182236296217297e-09
1938,1.6854778905894818e-08
1939,1.5294050470515685e-09
1940,7.607348528892999e-09
1941,0.0
1942,3.034211770724937e-09
1943,5.806470415592457e-09
1944,9.639558484764166e-09
1945,4.357008087652048e-09
1946,1.8097434661967782e-08
1947,1.3112957830685446e-08
1948,9.784699273041042e-09
1949,1.3743811422273211e-08
1950,1.3825969702452312e-08
1951,2.4521224162299404e-08
