year,puissions_VERB établir_VERB,puissions_VERB rétablir_VERB
1800,6.917161954334006e-08,0.0
1801,1.904946067554647e-08,4.7623651688866175e-09
1802,8.951360541686881e-09,0.0
1803,1.950339223455444e-09,0.0
1804,0.0,0.0
1805,2.842877711017877e-09,0.0
1806,0.0,0.0
1807,0.0,5.693910232196231e-09
1808,1.1330369531492579e-08,0.0
1809,2.25903047379461e-08,0.0
1810,2.3401267590372754e-09,0.0
1811,7.521229861140455e-09,0.0
1812,2.9339290108509886e-08,0.0
1813,3.738464116054274e-08,0.0
1814,1.2586708564299443e-08,0.0
1815,5.394447111228828e-09,2.697223555614414e-09
1816,4.6352077731626196e-09,0.0
1817,1.0898113522728181e-08,0.0
1818,0.0,0.0
1819,0.0,0.0
1820,2.3732962262101864e-09,0.0
1821,2.6626018723163725e-08,1.97229765852569e-09
1822,2.105379337535851e-08,2.4061478143266868e-08
1823,1.3835761869529506e-08,0.0
1824,3.115811608722652e-08,1.51580028528997e-08
1825,8.805443485471187e-09,0.0
1826,3.5231937367541377e-09,0.0
1827,1.2904182611350734e-08,0.0
1828,1.6510142586412258e-08,0.0
1829,7.715858174606183e-09,1.2859763920403111e-08
1830,1.461157062010443e-08,1.0436835840010872e-09
1831,3.1182412207897414e-09,0.0
1832,6.764984572527055e-09,0.0
1833,1.7375443306377747e-08,0.0
1834,2.0535967593104942e-08,0.0
1835,9.075705520444899e-09,0.0
1836,2.5538851033957144e-08,3.36037508930076e-09
1837,2.922314124020886e-08,6.957891152126194e-09
1838,2.209256599883247e-08,5.049729523420865e-09
1839,1.6080392128969834e-08,6.9914751765765e-10
1840,5.732719632334238e-09,0.0
1841,1.5409316489467528e-08,5.778493683550323e-09
1842,7.379091560011375e-09,1.341653010911159e-09
1843,3.0125246297529884e-08,0.0
1844,4.9397050894128824e-09,2.195424508855126e-09
1845,1.0602432709561072e-08,0.0
1846,1.4050803187615202e-08,0.0
1847,1.240441438454809e-08,0.0
1848,1.045878850192139e-08,0.0
1849,2.513824481908955e-09,0.0
1850,1.425689166723032e-08,7.467895635215882e-09
1851,1.5478653025979838e-08,3.2247193804124663e-09
1852,9.114764054629632e-09,0.0
1853,1.911018188138769e-08,5.971931837933653e-10
1854,1.0391328686409906e-08,5.7152309551611324e-09
1855,6.368324534378189e-09,0.0
1856,1.0354378687793542e-08,3.6240324075009767e-09
1857,4.393358121745905e-09,4.881509085841174e-10
1858,7.34051397444091e-09,4.893676019968041e-10
1859,7.129042689513199e-09,9.165912473463322e-09
1860,1.4189270203246451e-08,3.661747127736703e-09
1861,1.8863854478468056e-08,0.0
1862,1.0843167252971853e-08,9.035972525772706e-10
1863,1.048870412745373e-08,9.989241656072068e-10
1864,1.4863656971897399e-08,4.315255264231155e-09
1865,2.0710114512212385e-08,0.0
1866,1.3137154475373336e-08,4.865612912574591e-10
1867,1.455843445796745e-08,2.91168689159349e-09
1868,1.7289560005906424e-08,2.4699371437009177e-09
1869,2.4417595057002472e-08,0.0
1870,2.408300403544672e-08,1.7202146374017957e-09
1871,1.911811864374613e-08,0.0
