year,pourrez_VERB assembler_VERB,pourrez_VERB rassembler_VERB
1800,0.0,0.0
1801,0.0,1.1905912700171939e-08
1802,3.5805442166747525e-08,8.951360541686881e-09
1803,0.0,0.0
1804,0.0,0.0
1805,0.0,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,0.0,2.2660739951163578e-09
1809,0.0,1.581321384946932e-08
1810,1.6380887757350138e-08,0.0
1811,0.0,7.521229861140455e-09
1812,5.3344164641089264e-09,0.0
1813,0.0,2.300593315851529e-08
1814,1.5733386149463513e-08,0.0
1815,0.0,0.0
1816,0.0,2.3176038865813098e-09
1817,0.0,1.5568733857662664e-08
1818,0.0,0.0
1819,0.0,1.7596784473994376e-08
1820,2.4919611263385377e-08,0.0
1821,5.9168927535324656e-09,1.4792232327920374e-08
1822,1.0025615893027862e-09,4.010246357211145e-09
1823,0.0,8.894418535021487e-09
1824,0.0,5.894778887238772e-09
1825,0.0,1.2327619813845558e-08
1826,0.0,2.1139161532346407e-08
1827,9.217273055917019e-10,1.6591091167583727e-08
1828,9.172301251858528e-10,3.668920500743411e-09
1829,1.1145129263923081e-08,8.57317605795771e-10
1830,4.174734336004349e-09,5.218417697960831e-09
1831,0.0,1.7150327380477393e-08
1832,0.0,1.352996914505411e-08
1833,0.0,3.4750886612755494e-09
1834,1.120143711119681e-08,2.8003592777992026e-09
1835,1.1344631900556124e-08,9.075705520444899e-09
1836,6.048674894287842e-09,1.747394939854985e-08
1837,6.957891152126194e-09,2.0873671680021744e-09
1838,0.0,3.1560809521380406e-09
1839,0.0,4.894032734625853e-09
1840,2.5478754661634184e-09,0.0
1841,0.0,4.494383976094696e-09
1842,0.0,1.341653010911159e-09
1843,0.0,1.1813822142769936e-09
1844,2.195424508855126e-09,1.0428266250528395e-08
1845,2.7901139176833567e-09,2.2320911785556063e-09
1846,5.854501328173001e-10,4.6836010625384006e-09
1847,0.0,0.0
1848,0.0,0.0
1849,0.0,8.379414939696517e-10
