year,pourrons_VERB aller_VERB
1800,3.144164484325529e-09
1801,3.5717739876872656e-08
1802,2.2378401354217203e-08
1803,1.950339223455444e-09
1804,2.4718509461507665e-09
1805,2.842877755426798e-08
1806,2.881669125542885e-09
1807,0.0
1808,4.5321479902327155e-09
1809,6.7770917766551975e-09
1810,0.0
1811,2.757784400841956e-08
1812,0.0
1813,8.627225156487839e-09
1814,3.776012391654149e-08
1815,0.0
1816,0.0
1817,1.5568733857662664e-08
1818,2.384235475716423e-09
1819,1.449147024601416e-08
1820,1.6613073583471305e-08
1821,3.4515210245444905e-08
1822,8.02049271442229e-09
1823,6.917880934764753e-09
1824,1.0947446504872005e-08
1825,1.3208164340028361e-08
1826,8.80798456392995e-09
1827,1.7512819638909605e-08
1828,1.2841221419535032e-08
1829,2.571952872898464e-09
1830,8.349468672008697e-09
1831,7.795603274018958e-09
1832,3.5177919244233635e-08
1833,1.6217079235048004e-08
1834,3.173740381612333e-08
1835,3.7059130875150004e-08
1836,1.2097349788575684e-08
1837,4.383471363667013e-08
1838,1.4517972601879592e-08
1839,3.4957377437194737e-08
1840,1.52872523528913e-08
1841,1.7977535904378783e-08
1842,3.018719141323345e-08
1843,3.839492279666956e-08
1844,2.7442807137845193e-08
1845,2.4553003186156275e-08
1846,4.039605983052752e-08
1847,1.0247124926365814e-08
1848,1.689496542667257e-08
1849,6.703531951757213e-09
1850,1.6972489191857676e-08
1851,1.2898877521649865e-08
1852,1.5625309046640723e-08
1853,2.09017620989016e-08
1854,1.6626126253527218e-08
1855,3.290301009428731e-08
1856,2.4332790005132665e-08
1857,3.124165814938351e-08
1858,1.468102794888182e-08
1859,1.5276519604867644e-08
1860,3.570203332969868e-08
1861,1.9807048445841247e-08
1862,2.3041730301542884e-08
1863,2.0477944673302773e-08
1864,2.0617330065419992e-08
1865,2.023943146411966e-08
1866,1.8002767276925624e-08
1867,1.164674756637396e-08
1868,1.877152122631287e-08
1869,2.8812763730456936e-08
1870,2.1789386295267832e-08
1871,5.523012092112367e-08
1872,2.2979889990892843e-08
1873,9.577607151811662e-09
1874,3.883495836021211e-08
1875,2.4030413214859436e-08
1876,1.209202959984168e-08
1877,2.3502300550148902e-08
1878,1.7513357875031943e-08
1879,2.1382637882538802e-08
1880,2.0537108014195837e-08
1881,2.5101027034679646e-08
1882,3.527354053289855e-08
1883,1.579834751908038e-08
1884,2.772712726084592e-08
1885,1.6758653131887513e-08
1886,2.968593371122097e-08
1887,4.309090329002174e-08
1888,1.8387781963724592e-08
1889,3.195219733242993e-08
1890,3.8015443237782165e-08
1891,2.8683990294098294e-08
1892,4.199903358426127e-08
1893,2.894455697344256e-08
1894,3.7179081147087345e-08
1895,1.5046536461227333e-08
1896,1.592197840238896e-08
1897,3.029891004757701e-08
1898,4.5266837389590364e-08
1899,3.3165470370022376e-08
1900,4.360484595622438e-08
1901,2.1237207548097103e-08
1902,1.7677022512430085e-08
1903,3.0781254878320397e-08
1904,3.2247751136083025e-08
1905,1.5482276793932215e-08
1906,1.5432553013283723e-08
1907,2.9314207949937554e-08
1908,3.045061092166179e-08
1909,3.5756393401698006e-08
1910,2.7255168788542505e-08
1911,2.7133907565257687e-08
1912,2.5005221004903433e-08
1913,2.5454351515463713e-08
1914,2.678697441638178e-08
1915,4.358881966481931e-08
1916,2.7468654906215306e-08
1917,4.8252267959014716e-08
1918,1.378365155346728e-08
1919,2.8544329566670967e-08
1920,1.665890891899835e-08
1921,3.559191341651058e-08
1922,4.0578644444622114e-08
1923,2.3355084977083607e-08
1924,2.9650736976805092e-08
1925,1.2097995494286806e-08
1926,3.78968714187522e-08
1927,2.6758140592164636e-08
1928,2.5137291359556002e-08
1929,4.121950425428622e-08
1930,3.676261073337628e-08
1931,4.904303452235581e-08
1932,3.287861005674131e-08
1933,2.064719240024715e-08
1934,4.4331848414458364e-08
1935,3.111753699158726e-08
1936,2.3036957230715416e-08
1937,2.895957251780601e-08
1938,3.5006078036303734e-08
1939,2.7529290846928234e-08
1940,1.5214697057785997e-08
1941,2.9515025090631752e-08
1942,4.247896612241675e-08
1943,8.709705845433291e-09
1944,7.069009200222354e-08
1945,2.6142048525912287e-08
1946,5.707652661612883e-08
1947,2.7418003867296648e-08
1948,3.8051606310318675e-08
1949,3.5341230386620737e-08
1950,3.296961992305114e-08
1951,5.863770979885885e-08
1952,3.690681538159879e-08
1953,3.663101466599983e-08
1954,4.0067398288101685e-08
1955,3.191106756617046e-08
1956,3.750090726839517e-08
1957,3.180613461495341e-08
1958,2.8952852559882558e-08
1959,3.797866554577922e-08
1960,3.668041514970355e-08
1961,4.933193054057483e-08
1962,5.7711801559889864e-08
1963,2.5864213881732212e-08
1964,4.258777863697105e-08
1965,2.6265809083270142e-08
1966,2.9357096309468034e-08
1967,4.042875190179984e-08
1968,3.4134760795723196e-08
1969,2.9067249940339934e-08
1970,3.54101814536989e-08
1971,3.956565919338573e-08
1972,2.7189777540570503e-08
1973,2.3155456219114967e-08
1974,2.5877628928583363e-08
1975,2.3988217634496323e-08
1976,2.3425460682346966e-08
1977,3.0559267116814226e-08
1978,3.26732525479656e-08
1979,3.101546042216796e-08
1980,2.785723829390463e-08
1981,2.5302197670384885e-08
1982,2.110550845202397e-08
1983,3.2839643893112225e-08
1984,4.349256244040589e-08
1985,2.707001200974446e-08
1986,2.3977941410180392e-08
1987,2.13878585952898e-08
1988,3.058242370457265e-08
1989,4.445378820605583e-08
1990,2.887784944505256e-08
1991,3.692722927439718e-08
1992,2.644773289262048e-08
1993,2.8249957040316076e-08
1994,4.008944287647864e-08
1995,2.982347879765257e-08
1996,3.096093337262573e-08
1997,3.260528202986279e-08
1998,2.2410207023426665e-08
1999,3.0163327835452947e-08
2000,3.004261373007466e-08
2001,2.716351232834313e-08
2002,2.584920721915296e-08
2003,2.875176896566245e-08
2004,2.686922684347337e-08
2005,2.7472871977352042e-08
2006,2.7178073125355695e-08
2007,4.593651325990322e-08
2008,2.6396126173722223e-08
2009,5.5787850783417525e-08
2010,6.660548024228774e-08
2011,5.888916732033067e-08
2012,6.195740098746683e-08
2013,8.813635332671765e-08
2014,9.224796571061233e-08
2015,8.799804618320195e-08
2016,9.652444532548543e-08
2017,9.056201122348284e-08
2018,9.68050031247003e-08
2019,9.489674113183355e-08
