year,mieux_ADV assuré_VERB,mieux_ADV rassuré_VERB
1800,5.973912209356058e-08,0.0
1801,4.286128785224719e-08,2.1430643926123594e-08
1802,5.147032311469957e-08,0.0
1803,8.386458461018265e-08,0.0
1804,1.2359254952798437e-08,0.0
1805,1.194008660831969e-07,0.0
1806,4.034336598124355e-08,0.0
1807,1.0818429529990681e-07,0.0
1808,9.744118045773575e-08,0.0
1809,2.4849335034105025e-08,0.0
1810,3.510190182964834e-08,0.0
1811,1.7549536934780008e-08,2.5070767684098882e-09
1812,3.467370746079723e-08,0.0
1813,7.476928232108548e-08,0.0
1814,5.349351184236184e-08,0.0
1815,1.6722786710943183e-07,0.0
1816,3.7081662185300956e-08,0.0
1817,3.113746771532533e-08,0.0
1818,8.344824209416402e-08,1.3113295338484932e-08
1819,1.418093802385556e-07,0.0
1820,9.730514705097448e-08,4.746592452420373e-09
1821,8.480879643002481e-08,0.0
1822,5.9151133768864383e-08,0.0
1823,8.30145694408202e-08,0.0
1824,1.1705346736334832e-07,0.0
1825,1.1623184548170684e-07,0.0
1826,1.470933455038903e-07,0.0
1827,7.834682236307344e-08,0.0
1828,7.979902250099258e-08,9.172301251858528e-10
1829,1.1316592463117559e-07,0.0
1830,7.723258477199124e-08,0.0
1831,1.2317052267007966e-07,0.0
1832,9.470978312720035e-08,0.0
1833,7.876867158529421e-08,0.0
1834,1.278830694673161e-07,0.0
1835,1.0890846624533879e-07,1.5126175867408165e-09
1836,1.1358067553146611e-07,0.0
1837,5.357576071673975e-08,0.0
1838,9.783850885014544e-08,0.0
1839,1.0627042001942755e-07,0.0
1840,1.044628916702095e-07,6.369688665408546e-10
1841,8.089891423423978e-08,0.0
1842,1.3081117344881932e-07,6.708265054555795e-10
1843,8.269675788596942e-08,0.0
1844,1.0373381087447342e-07,0.0
1845,1.1439467328955288e-07,0.0
1846,8.723206690319785e-08,5.854501328173001e-10
1847,8.629157832729106e-08,0.0
1848,1.3435520429538883e-07,4.02261068899179e-09
1849,1.1479798445179767e-07,2.6814127807028854e-08
1850,7.671565782629841e-08,1.3577992064028876e-09
1851,9.351686003356008e-08,4.514607354622058e-09
1852,1.0872610545220596e-07,6.510545436100301e-10
1853,1.1585547810000207e-07,5.971931837933653e-10
1854,9.300239156573298e-08,2.0782657816909023e-09
1855,9.97704177052583e-08,5.306937111981824e-10
1856,7.455152228885709e-08,0.0
1857,1.2350217559742305e-07,0.0
1858,1.1451201942236366e-07,0.0
1859,9.36959878572452e-08,0.0
1860,1.2587256037477346e-07,3.204028820036342e-09
1861,7.168264914980682e-08,9.431927461278633e-10
1862,1.0165469177536579e-07,4.517986262886353e-10
1863,1.0338865052972324e-07,0.0
1864,1.3569079726494238e-07,0.0
1865,1.2802617277429817e-07,4.706844358715045e-10
1866,1.425624560624783e-07,0.0
1867,1.4218737476312526e-07,2.426405742994575e-09
1868,1.1806299227146155e-07,0.0
1869,1.0060049504545532e-07,4.883519366671862e-09
1870,1.1009373679371492e-07,1.1468097582678638e-09
1871,1.2320565190293564e-07,0.0
1872,1.1006157762949442e-07,2.4189357183956872e-09
1873,1.484529121853484e-07,0.0
1874,1.350261698007671e-07,4.779687312606029e-09
1875,9.554950253232164e-08,0.0
1876,1.348261235989412e-07,0.0
1877,1.0947124451377022e-07,1.8554447978047506e-09
1878,1.2621694622794166e-07,0.0
1879,9.836013958874901e-08,0.0
1880,1.180883728579829e-07,0.0
1881,1.2480788313951052e-07,0.0
1882,9.450646842878996e-08,0.0
1883,7.204046426068089e-08,0.0
1884,1.53159362525912e-07,0.0
1885,9.475084539189993e-08,0.0
1886,1.0583680420950259e-07,6.453463874400711e-10
1887,8.291734587828614e-08,6.528924623161458e-10
1888,1.0462014188306057e-07,4.4384300679212174e-09
1889,1.0838686392844465e-07,0.0
1890,1.0945825579256052e-07,0.0
1891,1.0581205600601606e-07,6.3742202627281586e-09
1892,9.277398049789554e-08,0.0
1893,1.244000173983295e-07,2.463366621796581e-09
1894,1.1153724699397571e-07,2.520615716150587e-09
1895,1.023164486468886e-07,6.018614495673091e-10
1896,8.019959096827733e-08,1.179405795248556e-09
1897,8.448734689636694e-08,5.826713556089658e-10
1898,1.0241622305784404e-07,1.13167097914868e-09
1899,1.2492327527979796e-07,5.527578395003729e-10
1900,1.3289096045809856e-07,5.191053142894475e-10
1901,1.358063599354864e-07,5.588738916095792e-10
1902,1.0949933226811481e-07,0.0
1903,1.4148577065498102e-07,5.400220270956879e-10
1904,9.298101844024131e-08,2.6873125946735854e-09
1905,1.3366366147238296e-07,1.0321518084666081e-09
1906,1.3529205489248852e-07,1.0288369045596824e-09
1907,1.2908536461964104e-07,4.6285588695127444e-09
1908,1.7238976113276294e-07,0.0
1909,1.4687626048726088e-07,0.0
1910,1.3413817612217827e-07,2.67207544979442e-09
1911,1.234326845178657e-07,9.044636151145369e-09
1912,1.3648683250266913e-07,5.2094213387476884e-09
1913,1.0499919511630651e-07,5.30298971401777e-10
1914,1.0714789766552713e-07,0.0
1915,1.260541466763243e-07,0.0
1916,1.0218339951961752e-07,0.0
1917,1.2282394834528532e-07,0.0
1918,1.9871430367857101e-07,0.0
1919,1.7126598095273948e-07,1.8415696745321952e-09
1920,1.3781462371298403e-07,7.572231730534895e-10
1921,1.2722215103622148e-07,2.2718242842501013e-09
1922,1.4608312426389602e-07,0.0
1923,1.4225371103293583e-07,2.1231896241147297e-09
1924,9.926550603722717e-08,0.0
1925,1.198801413693218e-07,1.0998177923937646e-09
1926,1.1814906741847153e-07,0.0
1927,1.0703256236865855e-07,0.0
1928,1.1083260176292242e-07,0.0
1929,1.4259720160225697e-07,1.1140406375176326e-09
1930,1.3549649224842142e-07,0.0
1931,1.5511284345848253e-07,0.0
1932,1.2603467780536448e-07,0.0
1933,1.4108914569987974e-07,1.1470662197865522e-09
1934,1.4018448268870998e-07,0.0
1935,1.2806063409698254e-07,0.0
1936,1.6610859177035309e-07,0.0
1937,1.0702450481403503e-07,0.0
1938,1.0761127811065307e-07,0.0
1939,1.4988169994012424e-07,0.0
1940,1.4961119632062037e-07,1.0143131667916805e-08
1941,1.5938114472646703e-07,2.9515025978810172e-09
1942,1.1226583751522412e-07,0.0
1943,1.5967793842719402e-07,0.0
1944,1.6708568750800623e-07,0.0
1945,1.2635322832466045e-07,0.0
1946,1.4060314867947454e-07,1.3921104269343232e-09
1947,1.776209757053948e-07,2.3841741914054637e-09
1948,1.369857898225746e-07,0.0
1949,1.68852537285602e-07,0.0
1950,1.4464092146226903e-07,0.0
1951,1.2900295587314758e-07,3.1984206394497505e-09
1952,1.6660790436162642e-07,0.0
1953,1.292859224122367e-07,0.0
1954,1.5538331865627697e-07,1.9545072227344917e-09
1955,1.5861677127304574e-07,1.8771215692936494e-09
1956,1.2122386294777243e-07,8.72114158667614e-10
1957,1.1397198562690392e-07,2.6505113659425206e-09
