year,plus_ADV assuré_VERB,plus_ADV rassuré_VERB
1800,1.2199358252473758e-06,6.288328791015374e-08
1801,1.533481622573163e-06,3.809892135109294e-08
1802,1.4881636616337346e-06,1.0070280609397742e-07
1803,1.6714407138351817e-06,2.5354409016742352e-08
1804,1.4138987580736284e-06,2.9662210465630778e-08
1805,1.5493683349632192e-06,6.538618890772341e-08
1806,1.5359296412498225e-06,4.8988376022407465e-08
1807,1.1587106882871012e-06,1.9928686256776018e-08
1808,1.2440746104402933e-06,4.078933102391602e-08
1809,1.581321384946932e-06,9.487928309681593e-08
1810,1.0741181313278503e-06,7.956430891908894e-08
1811,1.1557623338376288e-06,7.270522672797597e-08
1812,1.082886569747643e-06,4.800974684471271e-08
1813,1.2250659437995637e-06,6.614205716459765e-08
1814,1.1894439921888988e-06,1.4474715115397885e-07
1815,9.710005315355374e-07,6.47333635583891e-08
1816,1.2885877822554903e-06,4.8669681618207505e-08
1817,1.3934017033534474e-06,1.4790297275801834e-07
1818,1.3268270322441822e-06,2.8610825708597076e-08
1819,1.2835301959057688e-06,8.384350280721264e-08
1820,1.2815800118914922e-06,8.187871713971617e-08
1821,1.583754965395201e-06,9.072569406853859e-08
1822,1.5920677469694056e-06,4.0102463572111446e-08
1823,1.5841947060835082e-06,8.400284201570685e-08
1824,1.326325218542479e-06,9.010590673597108e-08
1825,1.2468507293306175e-06,5.107157008410468e-08
1826,1.3943039220976061e-06,8.984144317381038e-08
1827,1.048003923642682e-06,2.488663675137559e-08
1828,1.1226896958760335e-06,6.237164740241496e-08
1829,1.128229996538721e-06,1.1916714726112332e-07
1830,1.1511830280142021e-06,8.76694201679129e-08
1831,8.809031442069681e-07,1.0446107978623331e-07
1832,8.618590641162882e-07,1.2447571684504055e-07
1833,1.0124091431862325e-06,7.992703565662396e-08
1834,9.521221500108368e-07,1.0081293222441445e-07
1835,1.2199260481793317e-06,6.806779140333674e-08
1836,1.19091691885842e-06,7.056787332260228e-08
1837,1.414539269717352e-06,5.218418364094646e-08
