year,puissions_VERB assurer_VERB,puissions_VERB rassurer_VERB
1800,0.0,0.0
1801,5.2386017301842e-08,0.0
1802,4.475680270843441e-09,0.0
1803,1.950339223455444e-09,0.0
1804,0.0,0.0
1805,0.0,0.0
1806,2.305335300434308e-08,0.0
1807,0.0,0.0
1808,6.798221985349073e-09,0.0
1809,0.0,0.0
1810,0.0,0.0
1811,0.0,0.0
1812,2.400487453257938e-08,0.0
1813,8.627225156487839e-09,0.0
1814,0.0,0.0
1815,2.966945977789237e-08,0.0
1816,0.0,0.0
1817,0.0,0.0
1818,7.152706427149269e-09,0.0
1819,5.175524897538253e-09,0.0
1820,0.0,0.0
1821,0.0,0.0
1822,2.5064039732569654e-08,0.0
1823,2.3718449426723964e-08,0.0
1824,2.0210670470532932e-08,0.0
1825,3.522177216552791e-09,0.0
1826,1.76159691278599e-08,0.0
1827,1.2904182611350734e-08,0.0
1828,1.7427371545863934e-08,0.0
1829,1.457439946506156e-08,0.0
1830,1.1480519646056564e-08,0.0
1831,1.5591206103948707e-09,0.0
1832,1.488296597074168e-08,0.0
1833,1.1583628278799551e-08,0.0
1834,3.267085801894609e-08,0.0
1835,2.117664621437143e-08,0.0
1836,4.032449929525228e-09,0.0
1837,0.0,0.0
1838,1.009945904684173e-08,0.0
1839,2.027527834513876e-08,0.0
1840,1.7198159341091923e-08,0.0
1841,9.630822361827995e-09,0.0
1842,1.2074877098200432e-08,0.0
1843,1.1813821920725331e-08,0.0
1844,3.0187088384536764e-08,0.0
1845,3.9061593959388574e-09,0.0
1846,1.4636253098387897e-08,0.0
1847,1.4561703842730367e-08,0.0
1848,2.091757700384278e-08,0.0
1849,2.4300303991253713e-08,8.379414939696517e-10
1850,9.504594444820214e-09,0.0
1851,1.2898877521649865e-09,0.0
1852,1.4974254725075298e-08,0.0
1853,1.0749477752369785e-08,0.0
1854,1.4028294081924741e-08,0.0
1855,1.1675261646360013e-08,0.0
1856,8.801221973442352e-09,0.0
1857,9.763018171682347e-10,0.0
1858,3.9149408159744326e-09,0.0
