year,pouvions_VERB ouvrir_VERB
1800,0.0
1801,0.0
1802,0.0
1803,1.950339223455444e-09
1804,2.4718509461507665e-09
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,5.0141535368197765e-09
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,1.622322720606917e-08
1817,0.0
1818,0.0
1819,2.070210003424222e-09
1820,0.0
1821,9.86148829262845e-10
1822,0.0
1823,1.581229902569703e-08
1824,0.0
1825,8.805443041381977e-10
1826,1.9377566218281572e-08
1827,4.608636583469661e-09
1828,1.2841221419535032e-08
1829,1.1145129263923081e-08
1830,7.305785310052215e-09
1831,1.5591206103948707e-09
1832,0.0
1833,5.791814139399776e-09
1834,1.8669061851994684e-09
1835,0.0
1836,7.392825018825988e-09
1837,1.3915781860163179e-09
1838,3.787297142565649e-09
1839,3.4957374772659477e-09
1840,9.554533164646273e-09
1841,1.2841097074556274e-08
1842,6.037438549100216e-09
1843,5.906910960362666e-09
1844,4.9397050894128824e-09
1845,6.696273757711424e-09
1846,3.5127007969038004e-09
1847,3.775256551818984e-09
1848,8.04522137798358e-09
1849,1.6758829879393033e-09
1850,4.752297222410107e-09
1851,5.159551008659946e-09
1852,6.510545436100301e-10
1853,7.166318205520383e-09
1854,1.558699391779328e-09
1855,0.0
1856,1.5531567143511893e-09
1857,0.0
1858,4.893676019968041e-10
1859,2.0877910955618972e-08
1860,2.288591982591015e-09
1861,1.650587222457034e-08
1862,1.0391368654438793e-08
1863,8.490855130105501e-09
1864,4.315255264231155e-09
1865,5.177528628053096e-09
1866,3.8924903300596725e-09
1867,4.85281148598915e-10
1868,3.457911734727759e-09
1869,2.441759683335931e-09
1870,2.2936195165357276e-09
1871,9.559059321873065e-09
1872,4.8378714367913744e-09
1873,4.788803575905831e-09
1874,3.5847653734322193e-09
1875,5.721527140956084e-10
1876,0.0
1877,0.0
1878,5.435179861734696e-09
1879,4.887460214320072e-09
1880,6.417846254436199e-10
1881,6.972507571312292e-10
1882,6.655385131892899e-09
1883,3.159669414998234e-09
1884,5.941527270181268e-09
1885,1.2891271383708158e-09
1886,1.2906927748801422e-09
1887,3.264462256069578e-09
1888,1.014498351992188e-08
1889,2.5060546970934183e-09
1890,4.5880703680722945e-09
1891,8.286486163910922e-09
1892,6.268512375839919e-10
1893,6.158416554491453e-10
1894,1.8904617871129403e-09
1895,3.611168697403855e-09
1896,8.255840455717589e-09
1897,0.0
1898,1.13167097914868e-09
1899,2.2110313580014918e-09
1900,6.748368974740515e-09
1901,4.470991132876634e-09
1902,2.455141867585553e-09
1903,2.1600881083827517e-09
1904,1.6123875568041512e-09
1905,2.0643036169332163e-09
1906,1.0288369045596824e-09
1907,2.5714217422034835e-09
1908,4.911389073214423e-10
1909,0.0
1910,1.068830135508847e-09
1911,5.320374141248863e-10
1912,8.335073964360618e-09
1913,0.0
1914,0.0
1915,0.0
1916,3.2962386153911893e-09
