year,mêmes_ADJ règles_NOUN
1800,6.571303856617305e-07
1801,5.595779271061474e-07
1802,9.33179308049148e-07
1803,9.673682370703318e-07
1804,1.5276038993761176e-06
1805,1.1826371064671548e-06
1806,1.377437797600578e-06
1807,1.8362860600973363e-06
1808,1.6202428696487914e-06
1809,1.2718342077278066e-06
1810,1.6755307115090545e-06
1811,1.3513143812815542e-06
1812,1.6723395219742088e-06
1813,1.3832317335982225e-06
1814,6.608021863030444e-07
1815,1.0788894542201888e-06
1816,1.1982011756117572e-06
1817,1.08202698356763e-06
1818,9.513099712421536e-07
1819,1.206932438435615e-06
1820,8.342136084138474e-07
1821,1.0916667179117212e-06
1822,1.0777537227113498e-06
1823,1.043611746354145e-06
1824,8.202163712667243e-07
1825,1.1059636335630785e-06
1826,1.1309451792840264e-06
1827,1.5945881841616938e-06
1828,1.441885729036585e-06
1829,1.2053885711793555e-06
1830,1.2242408047313802e-06
1831,1.2426190778569435e-06
1832,1.5018265457911184e-06
1833,1.204697355206008e-06
1834,1.442185066480306e-06
1835,1.2547162668852252e-06
1836,1.2641730791074224e-06
1837,1.1243952258155332e-06
1838,1.1418701433285605e-06
1839,1.4542268900186173e-06
1840,1.1306196938676294e-06
1841,1.2353135616649524e-06
1842,1.2685329693340464e-06
1843,1.176656724055647e-06
1844,1.3040821613685694e-06
1845,1.4480691561402637e-06
1846,1.2686704167208518e-06
1847,1.5090239458004362e-06
1848,1.2711450381175382e-06
1849,1.4203108094079653e-06
1850,1.378845126964734e-06
1851,1.1950810403504875e-06
1852,1.4043246210349025e-06
1853,1.1967750879193773e-06
1854,1.1799354524555383e-06
1855,1.163280558102997e-06
1856,1.3336439224076457e-06
1857,1.0973632242894382e-06
1858,1.008097228805127e-06
1859,1.0225083997283946e-06
1860,9.461039098823676e-07
1861,1.0658078508640756e-06
1862,9.98475002234045e-07
1863,1.1482633226478356e-06
1864,9.584661029293784e-07
1865,1.0938706509477925e-06
1866,1.2125107105021016e-06
1867,1.1331314908602508e-06
1868,9.010330472847272e-07
1869,9.928194231179077e-07
1870,1.021234083964373e-06
