year,avons_VERB emporté_VERB,avons_VERB remporté_VERB
1800,1.2576657937302116e-08,3.458580977167003e-08
1801,2.3811825844433088e-09,6.905429472681135e-08
1802,2.0140561218795483e-08,6.265952379180817e-08
1803,1.1702034896643454e-08,1.950339267864365e-08
1804,3.9549615138412264e-08,8.898663139689234e-08
1805,3.695740957709859e-08,5.685755422035754e-09
1806,8.645007376628655e-09,2.0171682990621775e-08
1807,2.562259560079383e-08,5.693910232196231e-09
1808,3.6257183921861724e-08,3.172503681980743e-08
1809,3.6144488291256494e-08,1.129515236897305e-08
1810,4.680253518074551e-09,2.106114038724627e-08
1811,1.0028307073639553e-08,1.2535384286138651e-08
1812,8.00162425207418e-09,2.400487453257938e-08
1813,0.0,5.751483289628823e-09
1814,1.2586708564299443e-08,3.4613449884091096e-08
1815,2.697223555614414e-09,2.697223555614414e-09
1816,2.7811246638975717e-08,2.5493642752394408e-08
1817,4.670620334934483e-09,3.269434145636296e-08
1818,4.768470951432846e-09,2.98029441125891e-08
1819,1.8631890696951814e-08,2.6912729822470283e-08
1820,1.542642635854463e-08,1.6613073583471305e-08
1821,3.747365440176509e-08,4.536284592404627e-08
1822,2.7069162911175226e-08,1.2030739071633434e-08
1823,1.680056804787e-08,3.261286707356703e-08
1824,1.0947446504872005e-08,6.736890156844311e-09
1825,6.163809906922779e-09,5.283265824829186e-09
1826,1.6735169694470642e-08,1.6735169694470642e-08
1827,9.217273166939322e-09,3.502563927781921e-08
1828,5.1364885678140126e-08,1.834460228167245e-08
1829,2.1432940755516938e-08,1.3717081692732336e-08
1830,1.461157062010443e-08,2.0873670791843324e-08
1831,1.2472964883158966e-08,1.5591206548037917e-08
1832,1.2176972319366541e-08,4.058990921151917e-09
1833,1.3900354645102198e-08,8.108539617524002e-09
1834,4.387229424196448e-08,3.827157613045529e-08
1835,1.739510224751939e-08,4.235329242874286e-08
1836,2.083432448785061e-08,3.8980349614803345e-08
1837,2.99189295560609e-08,2.7831564608504777e-08
1838,2.0830134062066463e-08,2.9035945203759184e-08
1839,2.3771015378315496e-08,4.194885150354821e-08
1840,1.8472096741106725e-08,3.05745047057826e-08
1841,1.2841097074556274e-08,3.146068650039524e-08
