year,sans_ADP apporter_VERB,sans_ADP rapporter_VERB
1800,1.9493819536364754e-07,1.540640592878617e-07
1801,2.0478169915350009e-07,1.476333224559312e-07
1802,2.4840025503181096e-07,2.774921767922933e-07
1803,1.7748086378333028e-07,2.47693073163191e-07
1804,1.9033252840472414e-07,2.6448804746337373e-07
1805,2.0753007845542015e-07,2.7291626647496514e-07
1806,1.8154515313284492e-07,2.5935022662793017e-07
1807,1.7935816742919997e-07,2.903894369410409e-07
1808,1.1556977375093425e-07,2.3113954483733323e-07
1809,1.6265019553429738e-07,1.9201758760800658e-07
1810,1.7550950959233091e-07,3.2059737975487224e-07
1811,2.582289084784861e-07,1.42903374467096e-07
1812,1.8137015445063298e-07,2.400487417730801e-07
1813,1.552900528167811e-07,3.249587940956644e-07
1814,2.2341408012493957e-07,2.4544080812205493e-07
1815,2.157778871136884e-07,2.211723373335417e-07
1816,2.4798362119327066e-07,1.6686747450478379e-07
1817,1.6191484064620454e-07,1.5257358843001612e-07
1818,1.9908365800347383e-07,2.419998992309047e-07
1819,2.0805610745355807e-07,2.277230990443968e-07
1820,2.57502648537411e-07,2.1834325636405083e-07
1821,2.130081497853098e-07,2.4062031656058025e-07
1822,3.3184790027007693e-07,2.767070128584237e-07
1823,2.2829006240954186e-07,1.591112521737159e-07
1824,2.1473837019669872e-07,1.8442237070814826e-07
1825,1.8931702627789093e-07,2.8529636253438184e-07
1826,2.6423953203291717e-07,2.246036014952324e-07
1827,1.7236300697831552e-07,3.179959069399274e-07
1828,2.1646630887772744e-07,2.705828912041852e-07
1829,2.160440417675602e-07,2.6662577212732685e-07
1830,1.534214817411339e-07,1.7429516319111826e-07
1831,2.6349138693149143e-07,1.5279382203914338e-07
1832,2.002435515180423e-07,1.9347855939599867e-07
1833,3.2086651380325293e-07,1.7491279002967985e-07
1834,1.9882551516303693e-07,1.8762406739369908e-07
1835,2.5563235794834327e-07,2.3143049787677228e-07
1836,2.997454435771374e-07,2.0027835212488299e-07
1837,3.7781347550502886e-07,1.551609614125482e-07
1838,2.7079175413113887e-07,2.2850026226706177e-07
1839,2.1673573180613914e-07,1.8387580524859004e-07
1840,3.1466263239465775e-07,1.949124683875425e-07
1841,3.158909827050138e-07,1.5537727549030933e-07
1842,3.058968962577069e-07,1.623400169847855e-07
1843,3.0538730921847446e-07,2.386392061737297e-07
1844,2.886983108130181e-07,1.55326278061807e-07
1845,3.191890347586934e-07,1.6461672203149647e-07
1846,4.2913494202601044e-07,1.627551320382281e-07
1847,3.2143613903912183e-07,1.499316120145977e-07
1848,2.9847773874713823e-07,1.311371189416377e-07
1849,3.879669190354207e-07,2.0361978236849154e-07
1850,3.4352320632535793e-07,1.6157810645012205e-07
1851,2.908697023240592e-07,1.2253933778794135e-07
1852,3.2422516005325974e-07,1.549509871523469e-07
1853,3.541355475533692e-07,1.104807356711035e-07
1854,3.38757327522643e-07,1.3612641147631166e-07
1855,2.918815482644277e-07,1.687606037137357e-07
1856,3.204680076862587e-07,2.0915844167745945e-07
1857,2.9093794573498144e-07,1.2594293163914472e-07
1858,3.4745100019328845e-07,1.570870065137342e-07
1859,3.625627562620082e-07,9.980659587682794e-08
1860,3.6571699979504046e-07,1.277034336055749e-07
1861,3.254015086273654e-07,1.4525168801071686e-07
1862,3.4788492819792793e-07,1.6852088613461547e-07
1863,3.436299262915554e-07,1.443445363236151e-07
1864,3.5480987303770917e-07,1.0068928846251879e-07
1865,3.323032116142599e-07,1.3696917555705568e-07
1866,3.289154220098567e-07,1.2018064099450498e-07
1867,3.955041290026884e-07,1.1404107347345871e-07
1868,3.8382822520333093e-07,1.0027944341572947e-07
1869,3.394045809956836e-07,1.4259875946720513e-07
1870,3.2110673631180475e-07,9.747882856459e-08
1871,4.0360472208789133e-07,7.009977043281879e-08
1872,4.208948032324855e-07,1.5420715548941644e-07
1873,3.920833062664997e-07,1.3229069573128527e-07
1874,4.373413773350876e-07,1.2008964400678224e-07
1875,3.478688532787544e-07,1.338837405384652e-07
1876,4.135474096500502e-07,1.2152489503591823e-07
1877,4.180935508912853e-07,1.107082070461729e-07
1878,3.84689935906124e-07,9.541759826703355e-08
1879,3.415112814764143e-07,8.186495925599502e-08
1880,4.1138395268092154e-07,1.2065550869522212e-07
1881,4.3647896319498614e-07,8.506459181489845e-08
1882,3.9732648104973123e-07,8.186123778841647e-08
1883,3.867435314219847e-07,7.962366854741276e-08
1884,4.106255460101238e-07,6.931781726393638e-08
1885,4.479716739780315e-07,9.152802826761786e-08
1886,4.1237635395319217e-07,8.002295537323789e-08
1887,4.472313470671452e-07,8.226445213921352e-08
1888,3.9755652814221776e-07,9.447515614269264e-08
1889,4.661261687743945e-07,8.583237143255928e-08
1890,4.6405057041454256e-07,7.01319344820206e-08
1891,4.4045859493024864e-07,9.816298973674975e-08
1892,5.014810149361892e-07,1.0092304592035362e-07
1893,4.3108914926648367e-07,8.744951518480093e-08
1894,4.240935940202917e-07,7.876924001948282e-08
1895,4.3093279877837176e-07,8.305688048437787e-08
1896,4.469947825214149e-07,7.017464564995635e-08
1897,5.150814565979545e-07,7.399926360562858e-08
1898,4.243766298372975e-07,7.80852964510359e-08
1899,4.831103499469691e-07,5.803957137118232e-08
1900,3.919245186168041e-07,8.980521570833844e-08
1901,4.241852966657689e-07,1.0730378807721763e-07
1902,4.6991417335107144e-07,6.137854757781724e-08
1903,4.487583016299368e-07,7.830319592727619e-08
1904,4.288950785635848e-07,7.040758731591268e-08
1905,4.6962906097292034e-07,9.340973994298452e-08
1906,5.468268167163615e-07,5.9158121068492164e-08
1907,4.633701919942723e-07,7.457122686016504e-08
1908,5.02435097970988e-07,8.644044768857384e-08
1909,4.873871564115007e-07,7.536347723657855e-08
1910,4.889897944337918e-07,8.069667867260932e-08
1911,4.995831517362603e-07,6.916486583463666e-08
1912,4.5634529755034237e-07,5.938740255118091e-08
1913,4.968901485824517e-07,5.037840278276917e-08
1914,5.585084483783476e-07,6.562808785304242e-08
1915,5.772573512530244e-07,5.419150461705158e-08
1916,4.449922137439444e-07,1.0987461784850439e-07
1917,5.461279615204262e-07,7.786161315692652e-08
1918,4.732387051120668e-07,6.432370724951397e-08
1919,5.064316681568926e-07,4.1435317399418636e-08
1920,5.815474217740757e-07,5.1491177543994127e-08
1921,5.702278862429466e-07,5.5281055288958214e-08
1922,5.555585538274954e-07,5.828569005217332e-08
1923,5.72199608583901e-07,5.6264526371307966e-08
1924,6.21376287313069e-07,5.9301473065431765e-08
1925,5.246130623248746e-07,5.609070630185897e-08
1926,5.428169238541614e-07,6.130376206670007e-08
1927,4.816465235535361e-07,5.686104831426064e-08
1928,5.038883994501475e-07,7.65544745373603e-08
1929,5.50336061166945e-07,7.575476335119902e-08
1930,5.945039500687699e-07,4.096405259446101e-08
1931,5.634246420527234e-07,5.018357018826691e-08
1932,5.961987916691669e-07,3.397456205256333e-08
1933,5.586212665775747e-07,4.817678300739203e-08
1934,5.487563434769527e-07,5.511526879331541e-08
1935,5.696903322416347e-07,5.8644594069789946e-08
1936,6.63221889851684e-07,3.516167090822364e-08
1937,6.257785756247358e-07,4.155068988875854e-08
1938,6.236268301762493e-07,3.241303758727554e-08
1939,5.505857991749963e-07,5.8117390899781185e-08
1940,5.883016171992494e-07,4.817987386829259e-08
1941,6.552335598541958e-07,3.836953510472085e-08
1942,5.431239280540012e-07,5.158160121254696e-08
1943,7.432282309594029e-07,3.483882360377777e-08
1944,5.783735286257752e-07,2.8918675454292497e-08
1945,5.511615306375006e-07,4.7927088075994106e-08
1946,5.554520825512554e-07,5.8468637931241574e-08
1947,5.423996398690178e-07,4.4107222318956474e-08
