year,avions_VERB envoyé_VERB,avions_VERB renvoyé_VERB
1800,4.4018303668735825e-08,1.2576657937302116e-08
1801,5.2386017301842e-08,0.0
1802,7.384872446891677e-08,0.0
1803,3.705644502360883e-08,2.3404069793286908e-08
1804,3.9549615138412264e-08,2.4718509461507665e-09
1805,2.55858996212055e-08,1.7057265822018053e-08
1806,9.509508203109363e-08,0.0
1807,0.0,0.0
1808,1.8128591960930862e-08,0.0
1809,3.388545621874073e-08,1.129515236897305e-08
1810,3.2761775514700275e-08,0.0
1811,3.5099073869560016e-08,2.5070767684098882e-09
1812,1.0668832928217853e-08,2.400487453257938e-08
1813,1.3803560250380542e-07,2.8757416004054903e-08
1814,2.5173417128598885e-08,3.1466771410748606e-09
1815,6.203614333344376e-08,2.697223555614414e-09
1816,6.952811304472561e-08,4.6352077731626196e-09
1817,4.670620157298799e-08,1.556873407970727e-09
1818,1.1086694939876907e-07,3.5763532135746345e-09
1819,7.14222423425781e-08,0.0
1820,6.882559233645225e-08,0.0
1821,5.1279737789400315e-08,9.86148829262845e-10
1822,7.719724237631453e-08,1.0025615893027862e-09
1823,8.499110748516614e-08,0.0
1824,1.0863235644364977e-07,3.3684450784221553e-09
1825,7.836844417852262e-08,4.4027217427355936e-09
1826,5.0205510859768765e-08,7.927186018719112e-09
1827,4.977327350275118e-08,9.217273055917019e-10
1828,1.476740436601176e-07,3.668920500743411e-09
1829,5.915491385621863e-08,8.57317605795771e-10
1830,5.0096812032052185e-08,2.0873671680021744e-09
1831,4.5214498811674275e-08,0.0
1832,6.22378593106987e-08,1.3529969367098715e-09
1833,1.0077756940063409e-07,1.1583628500844156e-09
1834,6.907552574375586e-08,6.534171426153534e-09
1835,8.395027606411531e-08,3.781543966852041e-09
1836,6.25029770162655e-08,9.409050427677812e-09
1837,4.87052354003481e-08,6.262101948095733e-09
1838,6.249040040984255e-08,1.3255539776935166e-08
1839,7.061390050466798e-08,0.0
1840,9.299745329371945e-08,3.821813088222825e-09
1841,8.218302127716015e-08,1.0914932957462042e-08
1842,3.219967226186782e-08,4.024959032733477e-09
1843,6.556670939517062e-08,0.0
1844,3.3480223038395707e-08,4.9397050894128824e-09
1845,3.1807299905040054e-08,5.580227946389016e-10
1846,5.21050615986951e-08,1.1709002656346001e-08
1847,3.074137566727586e-08,3.235934187273415e-09
1848,4.34441957963827e-08,3.218088684420195e-09
1849,3.9383248662261394e-08,3.3517659758786067e-09
1850,5.906426636670403e-08,4.073397619208663e-09
1851,4.837079004005318e-08,9.674158363282004e-09
1852,5.4037528229855525e-08,1.9531636308300904e-09
1853,3.4637203327747557e-08,9.555090940693844e-09
1854,5.507404310378661e-08,5.195664343204953e-09
1855,2.388121700391821e-08,0.0
1856,5.539592606851329e-08,5.177189343896771e-09
1857,4.4421732070532016e-08,5.369659827891837e-09
1858,4.061751113226819e-08,4.893676019968041e-10
1859,7.689181558134806e-08,1.1202780925145817e-08
1860,4.8060432078500526e-08,3.204028820036342e-09
1861,4.33868656557479e-08,1.8863854922557266e-09
1862,5.963742211179124e-08,7.228778020618165e-09
1863,4.2454278315062766e-08,5.9935452156878455e-09
1864,5.418042547944424e-08,2.8768367688059016e-09
1865,3.530133341200781e-08,9.41368871743009e-10
1866,3.065336073859726e-08,2.919367858567057e-09
1867,2.6690463172940326e-08,3.88224918879132e-09
1868,3.902500367303219e-08,8.89177353968762e-09
1869,4.444002499326416e-08,4.883519144627257e-10
1870,3.956493799250893e-08,4.013834153937523e-09
1871,8.921789174110017e-08,0.0
1872,6.349706183073067e-08,0.0
1873,6.165584665041024e-08,3.591602570907071e-09
1874,5.735624597491551e-08,1.1949218281515073e-09
1875,4.577221801582709e-08,5.721527140956084e-10
1876,5.683254045152353e-08,6.04601479992084e-10
1877,6.80329748092845e-08,1.1132669008873108e-08
1878,7.307297522629597e-08,1.8117265465633636e-09
1879,2.6881030734671185e-08,1.832797580370027e-09
1880,4.299957012676714e-08,3.2089232604448625e-08
1881,3.765154232837631e-08,9.064259565150223e-09
1882,5.989846840748214e-08,6.655385131892899e-09
1883,5.8137917591238875e-08,1.2638677659992936e-08
1884,7.723985362417807e-08,4.621187876807653e-09
1885,6.445635847285303e-08,8.379326565943757e-09
1886,3.6784744139595205e-08,7.098810428374236e-09
1887,3.721487118468758e-08,1.9586774424595887e-09
1888,3.233713385952797e-08,5.706553452000662e-09
1889,7.894072240333116e-08,7.51816386923565e-09
1890,7.209825270138026e-08,1.3764211992395303e-08
1891,5.864282570655632e-08,4.461953917456185e-09
1892,2.9462007944403013e-08,2.5074049503359674e-09
1893,5.7273272346947124e-08,1.847525021858587e-09
1894,5.671385494565584e-08,5.671385139294216e-09
1895,5.838056083007359e-08,5.416753268150387e-09
1896,5.248355705589347e-08,2.948514543632541e-09
1897,3.437761009195128e-08,4.078699600285063e-09
1898,4.9227686815811467e-08,2.26334195829736e-09
1899,5.693405569218157e-08,2.2110313580014918e-09
1900,3.529916270395006e-08,1.038210628578895e-09
1901,3.800342440740678e-08,3.353243460679778e-09
1902,5.106695155632224e-08,1.9641135384773634e-09
1903,3.510143287144274e-08,2.7001101354784396e-09
1904,4.2997001514777367e-08,1.0749250378694342e-09
1905,3.148063143498803e-08,2.0643036169332163e-09
1906,4.83553357355504e-08,0.0
1907,5.142843306771283e-08,6.685696440911215e-09
1908,5.451641982290312e-08,4.911389073214423e-09
1909,4.8408654862441836e-08,7.151278680339601e-09
1910,4.221879024157715e-08,6.412980813053082e-09
1911,3.298632123005518e-08,2.128149656499545e-09
1912,4.115442919783163e-08,5.730363294986773e-09
1913,4.295421618394357e-08,1.060597942803554e-09
1914,3.080502253283157e-08,4.018046340092951e-09
1915,3.534228554258334e-08,0.0
1916,3.735737053034427e-08,3.2962386153911893e-09
1917,3.5092558192673096e-08,0.0
1918,4.5945505178224266e-08,8.040463406189247e-09
1919,4.511845830279526e-08,9.207848372660976e-10
1920,6.209229752585088e-08,6.057785384427916e-09
1921,3.7863738810983705e-08,3.7863738810983705e-09
1922,4.869437475463201e-08,2.951174193910333e-09
1923,4.140219900250486e-08,2.1231896241147297e-09
1924,2.3204924204378585e-08,9.02413699321869e-09
1925,2.74954441437103e-08,3.299453377181294e-09
1926,2.8979959765251806e-08,2.229227691330493e-09
1927,4.3481975353643065e-08,3.3447675740205796e-09
1928,2.9707706517001498e-08,0.0
1929,6.238627747734427e-08,5.570202965543558e-09
1930,3.676261073337628e-08,1.05036033204442e-08
1931,7.755642172924126e-08,4.5621426636444085e-09
1932,3.7262424257278326e-08,1.0959536611565568e-09
1933,3.326492148403304e-08,6.882397318719313e-09
1934,2.036868629318178e-08,8.38710612072191e-09
1935,1.9149254626427137e-08,4.787313656606784e-09
1936,2.9099314957647948e-08,2.424942913137329e-09
1937,2.7700460591972842e-08,0.0
1938,1.2965214679638848e-08,5.186085783037697e-09
1939,1.2235240376412548e-08,1.5294050470515685e-08
1940,2.028626333583361e-08,0.0
1941,2.3612020783048138e-08,0.0
1942,3.3376331032286544e-08,0.0
1943,1.7419411690866582e-08,0.0
1944,2.5705489292704442e-08,0.0
1945,1.9606536838523425e-08,0.0
1946,4.733175273941015e-08,2.7842208538686464e-09
1947,6.437270627657199e-08,9.536696765621855e-09
1948,2.9354097819123126e-08,4.348755133776194e-09
1949,2.4542520904446974e-08,1.9634016634739737e-09
1950,9.571825110299415e-09,1.0635361480382244e-09
1951,4.371174711081949e-08,0.0
1952,1.5817205323287453e-08,1.0544803918932644e-09
1953,2.477980309834038e-08,3.232148326759443e-09
1954,3.420387528763058e-08,9.772536557761669e-09
1955,2.440258128899586e-08,0.0
1956,3.488456457034772e-08,1.744228317335228e-09
1957,3.445664731316356e-08,0.0
1958,1.7371711180658167e-08,4.1361216673863055e-09
1959,1.7826719656000023e-08,7.750747821333448e-10
1960,2.2838749558218296e-08,2.7683333403416555e-09
1961,1.667558180429296e-08,0.0
1962,3.4880759613997725e-08,6.341956404476434e-10
1963,2.392439668597035e-08,1.2932106496776896e-09
1964,2.4335873760605864e-08,6.083968329129164e-10
1965,1.6963333848707407e-08,1.6416130677043839e-09
1966,2.437192847537517e-08,3.8773522170743036e-09
1967,3.747054933000982e-08,3.451234853457663e-09
1968,3.503304313312583e-08,2.245707841908029e-09
1969,3.4971535001204757e-08,2.7250546263957176e-09
1970,2.713247759800197e-08,1.8394900047624674e-09
1971,2.003974941544584e-08,2.569198631618974e-09
1972,2.1546616935097518e-08,1.5390440033513642e-09
1973,2.4258095976392724e-08,3.3079223804577396e-09
1974,4.500457251310763e-08,4.500457340128605e-09
1975,1.7134439644905797e-08,5.711480177694739e-10
1976,1.428381679602353e-08,5.713526873840635e-10
1977,2.1744092748576804e-08,5.876781838942691e-10
1978,1.1881182260253809e-08,4.158414057542359e-09
1979,1.462993370893173e-08,5.266775904289034e-09
1980,1.591842213599648e-08,5.685150683554241e-10
1981,2.0874313833019187e-08,1.2651099057237047e-09
1982,2.6071509395819703e-08,6.207502289967692e-10
1983,2.0209011353244932e-08,1.2630632095778083e-09
1984,2.609553817478627e-08,0.0
1985,2.947623478632977e-08,6.015558051686298e-10
1986,1.9182353483415682e-08,2.3977941854269602e-09
1987,2.9331921780340053e-08,1.8332451112712533e-09
1988,2.398621568033832e-08,1.1993107618124554e-09
1989,1.8659616074501173e-08,1.6464366536794728e-09
1990,2.9967580417178397e-08,2.724325431913144e-09
1991,2.5790447111262438e-08,0.0
1992,1.4876849085965205e-08,1.1019888335184191e-09
1993,1.661762283333701e-08,5.539207426075166e-10
1994,2.320967773528082e-08,2.637463358823311e-09
1995,2.548551947256783e-08,3.253470381991974e-09
1996,1.4412848692302305e-08,1.067618438099771e-09
1997,1.965906726297817e-08,9.58978896292706e-10
1998,2.0979769033147022e-08,1.9072516899143466e-09
1999,2.0565904534919355e-08,1.3710603763428253e-09
2000,2.9159007652879154e-08,5.743440834038438e-09
