year,avez_VERB envoyé_VERB,avez_VERB renvoyé_VERB
1800,1.4148740490327327e-07,4.7162465932615305e-08
1801,2.2621235018505104e-07,6.429193177837078e-08
1802,2.2378401354217203e-07,1.2979472785445978e-07
1803,1.7748087088875764e-07,1.1116933507082649e-07
1804,3.21340621667332e-07,2.0021992952479195e-07
1805,2.956592766167887e-07,7.391481915419718e-08
1806,5.388721433519095e-07,1.2391177506287931e-07
1807,2.1921555060089304e-07,8.54086508184082e-08
1808,2.515342032438639e-07,9.064295625194063e-08
1809,3.0722816291017807e-07,8.132509776714869e-08
1810,1.942305232205399e-07,9.828532654410083e-08
1811,1.1532553401139012e-07,4.512738271955641e-08
1812,2.4805035536701325e-07,2.6672083208723052e-08
1813,2.2718359105056152e-07,6.901780125190271e-08
1814,3.3354777428939997e-07,9.44003133440674e-08
1815,3.1557516422253684e-07,1.0249449644561537e-07
1816,4.449799462236115e-07,9.965696534663948e-08
1817,2.8335097113085794e-07,1.1520863552050287e-07
1818,2.992215399899578e-07,7.867976847819591e-08
1819,3.602165463689744e-07,1.666519011678247e-07
1820,5.304316914589435e-07,1.1391821885808895e-07
1821,5.492848913490889e-07,1.8145138369618508e-07
1822,3.9400669038514025e-07,9.624591257306747e-08
1823,2.5497331535007106e-07,8.20263039713609e-08
1824,3.5958152011517086e-07,9.179012749882531e-08
1825,3.1435430969395384e-07,7.484626252107773e-08
1826,2.527891638237634e-07,7.927185663447744e-08
1827,2.7467473273645737e-07,1.7973682986394124e-07
1828,3.2928562632150715e-07,1.733564971573287e-07
1829,3.000611741299508e-07,9.430493719264632e-08
1830,2.536150986998109e-07,1.3463518655498774e-07
1831,4.1004872741723375e-07,1.7306238930814288e-07
1832,3.693681662753079e-07,2.0159654923190828e-07
1833,2.2819747869107232e-07,1.3437009727113036e-07
1834,3.127067884634016e-07,1.5028594191335287e-07
1835,3.524398834997555e-07,2.04959690108808e-07
1836,4.045891444093286e-07,1.4920064472789818e-07
1837,3.896418832027848e-07,1.1271783506572319e-07
1838,3.421191649977118e-07,8.710783561127755e-08
1839,5.572205736825708e-07,8.459684863737493e-08
1840,3.974685682806012e-07,4.452412269984052e-07
1841,4.0834689229996e-07,3.666133352453471e-07
1842,3.340715863942023e-07,4.856784130424785e-07
1843,3.780423014632106e-07,1.3822172206801042e-07
1844,2.8375862370921823e-07,9.879410356461449e-08
1845,3.4541611171334807e-07,1.5401428754557855e-07
1846,3.9576428889631643e-07,1.7680594055491383e-07
1847,2.761330506473314e-07,5.646705290018872e-07
1848,2.43770216457051e-07,3.282450506958412e-07
1849,2.0613360618426668e-07,4.6254371000031824e-07
1850,3.7203699321253225e-07,4.0326636963072815e-07
1851,2.5862249231067835e-07,1.7155507237021084e-07
1852,3.6133528169557394e-07,1.666699631641677e-07
1853,2.526127218516194e-07,1.899074391076283e-07
1854,4.2968144953192677e-07,1.7353519865537237e-07
1855,3.014340279605676e-07,1.4541006976287463e-07
1856,3.1321994242716755e-07,1.3150061306532734e-07
1857,2.904498046518711e-07,1.1325101212378286e-07
1858,4.467926260076638e-07,1.7861917456230003e-07
1859,2.994197814132349e-07,1.5429284871970594e-07
1860,3.69378739151216e-07,2.192471129092155e-07
1861,4.2113555309697404e-07,3.419073664190364e-07
1862,5.051108473708155e-07,6.334216777759138e-07
1863,4.440217935552937e-07,3.5411861176726234e-07
1864,5.077616833659704e-07,2.531616303258488e-07
1865,4.7115511847550806e-07,1.5767928118748387e-07
1866,3.5518974073056597e-07,1.5326681079841364e-07
1867,4.2365044805592333e-07,1.5383412232949922e-07
1868,4.277930827356613e-07,1.7042565048086544e-07
1869,3.994718724698032e-07,1.2208798239043972e-07
1870,3.3429503787374415e-07,1.6800763091850968e-07
1871,3.6643061207541905e-07,3.016414211742813e-07
1872,3.3865100590446673e-07,2.7333973662280187e-07
1873,3.645476738256548e-07,2.7116601586385514e-07
1874,3.716207004345051e-07,2.551158218011551e-07
1875,3.650334292615298e-07,2.4488136318723264e-07
1876,2.7872127361661114e-07,2.515142227821343e-07
1877,3.061483937472076e-07,2.3007515892459196e-07
1878,2.2767363816456054e-07,2.11972007946315e-07
1879,2.510932688437606e-07,1.5395499985970673e-07
1880,3.504144103771978e-07,1.5659544772006484e-07
1881,3.1306558412325103e-07,2.6146904019697104e-07
1882,3.3609694582992233e-07,2.2095878193795215e-07
1883,2.3002394300419837e-07,2.3760713929732447e-07
1884,1.9408989260227827e-07,1.6834327709602803e-07
1885,2.7587321937971865e-07,1.8627886788635806e-07
1886,2.381328130240945e-07,3.0589418997806206e-07
1887,2.879255873722286e-07,2.27206570002636e-07
1888,2.485520838035882e-07,2.802551648528606e-07
1889,3.3831739187917265e-07,1.9359272585006693e-07
1890,2.4120143393702165e-07,3.526259888531058e-07
1891,2.122615256894278e-07,2.8237795390850806e-07
1892,2.42591426058425e-07,3.397533703264344e-07
1893,1.8044160299268697e-07,3.448713243869861e-07
1894,2.596234196516889e-07,2.482806564785278e-07
1895,2.5217994448212266e-07,3.0755120405956404e-07
1896,2.1701066543755587e-07,3.6266729352973925e-07
1897,2.989104075368232e-07,1.7771476734651515e-07
1898,2.2067584382057248e-07,1.7710651434299507e-07
1899,2.1391728921571485e-07,1.3100360263251787e-07
1900,2.1283318574205623e-07,1.3289096045809856e-07
1901,2.095777063004789e-07,1.8275176216775435e-07
