year,voulais_VERB aller_VERB
1800,2.5153315874604232e-08
1801,7.857902772911984e-08
1802,7.384872446891677e-08
1803,4.6808139586573816e-08
1804,2.9662210465630778e-08
1805,4.5486043376286034e-08
1806,5.4751712497136396e-08
1807,1.7081731584767113e-08
1808,4.5321478125970316e-08
1809,7.00299480627109e-08
1810,3.2761775514700275e-08
1811,3.5099073869560016e-08
1812,4.267533171287141e-08
1813,2.0130190847567064e-08
1814,7.552024783308298e-08
1815,2.4275012222574333e-08
1816,3.244645441213834e-08
1817,1.323342360137758e-07
1818,7.74876554032744e-08
1819,3.9333990287104825e-08
1820,5.814575843032799e-08
1821,1.0453177878844144e-07
1822,1.2130995230563713e-07
1823,1.1661570198384652e-07
1824,6.231623217445303e-08
1825,1.0654586191094495e-07
1826,1.0041102171953753e-07
1827,7.465990847776993e-08
1828,9.997808092521154e-08
1829,1.2259641835044022e-07
1830,1.4298464634521224e-07
1831,1.2472965238430334e-07
1832,1.6641862998767465e-07
1833,2.3978111585165607e-07
1834,1.3721761149554368e-07
1835,1.1420262779893164e-07
1836,1.0618784784810487e-07
1837,1.30808345488731e-07
1838,1.1235648145202504e-07
1839,6.362242288560083e-08
1840,9.363442643461894e-08
1841,1.1685398249028367e-07
1842,1.4355687483202928e-07
1843,1.0396163219184018e-07
1844,8.562155784375136e-08
1845,8.984167010339661e-08
1846,8.137757134818457e-08
1847,7.496581133636937e-08
1848,7.562508130831702e-08
1849,9.803915190786938e-08
1850,1.1337623107010586e-07
1851,8.835731080125697e-08
1852,7.096494414327026e-08
1853,1.068975805651462e-07
1854,8.93654288347534e-08
1855,9.552486801567284e-08
1856,1.0250834492353533e-07
1857,8.737901424638039e-08
1858,1.5512952700191818e-07
1859,1.4359929423335416e-07
1860,1.1122556742293455e-07
1861,9.101810150013989e-08
1862,1.1340145533722534e-07
1863,8.341017121438199e-08
1864,1.193887300132701e-07
1865,9.507825637911083e-08
1866,1.0947628936719411e-07
1867,1.1501163044158602e-07
1868,1.0917121784359551e-07
1869,1.411336967294119e-07
1870,1.2500225921030506e-07
1871,1.083360103848463e-07
1872,1.608592299362499e-07
1873,8.739566226267925e-08
1874,1.0694550667267322e-07
1875,1.1156978274584617e-07
1876,9.613163598487517e-08
1877,9.277223966819292e-08
1878,6.884560832531861e-08
1879,8.919614913338592e-08
1880,1.3220763150911807e-07
1881,9.900960407094317e-08
1882,9.983077831066112e-08
1883,1.0300522745865237e-07
1884,1.293932569979006e-07
1885,8.701608322780885e-08
1886,6.77613698485402e-08
1887,7.899998877292091e-08
1888,8.559830178000993e-08
1889,7.51816386923565e-08
1890,7.472000618236052e-08
1891,6.246735750892185e-08
1892,5.328235630486233e-08
1893,7.574852389780062e-08
1894,8.885170643679885e-08
1895,6.379731587458082e-08
1896,7.902018950289857e-08
1897,8.215666014166345e-08
1898,7.808530000374958e-08
1899,1.0170744246806862e-07
1900,8.513327287573702e-08
1901,7.041811045382929e-08
1902,5.794134949610452e-08
1903,8.532347806067264e-08
1904,6.610788716443494e-08
1905,8.979720433899274e-08
1906,7.459067319359747e-08
1907,1.0131401495527825e-07
1908,9.528094579991375e-08
1909,6.766209992292715e-08
1910,7.695577153299382e-08
1911,9.629876984718067e-08
1912,8.022508524163641e-08
1913,6.840856769940729e-08
1914,8.170027143705738e-08
1915,5.5369582696584985e-08
1916,4.9443578120644815e-08
1917,7.128176093829097e-08
1918,4.824278221349232e-08
1919,4.880159565345821e-08
1920,7.117898093156327e-08
1921,6.209653236055601e-08
1922,6.418803621954794e-08
1923,1.242065934548009e-07
1924,1.353620575628156e-07
1925,1.1328123150633473e-07
1926,1.1034676816734645e-07
1927,1.3602054593775392e-07
1928,1.028343703524115e-07
1929,1.2588658648837736e-07
1930,1.0818711615456778e-07
1931,9.238338805062085e-08
1932,1.0959536922428015e-07
1933,7.570636739728798e-08
1934,6.82950087593781e-08
1935,1.0891138657598276e-07
1936,7.63857030960935e-08
1937,7.932404599841902e-08
1938,7.649476430060531e-08
1939,8.105846660555471e-08
1940,6.085878823114399e-08
1941,1.328176182369134e-07
1942,1.4867637787574495e-07
1943,9.00002916637277e-08
1944,5.1410978585408884e-08
1945,1.2635322832466045e-07
1946,1.0580039599972224e-07
1947,1.251691514880804e-07
1948,1.0110855441780586e-07
1949,7.657266820615405e-08
1950,8.933703554703243e-08
1951,9.915103760249622e-08
1952,7.697706649878455e-08
1953,1.206668684972101e-07
1954,1.6320134932357178e-07
1955,1.0418024487535149e-07
1956,1.2122386294777243e-07
1957,7.598132611974506e-08
1958,1.0671193706457416e-07
1959,8.603330314826962e-08
1960,1.8201791363026132e-07
1961,1.4938542847175995e-07
1962,1.033738925571015e-07
1963,1.3902014472932933e-07
1964,1.1377020570080276e-07
1965,9.302473813477263e-08
1966,1.2629089951587957e-07
1967,9.367637687773822e-08
1968,1.2261564563686989e-07
1969,9.038097914526588e-08
1970,8.645603344348274e-08
1971,1.1664162258284705e-07
1972,6.925698414761428e-08
1973,8.490334124644505e-08
1974,5.794338875375615e-08
1975,9.252597976683319e-08
1976,8.684560981464529e-08
1977,8.756404668019968e-08
1978,1.0514846593423499e-07
1979,1.0592071930659586e-07
1980,1.0233271297011015e-07
1981,1.0563667984797576e-07
1982,1.1235579222557135e-07
1983,9.725586380682216e-08
1984,1.1308066660831173e-07
1985,1.0467071120956462e-07
1986,1.0370460046260632e-07
1987,1.3077148253159976e-07
1988,8.035382137450142e-08
1989,1.2512919056462124e-07
1990,1.0461410226980661e-07
1991,9.261115252456875e-08
1992,8.650612670635383e-08
1993,1.2130864490700333e-07
1994,1.2026832507672225e-07
1995,1.4098371536874765e-07
1996,1.2811420901925885e-07
1997,1.0021329188703021e-07
1998,1.2254092496277735e-07
1999,1.2613755018264783e-07
2000,1.175196402414258e-07
2001,1.274932657224781e-07
2002,1.4677091542125709e-07
2003,1.5459283986274386e-07
2004,1.4579859453078825e-07
2005,1.2430348306224914e-07
2006,1.4659687508356e-07
2007,1.7735489166170737e-07
2008,1.754065124259796e-07
2009,2.021713640942835e-07
2010,2.21545889189656e-07
2011,2.44734195575802e-07
2012,3.2544656392019533e-07
2013,3.809944928434561e-07
2014,3.674760478133976e-07
2015,3.650699795798573e-07
2016,3.8692633097525686e-07
2017,3.564621238183463e-07
2018,4.468518852718262e-07
2019,4.2933123722832534e-07
