year,peux_VERB assurer_VERB,peux_VERB rassurer_VERB
1800,6.60274537267469e-08,0.0
1801,1.0000967165524344e-07,0.0
1802,6.937304419807333e-08,0.0
1803,7.021220937986072e-08,0.0
1804,8.157108055684148e-08,0.0
1805,6.538618890772341e-08,0.0
1806,5.4751712497136396e-08,0.0
1807,9.964342950752325e-08,0.0
1808,1.3369836437959748e-07,0.0
1809,4.743964154840796e-08,0.0
1810,1.2870697219113936e-07,0.0
1811,5.515568801683912e-08,0.0
1812,3.467370746079723e-08,0.0
1813,4.026038169513413e-08,0.0
1814,8.181360300341112e-08,0.0
1815,7.282503844407984e-08,0.0
1816,1.622322720606917e-08,0.0
1817,1.370048607896024e-07,0.0
1818,1.2159600260019943e-07,0.0
1819,1.428444846851562e-07,0.0
1820,6.40789963313182e-08,0.0
1821,1.6271455649530253e-07,0.0
1822,5.864985155312752e-07,0.0
1823,8.597937295462543e-08,0.0
1824,1.2463246434890607e-07,8.421112696055388e-10
1825,6.956300069305144e-08,0.0
1826,8.455664612938563e-08,0.0
1827,5.069500019772022e-08,0.0
1828,5.044765671868845e-08,0.0
1829,4.6295149047637096e-08,0.0
1830,7.410153557430021e-08,0.0
1831,1.0134284167406804e-07,0.0
1832,8.117981309396782e-08,0.0
1833,1.853380560135065e-08,0.0
1834,1.7735608537350345e-08,0.0
1835,5.067268915581735e-08,0.0
1836,5.712637474175608e-08,1.3441500135158435e-09
1837,2.3726407505364477e-07,0.0
1838,1.495982360211201e-07,0.0
1839,1.7478688718597368e-08,0.0
1840,2.8026629905752998e-08,0.0
1841,7.0626033910059505e-09,0.0
1842,1.7441490030023488e-08,0.0
1843,5.493427224223524e-08,0.0
1844,1.920996517412732e-08,0.0
1845,2.7343116215661212e-08,0.0
1846,2.3418005312692003e-08,1.7563503984519002e-09
1847,1.4561703842730367e-08,2.1572894581822766e-09
1848,1.045878850192139e-08,0.0
1849,4.1897072478036534e-09,8.379414939696517e-10
1850,4.820187271548093e-08,1.3577992064028876e-09
1851,4.321124080775007e-08,1.2898877521649865e-09
1852,2.7344290387532055e-08,0.0
1853,5.01642283268211e-08,0.0
1854,6.442623856628416e-08,2.0782657816909023e-09
1855,4.139410947345823e-08,5.306937111981824e-10
1856,7.248064815001953e-09,0.0
1857,4.1004675210842834e-08,4.881509085841174e-10
1858,3.0830157982109085e-08,0.0
1859,3.0043821652725455e-08,3.5645213447565993e-09
1860,1.830873586072812e-08,1.373155145145688e-09
1861,2.5937801240161207e-08,0.0
1862,5.511943257374696e-08,0.0
1863,2.5472566278494924e-08,0.0
1864,3.452204211384924e-08,0.0
1865,1.694463946932956e-08,0.0
1866,3.503241430280468e-08,9.731225825149181e-10
1867,3.154327288257264e-08,0.0
1868,3.013323279787983e-08,0.0
1869,4.199826619810665e-08,1.4650557433881772e-09
1870,2.2936195165357276e-08,0.0
1871,3.823623728749226e-08,1.0621177271019633e-09
1872,1.9351485747165498e-08,0.0
1873,4.070482972906575e-08,2.3944017879529156e-09
1874,1.6131444624534197e-08,2.9873046258899194e-09
1875,3.4901315615343265e-08,5.721527140956084e-10
1876,1.6324239737741664e-08,2.418405919968336e-09
1877,2.5976227391311113e-08,6.184815992682502e-10
1878,3.5026715750063886e-08,0.0
1879,5.1929266220440695e-08,3.665595160740054e-09
1880,4.043243251317108e-08,1.2835692508872398e-09
1881,3.2770785196589713e-08,6.972507571312292e-10
1882,3.4608003574021495e-08,0.0
1883,3.6020232130340446e-08,0.0
1884,3.4328824227713994e-08,6.601696966868076e-10
1885,3.4161868001092444e-08,0.0
1886,2.710454793941608e-08,6.453463874400711e-10
1887,2.6768590899450828e-08,0.0
1888,2.4728397107764977e-08,6.974675947901687e-09
1889,3.3205225236088154e-08,0.0
1890,1.4419650362640368e-08,0.0
1891,1.466070642663908e-08,0.0
1892,2.2566645441202127e-08,0.0
1893,9.853466487186324e-09,0.0
1894,2.457600345451283e-08,0.0
1895,3.250051960890232e-08,0.0
1896,1.6511680911435178e-08,1.179405795248556e-09
1897,3.903898004864459e-08,5.2440420894583895e-09
1898,3.1120951149432585e-08,3.3950129374460403e-09
1899,1.8241008703512307e-08,0.0
1900,1.9206897405865675e-08,0.0
1901,1.5089595351014395e-08,5.588738916095792e-10
1902,1.4239823542538943e-08,0.0
1903,1.9440793863623185e-08,1.0800440541913758e-09
1904,2.2573425795258117e-08,3.2247751136083025e-09
1905,2.7352022868853965e-08,1.0321518084666081e-09
1906,2.0576738535282857e-08,2.0576738091193647e-09
1907,2.3142794347563722e-08,1.5428529565042481e-09
1908,1.964555629285769e-08,1.4734167219643268e-09
1909,1.6502950117569526e-08,0.0
1910,1.2825961626106164e-08,3.740905363258662e-09
1911,1.4897047151407605e-08,1.0640748282497725e-09
1912,2.2921453179947093e-08,5.209421227725386e-10
1913,2.333315407554437e-08,1.060597942803554e-09
1914,1.6072185360371805e-08,2.0090231700464756e-09
1915,3.2986132936230206e-08,7.068456930880984e-09
