year,pouvez_VERB appliquer_VERB
1800,1.2576657937302116e-08
1801,9.524730337773235e-09
1802,8.951360541686881e-09
1803,0.0
1804,7.4155526164076946e-09
1805,2.842877755426798e-08
1806,2.881669125542885e-09
1807,8.540865792383556e-09
1808,9.064295980465431e-09
1809,4.518061036407062e-09
1810,1.4040760554223652e-08
1811,0.0
1812,2.6672082320544632e-09
1813,1.1502966579257645e-08
1814,2.5173417128598885e-08
1815,0.0
1816,4.6352077731626196e-09
1817,1.556873407970727e-09
1818,1.1921177378582115e-09
1819,0.0
1820,1.1866481131050932e-09
1821,3.94459531705138e-09
1822,1.303330066093622e-08
1823,3.9530747564242574e-09
1824,2.5263338088166165e-09
1825,1.0566531649658373e-08
1826,1.4092774947016551e-08
1827,9.217273055917019e-10
1828,5.503380862137419e-09
1829,1.5431716349212365e-08
1830,4.174734336004349e-09
1831,0.0
1832,4.058990921151917e-09
1833,3.4750886612755494e-09
1834,2.333632664885954e-08
1835,5.294161553592858e-09
1836,5.376600054063374e-09
1837,1.2524203896191466e-08
1838,3.787297142565649e-09
1839,6.9914749545318955e-09
1840,1.9109066329292546e-08
1841,7.704658244733764e-09
1842,1.2745703159566801e-08
1843,4.134837805480629e-09
1844,1.6465683927435748e-08
1845,4.464182357111213e-09
1846,1.0538101946622191e-08
1847,3.775256551818984e-09
1848,1.206783295515379e-08
1849,7.54147322368226e-09
1850,7.467895635215882e-09
1851,1.870337307252612e-08
1852,4.557382027314816e-09
1853,1.1943863675867306e-09
1854,8.832629738719788e-09
1855,1.5920811335945473e-09
1856,1.0354378465748937e-09
1857,0.0
1858,9.297984604472731e-09
1859,6.110608019582742e-09
1860,4.57718396518203e-09
1861,7.545541969022906e-09
1862,6.776979422085105e-09
1863,4.495158911765884e-09
1864,1.1507347075223606e-08
1865,2.3534221238463715e-09
1866,6.811858188626729e-09
1867,1.4073153309368536e-08
1868,9.87974857480367e-09
1869,5.371870948067681e-09
1870,5.734048791339319e-09
1871,6.37270636261178e-09
1872,4.8378714367913744e-09
1873,1.5563610844537834e-08
1874,4.779687312606029e-09
1875,6.293679799540541e-09
1876,5.441413541973361e-09
1877,6.80329748092845e-09
1878,1.5701630218245555e-08
1879,1.0996785704264767e-08
1880,7.059631101924424e-09
1881,1.1156012114099667e-08
1882,5.989846840748214e-09
1883,1.7694148368718743e-08
1884,7.922036360241691e-09
1885,2.4493415295978593e-08
1886,1.0325542199041138e-08
1887,2.0239665943222462e-08
1888,4.4384300679212174e-09
1889,9.397704836544563e-09
1890,3.9326319978272295e-09
1891,5.736798147637501e-09
1892,9.402768341715273e-09
1893,3.079208221734575e-09
1894,8.822155450616265e-09
1895,9.027921521465032e-09
1896,1.47425724961181e-08
1897,6.409385022720926e-09
1898,9.05336783318944e-09
1899,1.0502398950507086e-08
1900,5.19105292084987e-09
1901,1.0059729937950124e-08
1902,3.928227076954727e-09
1903,1.2420506401156217e-08
1904,6.449550227216605e-09
1905,2.580379465655369e-09
1906,1.594697174311932e-08
1907,4.114274698707732e-09
1908,2.9468334439286537e-09
1909,7.151278680339601e-09
1910,4.809735720812114e-09
1911,1.2236860413850081e-08
1912,6.772247651554153e-09
1913,5.302989602995467e-09
1914,2.678697486047099e-09
1915,5.890381071793627e-09
1916,7.69122365795738e-09
1917,1.2063066989753679e-08
1918,2.2972752589112133e-09
1919,1.749491218561161e-08
1920,2.0445025228355007e-08
1921,7.572747762196741e-09
1922,3.6889677978990676e-09
1923,9.554353752605493e-09
1924,5.156649773851996e-09
1925,4.399271169575059e-09
1926,6.687683296036084e-09
1927,4.4596899506643695e-09
1928,7.998228745975666e-09
1929,2.2280812750352652e-09
1930,1.0503603542488804e-09
1931,7.983749661377715e-09
1932,5.4797681947604815e-09
1933,2.2941324395731044e-09
1934,9.585264137967897e-09
1935,0.0
1936,1.2124714565686645e-09
1937,3.777335333410292e-09
1938,2.5930428915188486e-09
1939,4.588215141154706e-09
1940,2.5357829169792012e-09
1941,0.0
1942,0.0
1943,0.0
1944,0.0
1945,8.714016175304096e-09
1946,0.0
1947,2.3841741914054637e-09
1948,2.174377566888097e-09
1949,4.908504269707237e-09
1950,5.317680518146517e-09
1951,3.1984206394497505e-09
1952,6.326882129314981e-09
1953,2.1547654771580937e-09
1954,6.840775057526116e-09
1955,1.0324168187025862e-08
1956,1.744228317335228e-09
1957,8.835037701437898e-10
1958,3.3088973783179654e-09
1959,8.525822714489095e-09
1960,5.536666680683311e-09
1961,4.16889545107324e-09
1962,5.7077609305622445e-09
1963,4.526237162849611e-09
1964,5.475571551727398e-09
1965,5.47204326295514e-09
1966,5.539074976468328e-09
1967,8.381570104631919e-09
1968,3.1439910674890825e-09
1969,6.8126366770115965e-09
1970,6.898087434592526e-09
