year,pouvons_VERB envoyer_VERB,pouvons_VERB renvoyer_VERB
1800,6.288328968651058e-09,6.288328968651058e-09
1801,2.3811825400343878e-08,9.524730337773235e-09
1802,8.951360541686881e-09,0.0
1803,1.950339223455444e-09,0.0
1804,7.4155526164076946e-09,0.0
1805,1.421438877713399e-08,3.980028751016107e-08
1806,0.0,0.0
1807,0.0,2.8469551160981155e-09
1808,0.0,2.2660739951163578e-09
1809,2.25903047379461e-08,1.8072244145628247e-08
1810,2.3401267590372754e-09,1.6380887757350138e-08
1811,0.0,5.0141535368197765e-09
1812,2.6672082320544632e-09,1.0668832928217853e-08
1813,0.0,2.0130190847567064e-08
1814,0.0,6.293354282149721e-09
1815,0.0,2.697223555614414e-09
1816,4.6352077731626196e-09,6.952811659743929e-09
1817,0.0,1.0898113522728181e-08
1818,4.768470951432846e-09,1.0729059418679299e-08
1819,0.0,2.6912729822470283e-08
1820,0.0,2.7292905713238724e-08
1821,9.86148829262845e-10,3.550135829755163e-08
1822,1.2030739071633434e-08,5.012807946513931e-09
1823,9.882686891060644e-10,2.2730180404550993e-08
1824,7.57900142644985e-09,7.57900142644985e-09
1825,7.924898959288385e-09,7.044354433105582e-09
1826,8.807984341885344e-10,7.0463874735082754e-09
1827,9.217273055917019e-10,1.013900075008678e-08
1828,2.109629271274116e-08,4.861319524707142e-08
1829,0.0,1.3717081692732336e-08
1830,2.0873671680021744e-09,1.3567886369969528e-08
1831,2.3386808933878456e-08,1.091384405071949e-08
1832,1.3529969367098715e-09,8.117981842303834e-09
1833,1.1583628500844156e-09,2.0850531967653296e-08
1834,9.334531370086552e-09,5.600718555598405e-09
1835,1.739510224751939e-08,3.403389570166837e-08
1836,0.0,2.688300027031687e-09
1837,0.0,1.461157062010443e-08
1838,1.2624323808552163e-09,1.5780404538645598e-08
1839,4.894032734625853e-09,1.1885507689157748e-08
1840,8.917564464638872e-09,1.1465439264668476e-08
1841,3.852329122366882e-09,2.3113974734201292e-08
1842,1.1404051036834062e-08,1.8112315203211438e-08
1843,1.7720733769266417e-09,2.7762482091020502e-08
1844,1.5916826967554698e-08,3.896878553177885e-08
1845,8.37034175305007e-09,1.9530798311961917e-08
1846,5.269050973311096e-09,2.6345256642912318e-08
1847,4.853901280910122e-09,5.3932236454556914e-09
1848,5.63165514222419e-09,2.011305433313737e-08
1849,8.379414939696517e-10,1.8434713311421547e-08
1850,2.7155984128057753e-09,9.504594444820214e-09
1851,1.2898877521649865e-09,1.7413483988093503e-08
1852,3.2552727180501506e-09,1.7578472011337e-08
1853,4.777545470346922e-09,8.360704129017904e-09
1854,2.5978321716024766e-09,1.7665259477439577e-08
1855,9.021793090369101e-09,2.388121700391821e-08
1856,2.0708756931497874e-09,2.329735160344626e-08
1857,6.8341128311999455e-09,1.513267733344037e-08
1858,9.787352039936081e-10,2.495774786837046e-08
1859,1.018434669930457e-09,2.6988518087023294e-08
1860,1.6935580049448618e-08,1.9681891672007623e-08
1861,8.017138064531082e-09,1.5562680033553988e-08
1862,1.536115412648087e-08,1.536115412648087e-08
1863,8.990317823531768e-09,2.1476870060155306e-08
1864,0.0,2.1576274988888144e-08
1865,3.765475486972036e-09,4.424433797112215e-08
1866,6.811858188626729e-09,4.4277076227672296e-08
1867,8.73506067478047e-09,3.785192959071537e-08
1868,2.222943251695142e-08,2.1735445443482604e-08
1869,1.953407657850903e-09,8.204312251791634e-08
1870,2.8670243956696595e-09,4.6445794765759274e-08
1871,1.0621176826930423e-08,2.973929724703339e-08
1872,5.442605477412599e-09,2.6003558417642125e-08
1873,8.979006871356887e-09,2.993002112816612e-08
1874,1.5533982988813477e-08,4.480956761199195e-08
1875,9.7265964171811e-09,2.574687130163511e-08
1876,7.255217759905008e-09,2.418405919968336e-08
1877,6.80329748092845e-09,4.329371350308975e-08
1878,5.435179861734696e-09,3.38188961279684e-08
1879,1.0385853066452455e-08,2.3826368433788048e-08
1880,3.2089231272180996e-09,2.759673911612026e-08
1881,6.2752567586699115e-09,2.4403776777148778e-08
1882,6.655385131892899e-09,5.989846840748214e-09
1883,8.847074184359371e-09,2.5909288936531993e-08
1884,1.8484751507230612e-08,2.3105940272216685e-08
1885,5.156508553483263e-09,3.7384687345820566e-08
1886,9.034849313138693e-09,2.3877817056927597e-08
1887,1.4363633837888301e-08,2.0239665943222462e-08
1888,1.2047167707862627e-08,8.876860135842435e-09
1889,1.3156786771162388e-08,3.132568338060082e-08
1890,5.243509182406569e-09,1.1797895993481688e-08
1891,8.92390783491237e-09,2.8683990294098294e-08
1892,8.775916882086676e-09,3.0715710863660206e-08
1893,1.7243566574620672e-08,2.0322774574310642e-08
1894,8.822155450616265e-09,1.9534772022211655e-08
1895,1.8055843042930064e-08,2.166701307260155e-08
1896,3.5382172747233653e-09,3.4792471126365854e-08
1897,6.409385022720926e-09,2.3889525024856084e-08
1898,9.619203211741478e-09,2.4330926606808134e-08
1899,1.9899282222013426e-08,2.5426860617017155e-08
1900,7.26747462209687e-09,2.699347589896206e-08
1901,2.0678333711998675e-08,3.1855812210324075e-08
1902,9.820567470342212e-09,2.553347577816112e-08
1903,1.0260418292773466e-08,1.7820726228023887e-08
1904,1.0211787859759625e-08,3.171028950532673e-08
1905,1.2385822145688508e-08,3.4577084306874895e-08
1906,6.173021205313489e-09,4.218231453023691e-08
1907,6.685696440911215e-09,4.988558188756542e-08
1908,1.5225305460830896e-08,3.437972395659017e-08
1909,7.151278680339601e-09,3.4656196135074424e-08
1910,1.4429207162436342e-08,3.847788576649691e-08
1911,4.788336838146279e-09,2.2345570727111408e-08
1912,1.0418842677495377e-08,3.1777467768279166e-08
1913,3.181793939432964e-09,2.8105844762649212e-08
1914,6.027069510139427e-09,1.4732836284281348e-08
1915,2.0027295377644805e-08,1.295883844676382e-08
1916,2.966614687238689e-08,2.6369908923129515e-08
1917,2.52227767560953e-08,2.9609346086090227e-08
1918,1.8378202071289707e-08,1.9526840588923733e-08
1919,6.4454939163738345e-09,1.749491218561161e-08
1920,1.8930579770426448e-08,2.4988365154854364e-08
1921,2.2718241510233383e-08,3.937828552125211e-08
1922,3.6889677978990676e-09,1.9182632371439468e-08
1923,1.2739137744688378e-08,1.4862327368803108e-08
1924,6.445812328337297e-09,3.2229060309418855e-08
1925,4.399271169575059e-09,3.959344141435395e-08
1926,6.687683296036084e-09,2.452150482668003e-08
1927,4.4596899506643695e-09,2.5643217327342427e-08
1928,4.570416489713125e-09,2.5137291359556002e-08
1929,1.7824650200282122e-08,3.0079096546842266e-08
1930,5.2518016602221e-09,1.6805765667982087e-08
1931,1.4826963656844327e-08,2.8513390759599133e-08
1932,1.3151444377967891e-08,2.6302888755935783e-08
1933,8.02946331646126e-09,2.523545639121494e-08
1934,1.4377896206951846e-08,2.156684431042777e-08
1935,1.6755597798123745e-08,3.590485420090772e-08
1936,7.274828739411987e-09,2.7886843056990074e-08
1937,1.0072894518486919e-08,8.813782592653752e-09
1938,1.0372171566075394e-08,1.5558256905023882e-08
1939,9.176430282309411e-09,9.176430282309411e-09
1940,3.0429394115571995e-08,2.2822046474857416e-08
1941,5.9030051957620344e-09,3.5418032950929046e-08
1942,6.068423541449874e-09,1.2136847082899749e-08
1943,1.4516175816936538e-08,2.0322646676618206e-08
1944,1.6065930807940276e-08,1.927911696952833e-08
1945,2.178504132643866e-08,8.714016175304096e-09
1946,1.2528993842408909e-08,2.5057987684817817e-08
1947,7.152522574216391e-09,1.1920871401116528e-08
1948,9.784699273041042e-09,1.9569398546082084e-08
1949,9.817008539414473e-09,1.8652315247891238e-08
1950,1.2762433776458693e-08,2.8715476219076663e-08
1951,1.1727541604500402e-08,2.0256663901818683e-08
1952,6.326882129314981e-09,3.057992969957013e-08
1953,1.0773827163745864e-08,3.124409886368085e-08
1954,4.886268278880834e-09,2.34540866728139e-08
1955,1.6894095011821264e-08,1.407841132561316e-08
1956,1.1337483840634377e-08,2.8779767902165077e-08
1957,2.6505113659425206e-09,2.738861759610245e-08
1958,2.2335056470978998e-08,1.9853384713997002e-08
1959,8.525822714489095e-09,1.3176271629333769e-08
1960,2.7683333403416555e-09,1.2457499920515147e-08
1961,6.94815938118154e-09,1.945484662257968e-08
1962,5.0735651235811474e-09,2.2831043722248978e-08
1963,7.759263453976928e-09,2.909724017285953e-08
1964,6.6923653285755336e-09,1.2776333768727e-08
1965,1.2038495533772675e-08,1.91521518644322e-08
1966,8.862519607077957e-09,2.76953731059848e-08
1967,7.395503320850594e-09,2.9582013283402375e-08
1968,9.431973424511852e-09,7.635406973349745e-09
1969,7.2668124850849836e-09,1.6350327314285096e-08
1970,6.438214850135182e-09,2.6212733317265702e-08
1971,4.1107179882260425e-09,2.1581270104320538e-08
1972,5.130146973897354e-09,2.5137719461554298e-08
1973,1.102640756478479e-09,3.583582497412863e-08
1974,1.1251143128276908e-08,1.5751600912494723e-08
1975,7.4249242310031605e-09,1.4278700888326057e-08
1976,8.570290255249802e-09,1.3712464053128315e-08
1977,4.7014254711541525e-09,1.1165885105413054e-08
1978,1.0099005187669263e-08,1.2475242172627077e-08
1979,8.192762912528906e-09,2.0481905949054635e-08
1980,1.193881615790815e-08,1.9329512213062117e-08
1981,6.325549417596221e-09,1.138598904049104e-08
1982,3.7245013739806154e-09,1.0552754226011984e-08
1983,1.2630632539867293e-08,1.6419821946556112e-08
1984,5.799008384599347e-09,2.0876431250371752e-08
1985,5.414002135495366e-09,1.4437339324047116e-08
1986,2.997242676272549e-09,1.7384007122700496e-08
1987,3.6664902225425067e-09,6.721898593298192e-09
1988,5.99655392008458e-09,1.3192418713003917e-08
1989,1.1525056464734007e-08,8.232182935330457e-09
1990,7.628111475810329e-09,3.105731138930423e-08
1991,6.4476117778156095e-09,1.1722930182145319e-08
1992,7.162927584403178e-09,8.815910668147353e-09
1993,9.970573700002205e-09,1.717154241021035e-08
1994,8.967375286772494e-09,1.0549853435293244e-08
1995,5.964695848348356e-09,1.9520822291951845e-08
1996,5.871901187504136e-09,1.3345230698291743e-08
1997,7.671831170341648e-09,2.3974472185273044e-08
