year,mes_DET arts_NOUN,mes_DET rares_ADJ
1800,0.0,1.5720821977538435e-08
1801,2.3811825844433088e-09,0.0
1802,0.0,1.7902721083373763e-08
1803,0.0,1.1702034896643454e-08
1804,0.0,4.943701892301533e-09
1805,0.0,2.842877711017877e-09
1806,2.881669125542885e-09,2.881669125542885e-09
1807,0.0,5.693910232196231e-09
1808,0.0,0.0
1809,0.0,2.259030518203531e-09
1810,0.0,0.0
1811,0.0,0.0
1812,1.3336041604361526e-08,0.0
1813,0.0,1.4378708002027452e-08
1814,0.0,2.8320094713762956e-08
1815,0.0,5.394447111228828e-09
1816,0.0,0.0
1817,0.0,4.670620334934483e-09
1818,0.0,1.1921177378582115e-09
1819,0.0,4.140420006848444e-09
1820,4.746592452420373e-09,0.0
1821,9.86148829262845e-10,7.88919063410276e-09
1822,0.0,4.010246357211145e-09
1823,9.882686891060644e-10,4.941343334508019e-09
1824,0.0,9.263223965660927e-09
1825,0.0,2.641632912414593e-09
1826,2.642395191543301e-09,8.807984341885344e-10
1827,0.0,9.217273055917019e-10
1828,0.0,6.420610709767516e-09
1829,1.714635211591542e-09,1.714635211591542e-09
1830,1.0436835840010872e-09,2.0873671680021744e-09
1831,0.0,9.354723218280014e-09
1832,1.3529969367098715e-09,1.3529969367098715e-09
1833,3.4750886612755494e-09,4.6334514003376626e-09
1834,0.0,9.334531370086552e-09
1835,6.050470346963266e-09,5.294161553592858e-09
1836,0.0,1.008112526790228e-08
1837,0.0,8.349468672008697e-09
1838,1.2624323808552163e-09,7.574594285131298e-09
1839,0.0,1.0487213097931658e-08
1840,0.0,9.554533164646273e-09
1841,0.0,1.3483152372373297e-08
1842,0.0,1.8112315203211438e-08
1843,0.0,1.3585895075607368e-08
1844,0.0,1.2074834465636286e-08
1845,5.580227946389016e-10,1.5066614622583074e-08
1846,0.0,1.4636253098387897e-08
1847,5.393223645455691e-10,8.089835468183537e-09
1848,0.0,1.126331028444838e-08
1849,0.0,1.256912263158938e-08
1850,1.3577992064028876e-09,1.4935791270431764e-08
1851,0.0,1.805842941848823e-08
1852,6.510545436100301e-10,7.812654745364966e-09
1853,5.971931837933653e-10,8.360704129017904e-09
1854,0.0,6.234797400583858e-09
1855,0.0,2.388121700391821e-08
1856,5.177189232874468e-10,2.174419533318428e-08
1857,1.4644527812635033e-09,1.7573432598005923e-08
1858,0.0,1.6149130477316476e-08
1859,5.092173349652285e-10,4.0228167907940815e-08
1860,4.577183909670879e-10,2.334363813361051e-08
1861,0.0,2.8767378090766016e-08
1862,5.421583626485926e-09,4.0661877531711355e-08
1863,4.994620828036034e-10,1.897955925755923e-08
1864,0.0,2.1096802860220976e-08
1865,0.0,1.4591217789572397e-08
1866,0.0,1.9462451206209153e-08
1867,0.0,1.747012134956094e-08
1868,4.939874287401835e-09,1.778354707937524e-08
1869,0.0,2.490594752657671e-08
1870,5.734048791339319e-10,8.601073631098188e-09
1871,0.0,1.1683295220166201e-08
1872,6.047339295989218e-10,1.7537283625301825e-08
1873,5.986004469882289e-10,2.2746817762708815e-08
1874,0.0,1.0754296120296658e-08
1875,0.0,3.3757011408397375e-08
1876,0.0,2.5997863417615008e-08
1877,0.0,3.587193120324628e-08
1878,2.4156354694326865e-09,1.69094480639842e-08
1879,0.0,3.6655952717623563e-08
1880,6.417846254436199e-10,1.5402831010646878e-08
1881,0.0,6.9725074602899895e-09
1882,3.9932310791357395e-09,3.660461800336634e-08
1883,1.2638677882037541e-09,2.0221884611260066e-08
1884,9.242375753615306e-09,1.5183903911974994e-08
1885,5.1565086089944145e-09,1.2891271161663553e-08
1886,0.0,3.226731948302586e-08
1887,1.3057849246322917e-09,1.1099172247952538e-08
1888,5.706553229956057e-09,3.4239320712003973e-08
1889,0.0,1.3783300722991498e-08
1890,0.0,1.5075089621063853e-08
1891,4.461953917456185e-09,2.2947192590550003e-08
1892,0.0,1.8805536239341336e-08
1893,6.158416554491453e-10,2.0938616174248637e-08
1894,1.8904617871129403e-09,1.5123694518948128e-08
1895,3.0093072478365457e-09,2.7083765452573516e-08
1896,4.1279202278587945e-09,2.181900704556483e-08
1897,4.07869948926276e-09,1.1653427223201618e-08
1898,6.790025763869778e-09,1.1882545170038838e-08
1899,5.527578395003729e-10,7.738609753005221e-09
1900,5.19105292084987e-09,1.0901211933145305e-08
1901,0.0,1.3412973842719111e-08
1902,3.437198747846537e-09,1.5712908307818907e-08
1903,1.0800440541913758e-09,1.2420507067290032e-08
1904,0.0,2.203596238814498e-08
1905,0.0,1.7546581076999246e-08
1906,0.0,1.4403716441790948e-08
