year,les_DET ondes_NOUN,les_DET rondes_ADJ
1800,2.6002241213518573e-06,3.144164484325529e-09
1801,2.1644949868004915e-06,0.0
1802,2.9360463429384254e-06,0.0
1803,2.900154427720736e-06,9.751696339321825e-09
1804,4.103272665645363e-06,4.943701892301533e-09
1805,3.087365277210097e-06,2.842877711017877e-09
1806,2.5848572917652746e-06,0.0
1807,1.7252547976909227e-06,0.0
1808,2.259275824201268e-06,0.0
1809,2.1777053405003244e-06,2.259030518203531e-09
1810,3.2878781865974815e-06,0.0
1811,1.980590695893625e-06,2.5070768572277302e-08
1812,1.7176820641395807e-06,1.3336041604361526e-08
1813,2.3811139868712417e-06,5.751483289628823e-09
1814,2.1869406410246484e-06,0.0
1815,1.5940591495677836e-06,2.697223555614414e-09
1816,2.3593206535110767e-06,0.0
1817,2.1344735472439424e-06,0.0
1818,1.697575704895371e-06,1.1921177378582115e-09
1819,1.993612137596301e-06,0.0
1820,2.03747480753691e-06,1.1866481131050932e-09
1821,1.922990165326155e-06,3.94459531705138e-09
1822,2.349001761103864e-06,1.303330066093622e-08
1823,2.311560358236875e-06,0.0
1824,2.437912172581491e-06,9.263223965660927e-09
1825,2.6847796021911563e-06,1.7610886082763955e-09
1826,1.8047560104150762e-06,1.9377566218281572e-08
1827,1.8794020135715073e-06,1.8434546111834038e-09
1828,1.8528048713051248e-06,1.8344602503717056e-09
1829,1.7009180908189592e-06,8.57317605795771e-10
1830,2.1959103122526358e-06,6.262101504006523e-09
1831,3.833877499914706e-06,4.677361609140007e-09
1832,2.1675009946875434e-06,6.764984683549358e-09
1833,2.6885602366633066e-06,0.0
1834,2.0022567781552425e-06,3.733812370398937e-09
1835,2.0261512574393237e-06,2.2689263801112247e-09
1836,2.325379583112408e-06,3.36037508930076e-09
1837,2.195910340674345e-06,2.087367279024477e-09
1838,2.1619153400820323e-06,9.468243078458727e-09
1839,2.1016375200133552e-06,2.0974426639952526e-09
1840,2.49054815526506e-06,6.369688665408546e-10
