year,devons_VERB envoyer_VERB,devons_VERB renvoyer_VERB
1800,6.288328968651058e-09,2.5153315874604232e-08
1801,4.7623651688866175e-09,1.4287095950749062e-08
1802,2.2378401354217203e-09,3.1329761895904085e-08
1803,5.851017448321727e-09,5.265916058760922e-08
1804,0.0,2.2246657849223084e-08
1805,2.842877711017877e-09,1.421438877713399e-08
1806,5.76333825108577e-09,2.881669125542885e-09
1807,0.0,2.8469551160981155e-09
1808,1.1330369531492579e-08,9.064295980465431e-09
1809,0.0,2.25903047379461e-08
1810,7.020380277111826e-09,2.3401267590372754e-09
1811,2.0056614147279106e-08,5.0141535368197765e-09
1812,1.8670457180292033e-08,3.200649700829672e-08
1813,2.8757416448144113e-09,4.888760685162197e-08
1814,0.0,0.0
1815,1.0788894222457657e-08,1.1328339155625144e-07
1816,4.6352077731626196e-09,4.4034472068688046e-08
1817,4.670620334934483e-09,1.2766362544880394e-07
1818,4.768470951432846e-09,9.417730240102173e-08
1819,4.140420006848444e-09,4.7614829412623294e-08
1820,3.5599443393152796e-09,1.542642635854463e-08
1821,2.9584464655840748e-08,3.35290586406245e-08
1822,2.3058916553964082e-08,5.012807946513931e-09
1823,1.9765373782121287e-09,1.9765373338032077e-08
1824,6.736890156844311e-09,4.21055617039201e-08
1825,7.044354433105582e-09,3.874394849390228e-08
1826,9.688783109140786e-09,6.694067877788257e-08
1827,0.0,2.3043183361437514e-08
1828,9.172301251858528e-10,4.586150481600271e-08
1829,2.571952872898464e-09,5.3153691226270894e-08
1830,9.39315203396518e-09,6.992679857376061e-08
1831,1.5591206103948707e-09,4.989185953263586e-08
1832,8.117981842303834e-09,1.6235963684607668e-08
1833,2.3167257001688313e-09,4.2859426230279496e-08
1834,5.600718555598405e-09,8.214387037241977e-08
1835,7.563087933704082e-10,1.0890846624533879e-07
1836,1.1425274948351216e-08,9.274634749090183e-08
1837,6.262101948095733e-09,7.027470161347082e-08
1838,1.1361890983607736e-08,8.710783561127755e-08
1839,1.3982949909063791e-08,7.550793412747225e-08
1840,5.732719632334238e-09,6.942960339983983e-08
1841,7.704658244733764e-09,6.035315891494974e-08
1842,3.3541325272778977e-09,7.781587640920407e-08
1843,4.7255288571079745e-09,7.088293330070883e-08
1844,3.841992946007622e-09,1.3282318889196176e-07
1845,1.2276501593078137e-08,1.1048851433770324e-07
1846,4.0981511517657054e-09,1.33482629394166e-07
1847,1.6179670936367074e-09,9.222412700182758e-08
1848,1.6090443422100975e-09,1.0297883790144624e-07
1849,5.02764896381791e-09,1.458018203948086e-07
1850,1.3577992064028876e-09,9.097254860535031e-08
1851,3.8696632564949596e-09,5.4175284702751014e-08
1852,3.906327261660181e-09,8.789236005668499e-08
1853,0.0,8.957897534855874e-08
1854,8.313063126763609e-09,5.871100938747986e-08
1855,1.5920811335945473e-09,7.323573214534917e-08
1856,1.5531567143511893e-09,5.487820686767009e-08
1857,1.4644527812635033e-09,3.856392183365642e-08
1858,3.9149408159744326e-09,4.7468656561022726e-08
1859,3.5645213447565993e-09,3.258990943777462e-08
1860,3.204028820036342e-09,5.6299363393463864e-08
1861,6.13075279431996e-09,9.6677254646238e-08
1862,3.6143890103090826e-09,7.861296325017975e-08
1863,1.2986014041871385e-08,6.193329937786984e-08
1864,8.151037178549814e-09,8.246932026167997e-08
1865,0.0,7.060266682401561e-08
1866,2.432806400776144e-09,9.050040006286508e-08
1867,2.426405742994575e-09,7.036576477048584e-08
1868,8.397785578040384e-09,8.595380762699278e-08
1869,1.660396442559886e-08,8.057806866190731e-08
1870,1.3761717099214366e-08,8.142349372519675e-08
1871,2.0180236148803488e-08,1.1683295042530517e-07
1872,3.628403577593531e-09,7.801067880564005e-08
1873,2.9930022904522957e-09,9.637467002221456e-08
1874,1.4936523129449597e-08,1.009708938681797e-07
1875,8.58229043387837e-09,9.040012827199462e-08
1876,4.836811839936672e-09,7.073837338111844e-08
1877,9.27722432209066e-09,1.0637883463004982e-07
1878,4.22736201599605e-09,7.18651520514868e-08
1879,8.55305515301552e-09,1.276848990983126e-07
1880,7.059631101924424e-09,5.0700986520269e-08
1881,9.064259565150223e-09,5.438555916725818e-08
1882,5.989846840748214e-09,7.52058539887912e-08
1883,6.319338829996468e-09,1.0616489731773981e-07
1884,5.941527270181268e-09,6.997798607244476e-08
1885,2.5782542767416317e-09,7.8636752220973e-08
1886,3.872078213618124e-09,6.517998230037847e-08
1887,8.48760173255414e-09,4.700825684267329e-08
1888,5.07249175996094e-09,4.6920547447371064e-08
1889,2.5060546970934183e-09,8.08202642588185e-08
1890,1.3764211992395303e-08,7.013193226157455e-08
1891,7.0116419337296065e-09,7.712806393556093e-08
1892,1.8805537127519756e-09,5.7043461509920235e-08
1893,1.0469308087124318e-08,4.741980674793922e-08
1894,1.3233232287745977e-08,5.671385494565584e-08
1895,6.6204757231957956e-09,3.5509824414248214e-08
1896,9.435246361988447e-09,2.7126333179694484e-08
1897,5.2440420894583895e-09,4.078699333831537e-08
1898,6.7900258748920805e-09,6.167606869666997e-08
1899,1.1055156790007459e-08,2.984892333302014e-08
1900,1.4015843596837385e-08,4.879590065343109e-08
1901,1.4530721514915967e-08,3.1855812210324075e-08
1902,1.276673788908056e-08,2.2096276808269977e-08
1903,1.0800440541913758e-08,4.212171944573129e-08
1904,5.374625189347171e-09,2.2573425795258117e-08
1905,2.580379465655369e-09,2.838417501038748e-08
1906,4.115347618238729e-09,3.343719967574543e-08
1907,3.0857059130084963e-09,1.7999951751335175e-08
1908,7.367083831866239e-09,2.4065807124884486e-08
1909,8.251475058784763e-09,2.2554033307642385e-08
1910,4.275320542035388e-09,2.404867771588215e-08
1911,5.852411444351446e-09,2.074945903984826e-08
1912,3.646594803896619e-09,2.6047105805560022e-08
1913,2.6514948014977335e-09,2.8105844762649212e-08
1914,3.3483718020477227e-09,1.6741859454327823e-08
1915,4.712304768617059e-09,3.180805663305364e-08
1916,4.394984820521586e-09,3.5159878564172686e-08
1917,1.864292187292449e-08,3.3995917192441993e-08
1918,1.9526840588923733e-08,1.6080926812378493e-08
1919,7.366278698128781e-09,2.4861190439651182e-08
1920,1.2115570768855832e-08,2.5745588771997063e-08
1921,9.844571380313027e-09,1.6660044011018726e-08
1922,1.8444838545406128e-08,3.6151885041135756e-08
1923,6.369568872344189e-09,3.715581797791856e-08
1924,1.5469948877466777e-08,5.285566118118368e-08
1925,5.499089184013428e-09,3.739380360912037e-08
1926,1.114613823460786e-08,1.7833821530643945e-08
1927,1.0034302277972529e-08,1.6723836537835268e-08
1928,6.8556245125250825e-09,2.8565102283550914e-08
1929,7.798284684668033e-09,1.7824650200282122e-08
1930,9.453243521306831e-09,1.6805765667982087e-08
1931,5.7026783295555106e-09,2.0529641986399838e-08
1932,7.6716757391182e-09,1.0959536389520963e-08
1933,6.882397318719313e-09,2.982372038218273e-08
1934,1.1981580172459871e-09,1.4377896206951846e-08
1935,0.0,3.4708023122220766e-08
1936,3.6374143697059935e-09,2.182448710641438e-08
1937,3.777335333410292e-09,8.813782592653752e-09
1938,0.0,3.1116513810047763e-08
1939,1.070583532936098e-08,2.7529290846928234e-08
1940,5.0715658339584024e-09,2.7893612752905028e-08
1941,0.0,2.9515025090631752e-08
1942,3.034211770724937e-09,1.517105907566929e-08
1943,1.4516175816936538e-08,2.0322646676618206e-08
1944,3.2131861615880553e-09,1.2852744646352221e-08
1945,1.742803235060819e-08,1.742803235060819e-08
1946,1.3921104269343232e-08,2.227376683094917e-08
1947,1.4305045148432782e-08,1.7881307101674793e-08
1948,5.435944139264848e-09,3.152847583010043e-08
1949,1.0798709482173763e-08,1.570721330779179e-08
1950,8.508289184305795e-09,2.1270722072586068e-08
1951,7.462981344019681e-09,2.5587365115598004e-08
1952,6.326882129314981e-09,1.8980646387944944e-08
1953,1.2928593307037772e-08,3.232148326759443e-09
1954,3.9090144454689835e-09,2.443134050622575e-08
1955,1.407841132561316e-08,2.2525458831523792e-08
1956,1.744228317335228e-09,9.593255967388359e-09
1957,7.068030161150318e-09,2.6505112771246786e-08
1958,9.926692356998501e-09,1.7371711180658167e-08
1959,4.650448914844674e-09,1.7826719656000023e-08
1960,9.689166802218097e-09,1.1765417085030094e-08
1961,4.16889545107324e-09,6.25334317660986e-09
1962,5.7077609305622445e-09,2.0928455413127267e-08
1963,5.1728425987107585e-09,1.681173777967615e-08
1964,4.258777774879263e-09,2.3727476872181796e-08
1965,1.6416130677043839e-09,2.4624196015565758e-08
1966,1.6617224263271169e-09,9.416426749453422e-09
