year,avais_VERB appelé_VERB,avais_VERB rappelé_VERB
1800,1.5720821977538435e-08,3.144164484325529e-09
1801,0.0,4.7623651688866175e-09
1802,0.0,0.0
1803,1.5602713787643552e-08,0.0
1804,2.4718509461507665e-09,0.0
1805,0.0,2.842877711017877e-09
1806,0.0,1.152667650217154e-08
1807,0.0,0.0
1808,2.2660739951163578e-09,0.0
1809,4.0662548883574345e-08,0.0
1810,0.0,0.0
1811,2.5070767684098882e-09,0.0
1812,1.600324850414836e-08,2.6672082320544632e-09
1813,0.0,0.0
1814,3.1466771410748606e-09,0.0
1815,2.697223555614414e-09,0.0
1816,6.952811659743929e-09,0.0
1817,0.0,0.0
1818,9.536941902865692e-09,1.1921177378582115e-09
1819,1.035105001712111e-09,0.0
1820,2.3732962262101864e-09,0.0
1821,1.97229765852569e-09,2.9584463767662328e-09
1822,6.015369535816717e-09,1.0025615893027862e-09
1823,0.0,0.0
1824,1.9368560089105813e-08,0.0
1825,7.924898959288385e-09,0.0
1826,3.435113882233054e-08,1.7615968683770689e-09
1827,1.8434546333878643e-08,9.217273055917019e-10
1828,1.9261833017480967e-08,0.0
1829,1.5431716349212365e-08,6.858540846366168e-09
1830,1.0436835395921662e-08,0.0
1831,2.9623292263636358e-08,0.0
1832,4.058990921151917e-09,0.0
1833,1.2741991461950875e-08,1.1583628500844156e-09
1834,8.401078055442213e-09,1.213489042584115e-08
1835,1.285724948729694e-08,8.31939672707449e-09
1836,2.1506400216253496e-08,6.720750067579218e-10
1837,1.1828414692161004e-08,1.3915781860163179e-09
1838,3.1560809521380406e-09,1.8936485712828244e-09
1839,2.7266752411492234e-08,2.0974426639952526e-09
1840,1.0828470564661075e-08,1.2739377330817092e-09
1841,1.1556987367100646e-08,3.2102742686390684e-09
1842,3.085801836277824e-08,1.341653010911159e-09
1843,8.269675610961258e-09,2.3627644285539873e-09
1844,8.232841963717874e-09,0.0
1845,7.254296274794569e-09,0.0
1846,8.781752214304106e-09,2.3418005312692003e-09
1847,1.6179670936367074e-08,1.6179670936367074e-09
1848,1.689496542667257e-08,7.24069959545659e-09
1849,2.513824481908955e-09,2.011059585527164e-08
1850,1.2220192857625989e-08,2.7155984128057753e-09
1851,5.159551008659946e-09,3.8696632564949596e-09
1852,1.2370036550635177e-08,1.9531636308300904e-09
1853,7.166318205520383e-09,2.9859659189668264e-09
1854,9.352196350675968e-09,4.1565315633818045e-09
1855,1.326734277995456e-08,2.1227748447927297e-09
1856,3.1063134287023786e-09,3.6240324075009767e-09
1857,9.763017949637742e-09,9.763018171682347e-10
1858,1.2234189661342043e-08,9.787352039936081e-10
1859,1.8331824946926645e-08,0.0
1860,9.15436793036406e-09,7.323494255473406e-09
1861,2.0278644541349422e-08,7.073945429425521e-09
1862,9.939570055905733e-09,1.0391368654438793e-08
1863,2.2975255475898848e-08,4.994620828036034e-10
1864,1.0068928801842958e-08,4.315255264231155e-09
1865,8.943004559114343e-09,1.4120533631256649e-09
1866,1.4596838404656864e-08,4.865612801552288e-09
1867,2.1837651686951176e-08,4.85281148598915e-10
1868,1.4819621974027086e-08,4.93987406535723e-10
1869,1.8069020057964735e-08,0.0
1870,2.064257564882155e-08,4.013834153937523e-09
1871,1.1683295220166201e-08,6.37270636261178e-09
1872,3.205089882385437e-08,3.628403577593531e-09
1873,1.1373408881354408e-08,7.183205141814142e-09
1874,1.6728906260254917e-08,2.9873046258899194e-09
1875,9.154443425529735e-09,1.716458086775674e-09
1876,9.673623679873344e-09,1.813804439976252e-09
1877,2.3502300550148902e-08,5.566334504436554e-09
1878,7.2469061862534545e-09,3.6234530931267273e-09
1879,1.8327975581655664e-08,8.55305515301552e-09
1880,7.701415505323439e-09,7.701415505323439e-09
1881,1.1156012114099667e-08,1.673401861523871e-08
1882,1.7969540522244642e-08,1.3310770263785798e-09
1883,5.687405213450347e-09,2.5277355764075082e-09
