year,mais_CONJ appeler_VERB,mais_CONJ rappeler_VERB
1800,3.45858084394024e-08,0.0
1801,1.1905912700171939e-08,7.143547975374531e-09
1802,5.594600338554301e-08,1.1189200677108602e-08
1803,0.0,1.950339223455444e-09
1804,2.4718509461507665e-09,4.943701892301533e-09
1805,0.0,2.842877711017877e-09
1806,1.4408345627714425e-08,0.0
1807,0.0,0.0
1808,4.5321479902327155e-09,9.064295980465431e-09
1809,6.7770915546105925e-09,1.8072244145628247e-08
1810,0.0,4.680253518074551e-09
1811,1.0028306629550343e-08,0.0
1812,5.3344164641089264e-09,0.0
1813,1.7254449646841863e-08,1.1502966579257645e-08
1814,9.440031423224582e-09,3.1466771410748606e-09
1815,0.0,2.697223555614414e-09
1816,9.270415546325239e-09,2.3176038865813098e-09
1817,6.22749374290521e-09,3.113746815941454e-09
1818,1.5497530370112145e-08,2.384235475716423e-09
1819,4.140420006848444e-09,3.1053151161586356e-09
1820,1.4239777357261119e-08,1.1866481131050932e-09
1821,9.861488403650753e-09,1.97229765852569e-09
1822,1.2030739071633434e-08,2.0051231786055723e-09
1823,2.569498569471307e-08,9.882686891060644e-10
1824,7.57900142644985e-09,1.6000114122505238e-08
1825,3.434122675116669e-08,2.641632912414593e-09
1826,3.170874451896566e-08,2.642395191543301e-09
1827,1.566936447261469e-08,1.8434546111834038e-09
1828,9.172301251858528e-10,1.1923991571904935e-08
1829,5.2296374564164694e-08,1.714635211591542e-09
1830,2.6092089377982575e-08,4.174734336004349e-09
1831,6.236482441579483e-09,7.795603274018958e-09
1832,1.3529969367098715e-09,2.705993873419743e-09
1833,5.791814361444381e-09,1.2741991461950875e-08
1834,1.4935249481595747e-08,2.6136685704614138e-08
1835,3.100866052818674e-08,4.5378527602224494e-09
1836,1.7473950730817478e-08,2.3522624903460354e-08
1837,1.6003149028165353e-08,3.478945576063097e-09
1838,6.312161682231476e-09,6.312161904276081e-10
1839,1.747868738632974e-08,8.38977065598101e-09
1840,2.8663599493938818e-08,8.280595320542261e-09
1841,2.7608359154385198e-08,8.988768396278601e-09
1842,1.542900918138912e-08,4.024959032733477e-09
1843,1.2995204023980023e-08,4.7255288571079745e-09
1844,2.195424553264047e-08,8.232842019229025e-09
1845,4.6315893009740705e-08,3.9061596734946136e-09
1846,2.5174356821366928e-08,5.854501328173001e-09
1847,2.1033572217277197e-08,7.011190739092399e-09
1848,8.849743826644385e-09,0.0
1849,2.262441967104678e-08,2.011059585527164e-08
1850,8.82569484161877e-09,6.788996032014438e-10
1851,2.8377530547629704e-08,1.1608990213574089e-08
1852,1.1718981340891332e-08,2.5391127644880385e-08
1853,2.5082113275232132e-08,1.4332636188996162e-08
1854,1.0910894965299178e-08,3.117398617025202e-09
1855,2.2819829581521844e-08,5.306937111981824e-09
1856,2.174419444500586e-08,8.283502495043393e-09
1857,1.3668225218310681e-08,4.393358177257056e-09
1858,2.9851423999360804e-08,8.80861672492017e-09
1859,8.656694694408884e-09,1.629495471888731e-08
1860,1.327383358784573e-08,5.0349023839046936e-09
1861,1.839225838295988e-08,7.545542080045209e-09
1862,1.0843167252971853e-08,7.6805766469068e-09
1863,4.994620828036034e-09,5.494082966350788e-09
1864,2.0617330065419992e-08,4.794728170054441e-09
1865,1.7415324959912937e-08,1.1767111063321067e-08
