year,voudrais_VERB établir_VERB,voudrais_VERB rétablir_VERB
1800,1.2576657937302116e-08,3.144164484325529e-09
1801,0.0,2.3811825844433088e-09
1802,0.0,0.0
1803,0.0,0.0
1804,0.0,0.0
1805,0.0,0.0
1806,2.881669125542885e-09,0.0
1807,0.0,0.0
1808,2.2660739951163578e-09,0.0
1809,0.0,0.0
1810,0.0,0.0
1811,0.0,0.0
1812,3.467370746079723e-08,0.0
1813,0.0,0.0
1814,9.440030979135372e-09,0.0
1815,2.1577788444915313e-08,0.0
1816,2.0858434979231788e-08,0.0
1817,1.5568733857662664e-08,0.0
1818,2.6226590676969863e-08,0.0
1819,2.070210003424222e-09,0.0
1820,0.0,4.746592452420373e-09
1821,3.94459531705138e-09,0.0
1822,4.010246357211145e-09,7.017931125119503e-09
1823,5.929612356680991e-09,0.0
1824,5.052667617633233e-09,0.0
1825,2.0252519661312363e-08,0.0
1826,8.807984341885344e-10,0.0
1827,9.217273055917019e-10,7.373818444733615e-09
1828,1.6510142586412258e-08,0.0
1829,1.3717081692732336e-08,8.573175946935407e-09
1830,7.305785310052215e-09,8.349468672008697e-09
1831,2.3386808933878456e-08,1.5591206103948707e-09
1832,2.705993873419743e-09,0.0
1833,1.0425265983826648e-08,1.1583628500844156e-09
1834,1.120143711119681e-08,0.0
1835,6.050470346963266e-09,0.0
1836,1.4113575197427508e-08,0.0
1837,2.435261770017405e-08,4.87052354003481e-09
1838,1.009945904684173e-08,0.0
1839,2.516931019158619e-08,1.3982950353153e-09
1840,7.0066574764382494e-09,2.5478754661634184e-09
1841,1.0272877659645019e-08,1.926164561183441e-09
1842,1.0062397137744483e-08,6.708265054555795e-10
1843,7.088293507706567e-09,0.0
1844,2.4149668931272572e-08,5.488561272137815e-10
1845,1.562463758375543e-08,0.0
1846,2.2832555401919308e-08,0.0
1847,1.77976389181822e-08,2.1572894581822766e-09
1848,8.84974404868899e-09,0.0
1849,1.3407063903514427e-08,4.1897072478036534e-09
1850,2.7155984128057753e-09,0.0
1851,5.159551008659946e-09,0.0
1852,5.859490670445666e-09,6.510545436100301e-10
1853,5.971931837933653e-09,5.971931837933653e-10
1854,1.610655964157104e-08,0.0
1855,3.714855978387277e-08,5.837630823180007e-09
1856,1.1389816201301528e-08,6.73034605824796e-09
1857,1.9037885934380938e-08,0.0
1858,2.104280660830682e-08,4.893676019968041e-10
1859,1.7313389832906978e-08,5.092173349652285e-10
1860,1.0069804545764782e-08,0.0
1861,1.744906619194353e-08,4.715963730639317e-10
1862,1.9427341513278407e-08,1.8071945051545413e-09
1863,3.3963420520422005e-08,4.495158911765884e-09
1864,3.212467802882202e-08,1.4384183844029508e-09
1865,2.6829013677343028e-08,2.3534221238463715e-09
1866,1.216403244796993e-08,0.0
