year,voulions_VERB appliquer_VERB
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,2.842877711017877e-09
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,3.1466771410748606e-09
1815,1.8880564667256294e-08
1816,3.9399267848239106e-08
1817,0.0
1818,0.0
1819,0.0
1820,1.1866481131050932e-09
1821,0.0
1822,0.0
1823,0.0
1824,4.210556348027694e-09
1825,5.283265824829186e-09
1826,1.4092774947016551e-08
1827,2.7651818612639545e-09
1828,6.420610709767516e-09
1829,0.0
1830,8.349468672008697e-09
1831,1.4032085715598441e-08
1832,1.6235963684607668e-08
1833,1.1583628500844156e-09
1834,3.733812370398937e-09
1835,5.294161553592858e-09
1836,8.736974699274924e-09
1837,9.74104708006962e-09
1838,1.8936485712828244e-09
1839,6.9914749545318955e-09
1840,1.0828470564661075e-08
1841,8.988767952189392e-09
1842,2.683306021822318e-09
1843,5.906910960362666e-09
1844,3.841992946007622e-09
1845,5.580227835366713e-09
1846,2.3418005312692003e-09
1847,1.0786447290911383e-09
1848,1.6090443422100975e-09
1849,0.0
1850,4.073397619208663e-09
1851,0.0
1852,9.114764054629632e-09
1853,1.6124216628554677e-08
1854,9.352196350675968e-09
1855,4.2455496895854594e-09
1856,3.1063134287023786e-09
1857,8.298565390418844e-09
1858,2.4468380654951716e-09
1859,1.5276520048956854e-09
1860,1.373155145145688e-09
1861,0.0
1862,4.9697850279528666e-09
1863,3.496234635136375e-09
1864,3.3563094525845827e-09
1865,8.943004559114343e-09
1866,2.919367858567057e-09
1867,2.91168689159349e-09
1868,9.87974857480367e-09
1869,7.325278605918584e-09
1870,5.734048791339319e-10
1871,1.3807530230280918e-08
1872,1.2094678591978436e-09
1873,5.986004469882289e-10
1874,3.5847653734322193e-09
1875,6.865832347102696e-09
1876,3.02300739996042e-09
1877,1.2369631985365004e-09
1878,2.4156354694326865e-09
1879,2.443730107160036e-09
1880,6.417846254436199e-10
1881,2.091752326904839e-09
1882,9.317538740560849e-09
1883,6.951272890631799e-09
1884,6.601696966868076e-10
1885,1.2891271383708158e-09
1886,9.680196200179125e-09
1887,4.570247291724172e-09
1888,3.1703073499755874e-09
1889,3.132568426877924e-09
1890,4.5880703680722945e-09
1891,8.92390783491237e-09
1892,6.268512375839919e-09
1893,3.695050043717174e-09
1894,2.520615716150587e-09
1895,1.8055843487019274e-09
1896,2.358811590497112e-09
1897,6.409385022720926e-09
1898,1.1316709347397591e-08
1899,4.9748205555033564e-09
1900,2.07642125715779e-09
1901,1.0059729937950124e-08
1902,4.910283846193408e-10
1903,9.1803746826713e-09
1904,7.524475265086039e-09
1905,3.096455536422127e-09
1906,6.173021205313489e-09
1907,3.599990305858114e-09
1908,9.822778146428846e-09
1909,5.5009836685826485e-09
1910,3.206490406526541e-09
1911,5.3203743632934675e-09
1912,5.209421227725386e-10
