year,tes_DET routes_NOUN
1800,0.0
1801,2.3811825844433088e-09
1802,2.2378401354217203e-09
1803,1.950339223455444e-09
1804,0.0
1805,0.0
1806,2.881669125542885e-09
1807,5.693910232196231e-09
1808,0.0
1809,4.518061036407062e-09
1810,2.3401267590372754e-09
1811,7.521229861140455e-09
1812,5.3344164641089264e-09
1813,2.8757416448144113e-09
1814,9.440031423224582e-09
1815,2.697223555614414e-09
1816,2.3176038865813098e-09
1817,0.0
1818,1.1921177378582115e-09
1819,7.24573512300708e-09
1820,4.746592452420373e-09
1821,1.97229765852569e-09
1822,6.015369535816717e-09
1823,9.882686891060644e-10
1824,2.5263338088166165e-09
1825,1.144707595379657e-08
1826,8.80798456392995e-09
1827,4.608636583469661e-09
1828,5.503380862137419e-09
1829,2.571952872898464e-09
1830,7.30578508800761e-09
1831,4.677361609140007e-09
1832,1.0823975493678972e-08
1833,1.0425265983826648e-08
1834,1.773560875939495e-08
1835,2.2689263801112247e-09
1836,6.048674894287842e-09
1837,4.87052354003481e-09
1838,3.787297142565649e-09
1839,3.4957374772659477e-09
1840,7.006657365415947e-09
1841,7.704658244733764e-09
1842,1.2745703159566801e-08
1843,1.1813822142769936e-09
1844,3.293136707771538e-09
1845,2.2320911785556063e-09
1846,3.5127007969038004e-09
1847,5.3932236454556914e-09
1848,1.206783295515379e-08
1849,1.675882921325922e-08
1850,8.146795238417326e-09
1851,7.094382636907426e-09
1852,3.906327261660181e-09
1853,2.388772735173461e-09
1854,5.195664454227256e-09
1855,3.1841622671890946e-09
1856,7.248064703979651e-09
1857,7.322263739784063e-09
1858,1.1255455234504552e-08
1859,2.5460866748261424e-09
1860,5.492620580582752e-09
1861,1.744906619194353e-08
1862,7.680577063240435e-09
1863,6.992469103739296e-09
1864,5.753673537611803e-09
1865,2.8241067262513297e-09
1866,2.919367858567057e-09
1867,3.396968040192405e-09
1868,5.9278488784286765e-09
1869,2.441759683335931e-09
1870,4.013834153937523e-09
1871,1.0621177271019633e-09
1872,7.861540751719076e-09
1873,2.3944017879529156e-09
1874,4.779687201583727e-09
1875,2.2886108563824337e-09
1876,9.67362345782874e-09
1877,5.566334504436554e-09
1878,4.22736201599605e-09
1879,5.498392852132383e-09
1880,2.5671385017744797e-09
1881,1.3945015142624584e-09
1882,1.9966155395678697e-09
1883,6.319338829996468e-09
1884,7.2618666635548834e-09
1885,7.090199094506033e-09
1886,2.5813855497602844e-09
1887,1.3057849246322917e-09
1888,2.53624587998047e-09
1889,5.6386229019267375e-09
1890,7.209825181320184e-09
1891,1.9122659011827636e-09
1892,5.641661360300532e-09
1893,3.079208221734575e-09
1894,2.520615716150587e-09
1895,2.4074457982692365e-09
1896,1.769108692872834e-09
1897,1.7480140668268973e-09
1898,1.13167097914868e-09
1899,6.080336234504102e-09
1900,3.114631885736685e-09
1901,2.794369402536745e-09
1902,4.910283735171106e-09
1903,8.640352433531007e-09
1904,3.7622376325430196e-09
1905,5.676835002077496e-09
1906,4.115347618238729e-09
1907,9.771402353919711e-09
1908,1.6207583941607595e-08
1909,2.7504918342913243e-09
1910,4.809735720812114e-09
1911,9.576673676292558e-09
1912,5.730363294986773e-09
1913,9.015082902408267e-09
1914,1.0714789944188396e-08
1915,1.0602685729388384e-08
1916,1.648119329900055e-08
1917,5.483212106582869e-09
1918,9.189101035644853e-09
1919,2.9465114403937065e-08
1920,9.086678076641874e-09
1921,9.0872969149558e-09
1922,1.1804696775641332e-08
1923,1.0615948120573648e-08
1924,1.5469948877466777e-08
1925,1.5397448649423495e-08
1926,2.229227691330493e-09
1927,8.919379901328739e-09
1928,7.998228745975666e-09
1929,1.1140406153131721e-08
1930,7.352522590764465e-09
1931,5.7026783295555106e-09
1932,8.767629289252454e-09
1933,1.032359597807897e-08
1934,3.5944740517379614e-09
1935,1.196828414151696e-08
1936,9.699771652549316e-09
1937,6.295559074054324e-09
1938,3.8895642262559704e-09
1939,6.117620188206274e-09
1940,1.2678914806940611e-08
1941,1.1806010391524069e-08
1942,3.034211770724937e-09
1943,8.709705845433291e-09
1944,2.2492303131116387e-08
1945,1.742803235060819e-08
1946,1.1136883415474585e-08
1947,1.0728784083369192e-08
1948,1.7395020535104777e-08
