year,avons_VERB assuré_VERB,avons_VERB rassuré_VERB
1800,9.432493897065797e-09,0.0
1801,1.1905912700171939e-08,0.0
1802,2.6854081625060644e-08,0.0
1803,3.1205427575287104e-08,0.0
1804,1.4831105232815389e-08,0.0
1805,0.0,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,1.1330369531492579e-08,2.2660739951163578e-09
1809,2.710836710662079e-08,0.0
1810,2.106114038724627e-08,0.0
1811,7.521229861140455e-09,0.0
1812,5.601137331723294e-08,0.0
1813,1.4378708002027452e-08,0.0
1814,2.8320094713762956e-08,0.0
1815,2.697223555614414e-09,0.0
1816,9.270415546325239e-09,0.0
1817,3.113746815941454e-09,1.71256075987003e-08
1818,3.5763532135746345e-09,1.1921176934492905e-08
1819,2.898294049202832e-08,0.0
1820,3.797273961936298e-08,0.0
1821,2.5639868894700157e-08,0.0
1822,7.318699601910339e-08,0.0
1823,1.581229902569703e-08,0.0
1824,1.3473780313688621e-08,0.0
1825,1.8491430608946757e-08,0.0
1826,4.4039921931471326e-08,0.0
1827,3.2260455640198415e-08,0.0
1828,2.2013523448549677e-08,0.0
1829,1.3717081692732336e-08,0.0
1830,3.026682549034376e-08,2.0873671680021744e-09
1831,1.7150327380477393e-08,0.0
1832,3.6530916958099624e-08,0.0
1833,5.791814139399776e-09,0.0
1834,3.267085801894609e-08,9.334530925997342e-10
1835,2.3445572594482655e-08,1.5126175867408165e-09
1836,1.344150035720304e-08,6.72075017860152e-09
1837,3.270208637218275e-08,6.957890930081589e-10
1838,3.597932263232906e-08,0.0
1839,2.23727205650448e-08,0.0
1840,2.293087852933695e-08,3.821813088222825e-09
1841,1.219904177673925e-08,0.0
1842,2.2137275124123335e-08,3.3541325272778977e-09
1843,1.1223130869097986e-08,0.0
1844,2.140538946093784e-08,0.0
1845,2.9575208060350633e-08,0.0
1846,1.7563504428608212e-08,0.0
1847,3.5055954583640414e-08,0.0
1848,4.505324113779352e-08,0.0
1849,5.6980020701757894e-08,6.703531951757213e-09
1850,3.530277936647508e-08,0.0
1851,5.288539739467524e-08,3.8696632564949596e-09
1852,3.2552726736412296e-08,0.0
1853,1.0749477752369785e-08,0.0
1854,3.4291385730966795e-08,0.0
1855,2.9718847827098216e-08,2.653468555990912e-09
1856,1.8120163147727908e-08,7.765783571755946e-09
1857,1.8061584228235006e-08,0.0
1858,3.229826006645453e-08,4.893676019968041e-10
