year,pourrez_VERB avoir_VERB,pourrez_VERB ravoir_VERB
1800,2.829747991484055e-08,0.0
1801,1.6430159632818686e-07,0.0
1802,7.832440473976021e-08,0.0
1803,1.3067273130218382e-07,0.0
1804,6.426812149129546e-08,0.0
1805,2.2743021688143017e-08,0.0
1806,1.7290014397985942e-07,0.0
1807,7.117387923472052e-08,0.0
1808,7.931259204951857e-08,0.0
1809,1.1069249694628525e-07,0.0
1810,1.2168659679900884e-07,0.0
1811,6.016983888912364e-08,0.0
1812,3.7340914360584065e-08,0.0
1813,8.91479885467561e-08,0.0
1814,1.1013369771717407e-07,0.0
1815,1.0249449644561537e-07,0.0
1816,1.0660977523002657e-07,0.0
1817,1.5101672090622742e-07,0.0
1818,7.033494853203592e-08,0.0
1819,2.1530183857976226e-07,0.0
1820,1.2103811286579003e-07,0.0
1821,1.962436186886407e-07,0.0
1822,1.1729970594842598e-07,0.0
1823,1.0772128433700345e-07,0.0
1824,1.4821158345057484e-07,0.0
1825,1.5585634116632718e-07,0.0
1826,2.510275578515575e-07,0.0
1827,1.1613764172579977e-07,0.0
1828,1.1373653308055509e-07,0.0
1829,1.0630738245254179e-07,4.286587973467704e-09
1830,1.1271782796029584e-07,0.0
1831,7.016042502527853e-08,0.0
1832,7.982681893281551e-08,2.705993873419743e-09
1833,9.266902623039641e-08,0.0
1834,1.4655213931291655e-07,0.0
1835,1.1722786297241328e-07,1.5126175867408165e-09
1836,1.8011610336543527e-07,0.0
1837,1.1689256496083544e-07,0.0
1838,6.94337813911261e-08,0.0
1839,1.2654570014092315e-07,0.0
1840,9.490835850556323e-08,6.369688665408546e-10
1841,8.603534951134861e-08,0.0
1842,1.777690243898178e-07,1.341653010911159e-09
1843,1.6007729186640063e-07,0.0
1844,7.903528143060612e-08,0.0
1845,9.374782905524626e-08,0.0
1846,1.1357732887518068e-07,0.0
1847,8.790954808546303e-08,5.393223645455691e-10
1848,1.3676877586021874e-07,0.0
1849,1.4915359258793615e-07,2.513824481908955e-09
1850,1.5954140053509036e-07,0.0
1851,1.012561909874421e-07,0.0
1852,1.2370036017728125e-07,0.0
1853,1.2720214215278247e-07,1.1943863675867306e-09
1854,1.4340034226734133e-07,0.0
1855,1.1144567935161831e-07,0.0
1856,1.1545132139190173e-07,0.0
1857,1.147154620184665e-07,0.0
1858,1.8204474372396362e-07,0.0
1859,1.7618920367112878e-07,0.0
1860,1.9361488057256793e-07,4.577183909670879e-10
1861,1.3534815934690414e-07,0.0
1862,2.0602017514192994e-07,0.0
1863,1.8380204380719078e-07,0.0
1864,1.529518272036512e-07,0.0
1865,1.2708480312539905e-07,9.41368871743009e-10
1866,8.90407179099384e-08,4.865612912574591e-10
1867,1.0190903765305848e-07,0.0
1868,2.203183839810663e-07,0.0
1869,1.4650557034201483e-07,0.0
1870,1.4335121534259088e-07,0.0
1871,1.603797699090137e-07,1.0621177271019633e-09
1872,1.2759885237301205e-07,0.0
1873,1.0236067993218967e-07,5.986004469882289e-10
1874,1.1769979835207778e-07,0.0
