year,elles_PRON approchent_VERB,elles_PRON rapprochent_VERB
1800,1.4463156716715275e-07,4.7162465932615305e-08
1801,9.76284830755958e-08,3.8098922461315965e-08
1802,1.5217312920867698e-07,1.1189200677108602e-08
1803,2.5939512227068917e-07,6.631153581793114e-08
1804,2.595443504560535e-07,2.2246657849223084e-08
1805,2.2174446634437572e-07,7.107194477384837e-08
1806,8.068673551520078e-08,4.8988376022407465e-08
1807,6.547996633798903e-08,1.1387820464392462e-08
1808,9.290903157932462e-08,2.2660739951163578e-09
1809,5.195770058641358e-08,2.9367396070512086e-08
1810,1.0764582825117941e-07,9.360507036149102e-09
1811,1.7549537290051376e-07,2.0056613703189896e-08
1812,8.801786854917282e-08,3.467370524035118e-08
1813,8.914799076720215e-08,2.8757416448144113e-09
1814,5.664018942752591e-08,3.4613449884091096e-08
1815,1.5374173933935253e-07,7.01278137782424e-08
1816,1.7382029149359823e-07,3.244645441213834e-08
1817,9.96399013297733e-08,1.1365175822675155e-07
1818,1.1444330105803147e-07,4.410835785506606e-08
1819,6.210630143499429e-08,3.415846538956657e-08
1820,1.1985145587090074e-07,6.763894333516873e-08
1821,4.930744168518686e-08,4.930744257336528e-09
1822,8.020492714422289e-08,5.012807946513931e-09
1823,5.5343046589939604e-08,3.162459805139406e-08
1824,6.905312233129735e-08,2.189489212156559e-08
1825,6.5160277173959e-08,2.9057962036560525e-08
1826,4.315912471852812e-08,3.2589543508265706e-08
1827,5.991227380874875e-08,1.4747636611911474e-08
1828,4.861319524707142e-08,1.3758451544720884e-08
1829,8.74463982336593e-08,3.257806824308318e-08
1830,9.497520792045577e-08,1.1480519646056564e-08
1831,7.171955074269931e-08,1.4032085715598441e-08
1832,6.764984583629285e-08,4.058990921151917e-09
1833,6.718504685920834e-08,1.9692167896323554e-08
1834,5.1339918538673146e-08,1.5868702796240086e-08
1835,5.596685070941021e-08,2.7227116561334697e-08
1836,7.72886279420959e-08,3.49478987970997e-08
1837,5.148839266055916e-08,1.948209371605003e-08
1838,4.292270050498814e-08,1.2624323364462953e-08
1839,4.824117827428864e-08,6.292327547896548e-09
1840,6.178598166428628e-08,1.4013314952876499e-08
1841,6.163726773422695e-08,1.3483152372373297e-08
1842,6.037438504691295e-08,1.341653010911159e-08
