year,plus_ADV empli_VERB,plus_ADV rempli_VERB
1800,0.0,4.0559720559940615e-07
1801,0.0,3.3812793276410957e-07
1802,0.0,2.752543366568716e-07
1803,0.0,4.017698813640891e-07
1804,0.0,2.546006498960196e-07
1805,0.0,3.439882050315646e-07
1806,0.0,3.688536480694893e-07
1807,0.0,3.2739984590079985e-07
1808,0.0,5.030684064877278e-07
1809,0.0,2.3493917922223773e-07
1810,0.0,3.1123684607337054e-07
1811,0.0,1.7048121492280188e-07
1812,0.0,3.280666192040371e-07
1813,0.0,4.68745895432221e-07
1814,0.0,1.541871768040437e-07
1815,0.0,2.4275013288388436e-07
1816,0.0,3.383701709935849e-07
1817,0.0,3.035903262116335e-07
1818,0.0,2.980294482313184e-07
1819,0.0,2.846538791345665e-07
1820,0.0,3.4412795457683387e-07
1821,0.0,3.7276424791343743e-07
1822,0.0,3.5991962477055495e-07
1823,0.0,2.3421968364800705e-07
1824,0.0,2.863178281131695e-07
1825,0.0,3.768729754938249e-07
1826,0.0,2.545507413742598e-07
1827,0.0,2.9310928084669285e-07
1828,0.0,2.559071958785353e-07
1829,0.0,2.6148185838792415e-07
1830,0.0,2.817945699007396e-07
1831,0.0,3.1650148457629257e-07
1832,0.0,1.826545883432118e-07
1833,0.0,2.0271349399081373e-07
1834,0.0,1.8669061319087632e-07
1835,0.0,2.299178731846041e-07
1836,0.0,2.9369678600232874e-07
1837,0.0,1.9690831720708957e-07
1838,0.0,2.3039390839585394e-07
1839,0.0,2.0904511188746255e-07
1840,0.0,1.738925021754767e-07
1841,0.0,2.311397508947266e-07
1842,0.0,1.5630257621523924e-07
1843,0.0,1.8606769458529016e-07
1844,0.0,1.8276908519965218e-07
1845,0.0,1.5345626991347672e-07
1846,0.0,1.914421972060154e-07
1847,0.0,1.3267330700728053e-07
1848,0.0,1.6331800622992887e-07
1849,0.0,1.4831564953965426e-07
1850,0.0,1.615781002328731e-07
1851,0.0,1.7993933454363287e-07
1852,0.0,1.8750370145426132e-07
1853,0.0,1.7915795069711749e-07
1854,0.0,2.036700408325487e-07
1855,0.0,2.218299641754129e-07
1856,0.0,1.868965284756996e-07
1857,4.881509085841174e-10,1.8110398514181725e-07
1858,0.0,1.8106601373801823e-07
1859,0.0,1.5734815406176494e-07
1860,0.0,1.5791285079558293e-07
1861,0.0,1.7401906404757028e-07
1862,0.0,1.617439124856901e-07
1863,0.0,1.3735207460285892e-07
1864,9.589455896019672e-10,1.601439123533055e-07
1865,4.706844358715045e-10,1.7603598223558947e-07
1866,0.0,1.3526404529784486e-07
1867,0.0,1.2132028359701508e-07
1868,0.0,1.373284987948864e-07
1869,0.0,1.6115613732381462e-07
1870,0.0,1.2729587695048394e-07
