year,elles_PRON apportent_VERB,elles_PRON rapportent_VERB
1800,1.8550571212472278e-07,2.7983063688452603e-07
1801,7.857902506458458e-08,1.2382149350287364e-07
1802,1.7231369042747247e-07,5.818384352096473e-08
1803,9.361627917314763e-08,1.1311967185179128e-07
1804,8.157107878048464e-08,1.1864884541523679e-07
1805,6.822906595260747e-08,1.0234359670846516e-07
1806,6.91600572366724e-08,4.3225035994964855e-08
1807,4.555128185756985e-08,6.832692278635477e-08
1808,8.157866382418888e-08,1.0197333155659294e-07
1809,6.551188791448226e-08,6.551188391767937e-08
1810,8.658469141664682e-08,5.616304266098382e-08
1811,4.011322740637979e-08,4.763445815569867e-08
1812,4.5342538612658245e-08,1.0668832484128643e-08
1813,8.339650969801937e-08,4.026038169513413e-08
1814,4.405347908686963e-08,3.4613449884091096e-08
1815,5.664169577812572e-08,3.236668266737297e-08
1816,5.0987285504788815e-08,5.0987287281145655e-08
1817,7.161617876505488e-08,2.6466848268569265e-08
1818,6.914282835168706e-08,2.622659001083605e-08
1819,4.140419962439523e-08,4.6579726742379535e-08
1820,5.933240476707624e-08,5.458581409101271e-08
1821,3.4515209357266485e-08,4.043210033444211e-08
1822,9.724847416237026e-08,5.3135764233047666e-08
1823,6.226092708061515e-08,5.830785321236931e-08
1824,4.294767474988248e-08,2.105278174013847e-08
1825,3.4341228527523526e-08,4.0505039322624725e-08
1826,9.688782576233734e-08,3.3470339388941284e-08
1827,5.622536392024813e-08,8.111200244798056e-08
1828,5.503380862137419e-08,5.228211552577022e-08
1829,6.429881871383714e-08,7.201467866480016e-08
1830,7.410153557430021e-08,5.9489963177838945e-08
1831,4.2096254482260065e-08,7.795603096383275e-08
1832,1.2988770947686135e-07,1.8941957335982806e-08
1833,8.571884979602373e-08,3.706761297905814e-08
1834,6.067445035284891e-08,4.013848475814541e-08
1835,6.731148260996633e-08,4.386591001548368e-08
1836,5.712637651811292e-08,3.2259600324380244e-08
1837,4.870523628852652e-08,4.5922078584226256e-08
1838,9.215756335834158e-08,7.195864393239049e-08
1839,7.550793590382909e-08,4.6842881573638806e-08
1840,1.0446289344656634e-07,4.267691267045848e-08
1841,6.741575830915281e-08,4.237561901376807e-08
1842,8.184083455375912e-08,4.695785715824741e-08
1843,8.03339919031032e-08,5.611565445651223e-08
1844,6.970472643530456e-08,1.1196665372636971e-07
1845,7.589110140315825e-08,4.910600459595571e-08
1846,8.664662143331725e-08,6.849766354122266e-08
1847,6.957258236184316e-08,4.422443389273667e-08
1848,8.367030446265744e-08,2.735375431717202e-08
1849,6.871120206142223e-08,2.0948537127196687e-08
1850,1.0183494048021657e-07,5.7706465383944305e-08
1851,1.057707956775289e-07,4.5791016312080046e-08
1852,6.185018408544352e-08,3.1250618093281446e-08
1853,9.793968125393349e-08,2.9262466227919504e-08
1854,1.0755025314779232e-07,4.676097908884458e-08
1855,1.2099816260047191e-07,4.6701046585440054e-08
1856,8.335274781501312e-08,4.2970671465525356e-08
1857,9.518942611919101e-08,5.174399619889414e-08
1858,1.1255454879233184e-07,2.495774742428125e-08
1859,1.0744485567926176e-07,5.0412517715869853e-08
1860,1.0939469596848994e-07,4.211009141386057e-08
1861,9.007491108548038e-08,6.177912403870778e-08
1862,7.635396848115761e-08,5.240864109357091e-08
1863,5.544029146875573e-08,2.8469337998160427e-08
1864,1.1795030552264052e-07,6.712618905169165e-08
1865,1.0449194220996105e-07,4.283228349777346e-08
1866,1.026644316226566e-07,3.843834228689502e-08
1867,1.383051237979771e-07,4.998395830568825e-08
1868,1.0917121606723867e-07,4.742279102742941e-08
1869,1.064607166867404e-07,3.4672986259920435e-08
1870,1.3819057897990206e-07,4.243196061182175e-08
1871,1.1683294687259149e-07,5.098165223316187e-08
1872,1.1913258735063437e-07,4.595977909360727e-08
1873,1.1253688114720717e-07,5.926144464041272e-08
1874,8.663183415080766e-08,4.241972417773354e-08
1875,9.726596417181099e-08,3.547346771881621e-08
1876,1.1366507735033338e-07,7.617978603491338e-08
1877,1.2802568960523786e-07,5.318941909138175e-08
1878,1.2984040687058496e-07,4.227362060404971e-08
1879,1.4784567614611888e-07,5.43729949953331e-08
1880,1.2707335983463963e-07,4.299957101494556e-08
1881,1.0179861309467242e-07,4.811030152040985e-08
1882,1.4242524315477567e-07,8.984769905850953e-08
1883,1.2196324128410652e-07,4.739504344541956e-08
1884,9.836528302997749e-08,6.073561387154314e-08
1885,1.1086493323375635e-07,7.799219314819084e-08
1886,1.4004016435364974e-07,5.937186831062036e-08
1887,1.260082456155942e-07,5.419007553797428e-08
1888,1.40127585979144e-07,3.1703073943845084e-08
1889,1.1089292062393952e-07,6.453090684033214e-08
1890,1.4747369903034269e-07,7.14428143311352e-08
1891,1.1218627271603054e-07,5.609313458165843e-08
1892,1.429220848336854e-07,4.5133287329690575e-08
1893,1.4841784157226812e-07,3.263960701715973e-08
1894,1.3674340415548158e-07,5.734400598811362e-08
1895,1.5768770111890262e-07,9.208479845312922e-08
1896,1.4034928952355585e-07,6.3687911833199e-08
1897,1.7247071681936177e-07,4.952706600391821e-08
1898,1.261813125097433e-07,5.318853535385415e-08
1899,1.7577699651383227e-07,6.522542506104401e-08
1900,1.8428238135470565e-07,4.671947984036251e-08
1901,1.74927521356949e-07,5.476964126671646e-08
1902,1.4092514888375263e-07,4.271947062761683e-08
1903,1.9818808283389444e-07,7.45230384069373e-08
