year,ils_PRON appellent_VERB,ils_PRON rappellent_VERB
1800,1.0595834396553983e-06,2.2323567350213125e-07
1801,8.691316395470494e-07,1.7144514785627507e-07
1802,1.8216019270766992e-06,2.864435373339802e-07
1803,1.2384654155539465e-06,1.7748087088875764e-07
1804,1.0777270347261947e-06,2.4965694223055834e-07
1805,7.846342526818262e-07,3.695741099818406e-07
1806,7.002456072768837e-07,2.939302561344448e-07
1807,6.718814233863668e-07,3.2170593300406836e-07
1808,7.93125906284331e-07,3.8070044183768914e-07
1809,8.923170469188335e-07,2.2138498678714313e-07
1810,1.4930008376268233e-06,2.7145469516653975e-07
1811,2.444399910928041e-06,2.0307321335621964e-07
1812,7.894936402408348e-07,3.120633635944614e-07
1813,4.658701584503433e-07,1.984261785992203e-07
1814,8.401628122101101e-07,2.800542659997518e-07
1815,8.199559999866324e-07,3.371529402329543e-07
1816,9.015478781293496e-07,2.2480757166931653e-07
1817,8.54723509746691e-07,1.7436982346907826e-07
1818,9.906498235068284e-07,2.41999895678191e-07
1819,1.311478058596549e-06,2.442847808481474e-07
1820,1.3112461942910159e-06,2.9903532805519717e-07
1821,9.969964480660565e-07,3.372629038267405e-07
1822,9.774975637810712e-07,2.1956098805731017e-07
1823,9.467614177083306e-07,1.4428722572290553e-07
1824,7.376894473054563e-07,2.6947560627377243e-07
1825,9.57151655711641e-07,2.6152165943926775e-07
1826,1.0023485970123147e-06,1.9553724683873952e-07
1827,9.678136905222345e-07,2.580836451215873e-07
1828,9.144784485215496e-07,2.843413398068151e-07
1829,7.947334097480052e-07,2.6233919214746493e-07
1830,1.0269846484334266e-06,3.12061388285656e-07
1831,1.1428354298459453e-06,2.6505050954028775e-07
1832,9.024489884268405e-07,1.7994859291547982e-07
1833,1.2197561147786473e-06,2.594732819716228e-07
1834,8.923811378735991e-07,2.5576614604005954e-07
1835,9.279908681492088e-07,2.110101533503439e-07
1836,8.602559944392851e-07,2.574047286429959e-07
1837,7.785879887478586e-07,2.0873672212928795e-07
1838,8.685534567121067e-07,2.505928300422511e-07
