year,mais_CONJ appliquer_VERB
1800,2.5153315874604232e-08
1801,2.6193008650921e-08
1802,1.3427040812530322e-08
1803,3.1205427575287104e-08
1804,0.0
1805,5.685755422035754e-09
1806,2.305335300434308e-08
1807,5.693910232196231e-09
1808,6.798221985349073e-09
1809,1.1295152591017654e-08
1810,0.0
1811,2.0056613703189896e-08
1812,4.267533171287141e-08
1813,2.8757416448144113e-09
1814,1.2586708120210233e-08
1815,4.5852800667489646e-08
1816,2.0858434979231788e-08
1817,9.341240336802059e-09
1818,2.1458118837358597e-08
1819,4.140420117870747e-09
1820,1.3053129244156025e-08
1821,1.4792232327920374e-08
1822,1.604098542884458e-08
1823,1.9765373782121287e-09
1824,2.0210670470532932e-08
1825,4.22661270427227e-08
1826,2.4662355713189754e-08
1827,4.3321183085254233e-08
1828,4.586150481600271e-08
1829,2.9148798597056214e-08
1830,1.982998831806526e-08
1831,1.091384405071949e-08
1832,2.4353944638733083e-08
1833,1.1583628500844156e-09
1834,1.9602515388683628e-08
1835,6.050470346963266e-09
1836,2.6882999715205358e-09
1837,1.1132625488130543e-08
1838,5.049729523420865e-09
1839,1.188550780018005e-08
1840,1.0191501864653674e-08
1841,1.219904222082846e-08
1842,6.708265054555795e-09
1843,1.6539350389255247e-08
1844,4.939705200435185e-09
1845,2.1204866307300563e-08
1846,1.9319854160926297e-08
1847,1.6179670936367074e-08
1848,1.769948765328877e-08
1849,2.2624420337180595e-08
1850,1.5614690873633208e-08
1851,1.9993260380601896e-08
1852,1.0416872475715877e-08
1853,1.1346670270029335e-08
1854,1.506742641765868e-08
1855,5.837630823180007e-09
1856,1.656700510110909e-08
1857,1.0251168913733011e-08
1858,6.8511465389775594e-09
1859,7.129042467468594e-09
1860,5.492620663849479e-09
1861,1.1789909049042535e-08
1862,1.9879139667722256e-08
1863,6.493007242980298e-09
1864,1.5343129766698382e-08
1865,8.001635354304426e-09
1866,1.751620626322392e-08
1867,4.367530337390235e-09
1868,4.93987406535723e-09
1869,2.0022428159904848e-08
